Feature,30857,32515,32516,32517,32518,32519,32520,35015,35016,36055
高度(mm),1493,1493,1493,1493,1493,1493,1493,1493,1493,1493
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),4450,4450,4450,4450,4450,4450,4450,4450,4450,4450
长*宽*高(mm),4450*1748*1493,4450*1748*1493,4450*1748*1493,4450*1748*1493,4450*1748*1493,4450*1748*1493,4450*1748*1493,4450*1748*1493,4450*1748*1493,4450*1748*1493
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,SOHC,SOHC,SOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),2570,2570,2570,2570,2570,2570,2570,2570,2570,2570
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车,5门5座三厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,●,-,-,●,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,●,-,-,●,-,-,-
车型名称,凯翼E3 2018款 1.5L 手动舒适型,凯翼E3 2018款 1.5L 手动豪华型,凯翼E3 2018款 1.5L 手动尊贵型,凯翼E3 2018款 1.5L 手动旗舰型,凯翼E3 2018款 1.5L 自动豪华型,凯翼E3 2018款 1.5L 自动尊贵型,凯翼E3 2018款 1.5L 自动旗舰型,凯翼E3 2018款 1.6L 手动CNG双燃料版,凯翼E3 2018款 1.6L 手动升级版,凯翼E3 2018款 1.6L 手动CNG双燃料升级版
车内香氛装置,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,●,-,-,●,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,未知
级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
简称,5挡手动,5挡手动,5挡手动,5挡手动,4挡自动,4挡自动,4挡自动,5挡手动,5挡手动,5挡手动
第二排独立座椅,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
电动可调踏板,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,●,-,-,●,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-
涉水感应系统,-,-,-,-,-,-,-,-,-,-
油箱容积(L),42,42,42,42,42,42,42,42,42,42
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,175,175,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
最大马力(Ps),109,109,109,109,109,109,109,110,110,110
最大扭矩转速(rpm),3000,3000,3000,3000,3000,3000,3000,2850-3150,2850-3150,2850-3150
最大扭矩(N·m)_y,140,140,140,140,140,140,140,141,141,141
最大扭矩(N·m)_x,140,140,140,140,140,140,140,141,141,141
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,80,80,80,80,80,80,80,81,81,81
最大功率(kW)_x,80,80,80,80,80,80,80,81,81,81
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1208,1208,1208,1208,1230,1230,1230,1276,1208,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-
排量(mL),1497,1497,1497,1497,1497,1497,1497,1552,1552,1552
挡位个数,5,5,5,5,4,4,4,5,5,5
手势控制,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-
座位数(个),5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.5,6.5,6.5,6.5,6.9,6.9,6.9,-,-,-
尾门玻璃独立开启,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-
宽度(mm),1748,1748,1748,1748,1748,1748,1748,1748,1748,1748
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-
