,32859,33958,33959,33960,34246,34247,34248,34249
空气悬架,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-
电动天窗,●,-,-,●,-,-,●,●
全景天窗,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
铝合金轮圈,●,-,●,●,-,●,●,●
电动吸合门,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
车顶行李架,●,-,●,●,-,●,●,●
发动机电子防盗,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●
无钥匙启动系统,●,-,-,-,-,-,-,●
无钥匙进入系统,●,-,-,-,-,-,-,●
远程启动,-,-,-,-,-,-,-,-
皮质方向盘,●,-,●,●,-,●,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-
多功能方向盘,●,-,●,●,-,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-
内置行车记录仪,○,○,○,○,○,○,○,○
主动降噪,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-
座椅材质,仿皮,织物,仿皮,仿皮,织物,仿皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-,-
座椅高低调节,●,-,●,●,-,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-
第二排靠背角度调节,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-
第二排独立座椅,●,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座(选装2座),3座(选装2座),3座(选装2座),3座(选装2座)
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-
GPS导航系统,●,-,-,●,-,-,●,●
定位互动服务,-,-,-,-,-,-,-,-
中控台彩色大屏,●,-,●,●,-,●,●,●
中控台彩色大屏尺寸,10.25英寸,-,10.25英寸,10.25英寸,-,10.25英寸,10.25英寸,10.25英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,●,-,●,●,●
手机互联/映射,●,-,●,●,-,●,●,●
车联网,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,LED,卤素,卤素,卤素,卤素,卤素,卤素,LED
远光灯,LED,卤素,卤素,卤素,卤素,卤素,卤素,LED
LED日间行车灯,●,-,●,●,-,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动头灯,●,-,-,-,-,-,-,●
转向辅助灯,●,-,-,●,-,-,●,●
转向头灯,-,-,-,-,-,-,-,-
前雾灯,●,-,-,●,-,-,●,●
大灯高度可调,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,-,-,-,-,-,-,全车
车窗防夹手功能,●,-,-,-,-,-,-,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●
后视镜加热,●,-,-,-,-,-,-,●
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-
后视镜电动折叠,●,-,-,-,-,-,-,●
后视镜记忆,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,-,●,●,-,●,●,●
后雨刷,●,-,●,●,-,●,●,●
感应雨刷,-,-,-,-,-,-,-,-
空调控制方式,自动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●
后排独立空调,●,-,●,●,-,●,●,●
后座出风口,●,-,●,●,-,●,●,●
温度分区控制,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车型名称,瑞风R3 2018款 1.6L 手动豪华智能型,瑞风R3 2018款 1.6L 手动舒适型,瑞风R3 2018款 1.6L 手动豪华型,瑞风R3 2018款 1.6L 手动豪华天窗型,瑞风R3 2018款 1.6L CVT舒适型,瑞风R3 2018款 1.6L CVT豪华型,瑞风R3 2018款 1.6L CVT豪华天窗型,瑞风R3 2018款 1.6L CVT豪华智能型
厂商指导价(元),8.08万,6.48万,6.98万,7.48万,7.48万,7.98万,8.48万,9.08万
厂商,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2018.04,2018.04,2018.04,2018.04,2018.04,2018.04,2018.04,2018.04
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-
最大功率(kW)_x,88,88,88,88,88,88,88,88
最大扭矩(N·m)_x,150,150,150,150,150,150,150,150
发动机,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4,1.6L 120马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
长*宽*高(mm),4750*1835*1773,4750*1835*1773,4750*1835*1773,4750*1835*1773,4750*1835*1773,4750*1835*1773,4750*1835*1773,4750*1835*1773
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
最高车速(km/h),160,160,160,160,160,160,160,160
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.7,7.9,7.9,7.9,7.7,7.7,7.7,7.7
实测油耗(L/100km),-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4750,4750,4750,4750,4750,4750,4750,4750
宽度(mm),1835,1835,1835,1835,1835,1835,1835,1835
高度(mm),1773,1773,1773,1773,1773,1773,1773,1773
轴距(mm),2760,2760,2760,2760,2760,2760,2760,2760
前轮距(mm),1525,1525,1525,1525,1525,1525,1525,1525
后轮距(mm),1520,1520,1520,1520,1520,1520,1520,1520
最小离地间隙(mm),150,150,150,150,150,150,150,150
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车门数(个),5,5,5,5,5,5,5,5
座位数(个),7,7,7,7,7,7,7,7
油箱容积(L),50,50,50,50,50,50,50,50
行李厢容积(L),-,-,-,-,-,-,-,-
整备质量(kg),1500,1500,1500,1500,1515,1515,1515,1515
发动机型号,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D,HFC4GB3.3D
排量(mL),1590,1590,1590,1590,1590,1590,1590,1590
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),120,120,120,120,120,120,120,120
最大功率(kW)_y,88,88,88,88,88,88,88,88
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,150,150,150,150,150,150,150,150
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500
发动机特有技术,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,5,5,5,5,无级变速,无级变速,无级变速,无级变速
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
简称,5挡手动,5挡手动,5挡手动,5挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16
后轮胎规格,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
