Feature,39366,39980,39981
高度(mm),1680,1680,1680
驻车制动类型,脚刹,脚刹,脚刹
驱动电机数,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱
长度(mm),4100,4100,4100
长*宽*高(mm),4100*1785*1680,4100*1785*1680,4100*1785*1680
轴距(mm),2535,2535,2535
车门数(个),5,5,5
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车型名称,比亚迪S2 2019款 创,比亚迪S2 2019款 智,比亚迪S2 2019款 耀
车体结构,承载式,承载式,承载式
行李厢容积(L),-,-,-
能源类型,纯电动,纯电动,纯电动
级别,小型SUV,小型SUV,小型SUV
系统综合扭矩(N·m),-,-,-
系统综合功率(kW),-,-,-
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
百公里耗电量(kWh/100km),-,-,-
电池能量(kWh),40.62,40.62,40.62
电池组质保,8年或15万公里,8年或15万公里,8年或15万公里
电池类型,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,前置,前置,前置
电动机总扭矩(N·m),180,180,180
电动机总功率(kW),70,70,70
油箱容积(L),-,-,-
最高车速(km/h),-,-,-
最小离地间隙(mm),-,-,-
最大扭矩(N·m),180,180,180
最大功率(kW),70,70,70
整车质保,六年或15万公里,六年或15万公里,六年或15万公里
整备质量(kg),-,-,-
挡位个数,1,1,1
慢充时间(小时)_y,-,-,-
慢充时间(小时)_x,-,-,-
快充电量百分比,80,80,80
快充电量(%),80,80,80
快充时间(小时)_y,1.1,1.1,1.1
快充时间(小时)_x,1.1,1.1,1.1
座位数(个),5,5,5
工信部纯电续航里程(km)_y,305,305,305
工信部纯电续航里程(km)_x,305,305,305
宽度(mm),1785,1785,1785
实测续航里程(km),-,-,-
实测慢充时间(小时),-,-,-
实测快充时间(小时),-,-,-
实测100-0km/h制动(m),-,-,-
实测0-100km/h加速(s),-,-,-
官方0-100km/h加速(s),-,-,-
备胎规格,无,无,无
后轮距(mm),1535,1535,1535
后轮胎规格,205/60 R16,205/60 R16,205/60 R16
后电动机最大扭矩(N·m),-,-,-
后电动机最大功率(kW),-,-,-
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后制动器类型,盘式,盘式,盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),0.00万,10.00万,0.00万
厂商,比亚迪,比亚迪,比亚迪
助力类型,电动助力,电动助力,电动助力
前轮距(mm),1525,1525,1525
前轮胎规格,205/60 R16,205/60 R16,205/60 R16
前电动机最大扭矩(N·m),180,180,180
前电动机最大功率(kW),70,70,70
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式
