Feature,1006219,1006220,1006221,1006222,1006223,1006224,1006225,1006226,1006227,1007951,1007952,1007953,1008719,1008720
高度(mm),1990,1990,2200,1990,1990,2200,1990,1990,2200,1990,1990,1990,1990,1990
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930
长*宽*高(mm),4930×1744×1990,4930×1744×1990,4930×1744×2200,4930×1744×1990,4930×1744×1990,4930×1744×2200,4930×1744×1990,4930×1744×1990,4930×1744×2200,4930×1744×1990,4930×1744×1990,4930×1744×1990,4930×1744×1990,4930×1744×1990
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195,3195
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,5,5,4,5,5,4,5,5,5,4,5,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,睿行M70 2018款 1.5L标准型2座平顶背掀门DAM15DL,睿行M70 2018款 1.5L标准型2座平顶对开门DAM15DL,睿行M70 2018款 1.5L标准型2座高顶对开门DAM15DL,睿行M70 2018款 1.5L舒适型平顶背掀门DAM15DL,睿行M70 2018款 1.5L舒适型平顶对开门DAM15DL,睿行M70 2018款 1.5L舒适型高顶对开门DAM15DL,睿行M70 2018款 1.5L舒适型CNG平顶背掀门DAM15DL,睿行M70 2018款 1.5L舒适型CNG平顶对开门DAM15DL,睿行M70 2018款 1.5L舒适型CNG高顶对开门DAM15DL,睿行M70 2019款 1.5L舒适型9座国VI平顶背掀门DAM15KL,睿行M70 2019款 1.5L舒适型6座国VI平顶背掀门DAM15KL,睿行M70 2019款 1.5L舒适型6座国VI平顶对开门DAM15KL,睿行M70 2019款 1.5L舒适型7座国V平顶背掀门DAM15DL,睿行M70 2019款 1.5L舒适型7座国VI平顶背掀门DAM15KL
车内中控锁,-,-,-,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
