Feature,31515,31516,31517,31518,31519,35416,35417
高度(mm),1412,1412,1412,1412,1412,1408,1414
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●
长度(mm),4982,4982,4982,4982,4982,4976,4976
长*宽*高(mm),4982*1911*1412,4982*1911*1412,4982*1911*1412,4982*1911*1412,4982*1911*1412,4976*1908*1408,4976*1908*1414
铝合金轮圈,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-
远光灯,LED,LED,LED,LED,LED,LED(选装激光),LED(选装激光)
进气形式,涡轮增压,涡轮增压,涡轮增压,机械增压,机械增压,涡轮增压,涡轮增压
近光灯,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,○,○
运动外观套件,-,●,●,●,●,●,●
轴距(mm),2923,2923,2923,2923,2923,2934,2928
转向辅助灯,-,-,-,-,-,-,-
转向头灯,●,●,●,●,●,●,●
车顶行李架,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,○,●
车载空气净化器,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
