Feature,1005260,1005261,1005262,1005263,1005714,1005715,1005716,1005717,1005718,1005719,1005720,1005721,1006972,1006973
高度(mm),1760,1760,1650,1650,1700,1700,1700,1700,1760,1760,1760,1760,1760,1760
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5576,5221,5455,5100,5100,5455,5100,5455,5221,5576,5221,5576,5100,5455
长*宽*高(mm),5576×1760×1760,5221×1760×1760,5455×1760×1650,5100×1760×1650,5100×1760×1700,5455×1760×1700,5100×1760×1700,5455×1760×1700,5221×1760×1760,5576×1760×1760,5221×1760×1760,5576×1760×1760,5100×1760×1760,5455×1760×1760
铝合金轮圈,●,●,●,●,-,-,-,-,-,-,-,-,●,●
配气机构,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3380,3025,3380,3025,3025,3380,3025,3380,3025,3380,3025,3380,3025,3380
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,雄师F16 2017款 2.4L汽油两驱豪华型国五长厢4G69,雄师F16 2017款 2.4L汽油两驱豪华型国五4G69,雄师F16 2017款 2.2L汽油两驱实用型国五长厢V22,雄师F16 2017款 2.2L汽油两驱实用型国五V22,雄师F16 2017款 2.8T柴油两驱进取型国五4B28V16,雄师F16 2017款 2.8T柴油两驱进取型国五长厢4B28V16,雄师F16 2017款 2.2L汽油两驱新内饰国五V22,雄师F16 2017款 2.2L汽油两驱新内饰国五长厢V22,雄师F16 2017款 2.4L汽油两驱新内饰豪华型国五4G69,雄师F16 2017款 2.4L汽油两驱新内饰豪华型国五长厢4G69,雄师F16 2017款 2.4L汽油四驱新内饰豪华型国五4G69,雄师F16 2017款 2.4L汽油四驱新内饰豪华型国五长厢4G69,雄师F16 2018款 2.8T柴油四驱进取型标双CA4D28C5-1B,雄师F16 2018款 2.8T柴油四驱进取型大双CA4D28C5-1B
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
