Feature,36253,36254,36255
高度(mm),1697,1697,1697
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-
驱动方式,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-
陡坡缓降,●,●,●
防紫外线玻璃,-,-,-
长度(mm),4775,4775,4775
长*宽*高(mm),4775*1902*1697,4775*1902*1697,4775*1902*1697
铝合金轮圈,●,●,●
配气机构,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●
遥控钥匙,●,●,●
道路救援呼叫,-,-,-
远程启动,-,-,-
远光灯,卤素,氙气,氙气
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,氙气,氙气
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),2810,2810,2810
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,●,●,●
车门数(个),5,5,5
车道偏离预警系统,-,-,●
车载空气净化器,-,-,-
车载电视,-,-,-
车载冰箱,-,-,-
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,-,●,●
车窗一键升降,-,全车,全车
车型名称,汉腾X7新能源 2019款 PHEV 智尚型,汉腾X7新能源 2019款 PHEV 智雅型,汉腾X7新能源 2019款 PHEV 智臻型
车内空气调节/花粉过滤,●,●,●
车内氛围灯,-,●,●
车内中控锁,●,●,●
车体结构,承载式,承载式,承载式
行车电脑显示屏,●,●,●
行程(mm),-,-,-
行李厢容积(L),318-736,318-736,318-736
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自适应巡航,-,-,-
自动驻车,●,●,●
自动泊车入位,-,-,-
自动头灯,-,●,●
膝部气囊,-,-,-
腰部支撑调节,-,-,-
能源类型,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测装置,●,●,●
肩部支撑调节,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),-,-,-
缸体材料,铸铁,铸铁,铸铁
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),-,-,-
系统综合功率(kW),-,-,-
简称,6挡双离合,6挡双离合,6挡双离合
第二排靠背角度调节,-,-,-
第二排独立座椅,-,-,-
第二排座椅移动,-,-,-
第三排座椅,-,-,-
空调控制方式,手动●,自动●,自动●
空气悬架,-,-,-
皮质方向盘,●,●,●
百公里耗电量(kWh/100km),-,-,-
疲劳驾驶提示,-,●,●
电磁感应悬架,-,-,-
电池能量(kWh),13.13,13.13,13.13
电池组质保,待查,待查,待查
电池类型,三元锂电池,三元锂电池,三元锂电池
电机类型,-,-,-
电机布局,-,-,-
电动机总扭矩(N·m),235,235,235
电动机总功率(kW),68,68,68
电动座椅记忆,-,-,-
电动天窗,●,●,●
电动吸合门,-,-,-
电动后备厢,-,●,●
环保标准,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
燃料形式,插电式混合动力,插电式混合动力,插电式混合动力
温度分区控制,-,●,●
流媒体车内后视镜,-,-,-
油箱容积(L),34,34,34
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),-,-,-
最小离地间隙(mm),-,-,-
最大马力(Ps),170,170,170
最大扭矩转速(rpm),2000-4000,2000-4000,2000-4000
最大扭矩(N·m)_y,245,245,245
最大扭矩(N·m)_x,-,-,-
最大功率转速(rpm),2000-5800,2000-5800,2000-5800
最大功率(kW)_y,125,125,125
最大功率(kW)_x,-,-,-
无钥匙进入系统,●,●,●
无钥匙启动系统,●,●,●
方向盘调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-
方向盘电动调节,-,-,-
方向盘换挡,-,-,-
方向盘加热,-,-,-
整车质保,待查,待查,待查
整备质量(kg),-,-,-
整体主动转向系统,-,-,-
排量(mL),1799,1799,1799
挡位个数,6,6,6
扬声器品牌,-,-,-
扬声器个数,4-5喇叭,4-5喇叭,6-7喇叭
手机无线充电,-,-,-
手机互联/映射功能,-,-,-
慢充时间(小时)_y,-,-,-
慢充时间(小时)_x,-,-,-
感应雨刷,-,●,●
感应后备厢,-,-,-
