,32918,32919,32920,35224,35225,35226
前/后排座椅加热,-,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,-,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○
前/后排座椅通风,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-
GPS导航系统,-,●,●,-,●,●
道路救援呼叫,-,●,●,-,●,●
中控台彩色大屏,●,●,●,●,●,●
中控台彩色大屏尺寸,7英寸,7英寸,7英寸,7英寸,7英寸,7英寸
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●
手机互联/映射,-,●,●,-,●,●
车联网,●,●,●,●,●,●
车载电视,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB
CD/DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD
扬声器品牌,-,-,-,-,-,-
扬声器数量,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭
近光灯,氙气,氙气,氙气,氙气,氙气,氙气
远光灯,卤素+氙气,卤素+氙气,卤素+氙气,卤素+氙气,卤素+氙气,卤素+氙气
LED日间行车灯,●,●,●,●,●,●
自适应远近光,-,-,●,-,-,●
自动头灯,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-
转向头灯,●,●,●,●,●,●
前雾灯,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●
车内氛围灯,-,-,●,-,-,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●
后视镜记忆,●,●,●,●,●,●
后风挡遮阳帘,-,-,●,-,-,●
后排侧遮阳帘,-,-,●,-,-,●
后排侧隐私玻璃,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-
感应雨刷,-,-,●,-,-,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,沃尔沃S60L 2018款 T3 智进进取版,沃尔沃S60L 2018款 T4 智远进取版,沃尔沃S60L 2018款 T5 智驭进取版,沃尔沃S60L 2019款 T3 智进版,沃尔沃S60L 2019款 T5 智远版,沃尔沃S60L 2019款 T5 智驭版
厂商指导价(元),27.69万,30.99万,34.09万,27.69万,30.99万,34.09万
厂商,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太,沃尔沃亚太
级别,中型车,中型车,中型车,中型车,中型车,中型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.11,2017.11,2017.11,2018.07,2018.07,2018.07
最大功率(kW)_x,112,140,180,112,180,180
最大扭矩(N·m)_x,250,300,350,250,350,350
发动机,1.5T 152马力 L4,2.0T 190马力 L4,2.0T 245马力 L4,1.5T 152马力 L4,2.0T 245马力 L4,2.0T 245马力 L4
变速箱,6挡手自一体,6挡手自一体,8挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4715*1866*1481,4715*1866*1481,4715*1866*1481,4715*1866*1481,4715*1866*1481,4715*1866*1481
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),210,230,230,210,230,230
官方0-100km/h加速(s),8.7,7.3,6.4,8.7,6.4,6.4
实测0-100km/h加速(s),-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-
工信部综合油耗(L/100km),5.9,6.2,6.5,5.9,6.5,6.5
实测油耗(L/100km),-,-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),4715,4715,4715,4715,4715,4715
宽度(mm),1866,1866,1866,1866,1866,1866
高度(mm),1481,1481,1481,1481,1481,1481
轴距(mm),2856,2856,2856,2856,2856,2856
前轮距(mm),-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-
最小离地间隙(mm),137,137,137,137,137,137
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4
座位数(个),5,5,5,5,5,5
油箱容积(L),68,68,68,68,68,68
行李厢容积(L),380,380,380,380,380,380
整备质量(kg),1610,1628,1651,-,-,-
发动机型号,B4154T4,B4204T19,B4204T11,B4154T4,B4204T11,B4204T11
排量(mL),1498,1969,1969,1498,1969,1969
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),152,190,245,152,245,245
最大功率(kW)_y,112,140,180,112,180,180
最大功率转速(rpm),5000,4700,5500,5000,5500,5500
最大扭矩(N·m)_y,250,300,350,250,350,350
最大扭矩转速(rpm),1700-4000,1300-4000,1500-4800,1700-4000,1500-4800,1500-4800
发动机特有技术,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V
挡位个数,6,6,8,6,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,6挡手自一体,6挡手自一体,8挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,235/45 R17,235/45 R18,235/45 R18,235/45 R17,235/45 R18,235/45 R18
后轮胎规格,235/45 R17,235/45 R18,235/45 R18,235/45 R17,235/45 R18,235/45 R18
备胎规格,无,无,无,无,无,无
