Feature,26857,26858,26859,26860,26861,26862,31591,31592,31593,33168,35401,36677
高度(mm),1688,1715,1715,1715,1715,1715,1715,1715,1715,1715,1688,1715
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4555,4555,4555,4555,4555,4555,4555,4555,4555,4555,4555,4555
长*宽*高(mm),4555*1835*1688,4555*1835*1715,4555*1835*1715,4555*1835*1715,4555*1835*1715,4555*1835*1715,4555*1835*1715,4555*1835*1715,4555*1835*1715,4555*1835*1715,4555*1835*1688,4555*1835*1715
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,●,●,●,●,●,●,●,●,●,-,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,●,-,●,-,●,●,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,●,●,●,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,野马T70 2016款 升级版 1.8L 手动舒适型,野马T70 2016款 升级版 1.8L 手动精英型,野马T70 2016款 升级版 1.5T 手动领先型,野马T70 2016款 升级版 1.5T 手动豪华型,野马T70 2016款 升级版 1.8T CVT进取型,野马T70 2016款 升级版 1.8T CVT旗舰型,野马T70 2017款 T70S 运动版 1.5T 手动领先型,野马T70 2017款 T70S 运动版 1.5T 手动豪华型,野马T70 2017款 T70S 运动版 1.8T CVT旗舰型,野马T70 2017款 T70S 运动版 1.5T 手动精英型,野马T70 2018款 T70S 1.8L 手动超值天窗版,野马T70 2019款 T70S 运动版 1.5T 手动领先型
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,●,-,●,●,●,●,●,●,●,-,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,●,-,●,-,●,●,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,●,-,●,-,●,●,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,5挡手动,5挡手动,5挡手动,5挡手动,CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),5挡手动,5挡手动,CVT无级变速(模拟6挡),5挡手动,5挡手动,5挡手动
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●
第三排座椅,(选装2座),(选装2座),(选装2座),(选装2座),(选装2座),(选装2座),(选装2座),(选装2座),(选装2座),-,-,(选装2座)
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,●,-,-,●,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,●,-,●,-,●,-,-,-,-,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,●,●,●,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),170,170,160,160,180,180,160,160,180,160,170,160
最小离地间隙(mm),194,194,194,194,194,194,194,194,194,194,194,194
最大马力(Ps),136,136,150,150,160,160,156,150,160,150,136,156
最大扭矩转速(rpm),4100-4300,4100-4300,3500-4000,3500-4000,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,4100-4300,2000-4500
最大扭矩(N·m)_y,170,170,200,200,215,215,215,200,215,200,170,215
最大扭矩(N·m)_x,170,170,200,200,215,215,215,200,215,200,170,215
最大功率转速(rpm),6000,6000,5000-6000,5000-6000,5500,5500,5000,5500,5500,5500,6000,5000
最大功率(kW)_y,100,100,110,110,118,118,115,110,118,110,100,115
最大功率(kW)_x,100,100,110,110,118,118,115,110,118,110,100,115
无钥匙进入系统,-,-,-,●,-,●,-,●,●,●,-,-
无钥匙启动系统,-,-,-,●,-,●,-,●,●,●,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里
整备质量(kg),1545,1545,1545,1545,1565,1565,1545,1545,1565,1545,1545,1545
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1792,1792,1499,1499,1796,1796,1499,1499,1796,1499,1792,1499
挡位个数,5,5,5,5,6,6,5,5,6,5,5,5
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,2-3喇叭,4-5喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,-,-,-,●,-,●,●,●,●,●,●,●
感应雨刷,-,-,-,●,-,●,-,●,●,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,仿皮,仿皮,仿皮,仿皮,仿皮,真皮,仿皮,仿皮,真皮,仿皮,仿皮,仿皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,●,-,●,-,-,-,-,-,-
工信部综合油耗(L/100km),7.7,7.7,7.4,7.4,8.4,8.4,7.4,7.4,8.4,7.4,7.7,7.4
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
实测油耗(L/100km),-,-,-,-,-,-,-,-,9.11,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,43.85,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,10.78,-,-,-
定速巡航,-,-,-,●,-,●,-,●,●,●,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,●,●,●,-,●,●,●,●,●,-,●
外接音源接口,USB+AUX+SD卡插槽,USB+SD卡插槽,USB+AUX+SD卡插槽,USB,USB+SD卡插槽,USB,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB,USB+AUX
备胎规格,全尺寸,全尺寸,非全尺寸,全尺寸,全尺寸,全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
后轮胎规格,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/65 R17
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,●,●,●,-,●,●,-,-,-
后视镜加热,-,-,-,●,●,●,-,●,●,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,●,-,●,●,●,-,●,●,●,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),5挡手动,5挡手动,CVT无级变速(模拟6挡),5挡手动,5挡手动,5挡手动
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,-,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,GE18,GE18,4A91T,4A91T,18K4G,18K4G,GE15T,4A91T,18K4G,4A91T,GE18,GE15T
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.8L 136马力 L4,1.8L 136马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.8T 160马力 L4,1.8T 160马力 L4,1.5T 156马力 L4,1.5T 150马力 L4,1.8T 160马力 L4,1.5T 150马力 L4,1.8L 136马力 L4,1.5T 156马力 L4
压缩比,10,10,9.5,9.5,9.2,9.2,9.5,9.5,9.2,9.5,10,9.5
