Feature,1013560,1013884,1013885,1013886,1013887,1013888,1013889,1013890,1013891,1013892,1013893,1013894,1013895,1013896,1013897,1013898,1014043,1014044,1014045,1014046,1014047,1014048,1014049,1014050,1014051,1014052,1014053,1014054,1014055,1014056,1014057,1014058,1014059,1014060,1014061,1014062,1014063,1014064,1014065,1014066,1014067,1014068,1014069,1014070,1014071,1014072,1014073,1014074,1014075,1014076,1014077,1014078,1014097,1014098,1014099,1014179,1014180,1014181,1014182,1014279,1014280,1014281,1014282,1015437,1015779,1015923,1015924,1015925,1016550,1016551,1016552,1016553,1016554,1016555,1016556,1016557,1016558,1016559,1016560,1016561,1016562,1016563,1016564,1016565,1016566,1016567,1016568,1016569,1016570,1016571,1016572,1016573,1016574,1016575,1016576,1016577,1016578,1016579,1016580,1016581,1016582,1016583,1016593,1016594,1016595
高度(mm),1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1842,1842,1842,1842,1832,1842,1832,1832,1832,1832,1832,1857,1847,1857,1847,1866,1832,1866,1866,1866,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,-,-,-,-,-,-,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,-,-,-,-,-,-,-,-,1832,1832,1832
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,-,-,-,-,-,-,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,-,-,-,-,-,-,-,-,前置后驱,前置后驱,前置后驱
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,-,-,,,-,,,,,,-,,,,-,-,-,-,,,,,-,-,-,-,,,,,-,-,-,-,,,,,,,-,-,-,-,,,,,-,-,-
长度(mm),5287,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5537,5287,5287,5287,5287,5287,5287,5287,5320,5320,5320,5320,5268,5287,5268,5268,5268,5287,5287,5287,5287,5287,5287,5287,5287,5537,5537,-,-,-,-,-,-,5287,5287,5287,5287,5287,5287,5287,5287,5287,5287,-,-,-,-,-,-,-,-,5287,5287,5287
长*宽*高(mm),5287×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1832,5537×1850×1832,5287×1850×1875,5537×1850×1875,5287×1850×1875,5537×1850×1875,5287×1850×1875,5537×1850×1875,5287×1850×1875,5537×1850×1875,5287×1850×1875,5537×1850×1875,5287×1850×1875,5537×1850×1875,5287×1850×1875,5537×1850×1875,5287×1850×1875,5537×1850×1875,5287×1850×1842,5537×1850×1842,5287×1850×1842,5537×1850×1842,5287×1850×1832,5287×1850×1842,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5320×1932×1857,5320×1932×1847,5320×1932×1857,5320×1932×1847,5268*1940*1866,5287×1850×1832,5268*1940*1866,5268*1940*1866,5268*1940*1866,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287*1850*1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287*1850*1832,5537*1850*1832,5537*1850*1832,-,-,-,-,-,-,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,5287×1850×1832,-,-,-,-,-,-,-,-,5287×1850×1832,5287×1850×1832,5287×1850×1832
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,DOHC,DOHC,DOHC
