,1004926,1004927,1005187,1005188,1005226,1005227
第二排靠背角度调节,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第三排座椅,-,-,3座,3座,-,-
后排座椅放倒方式,-,整体放倒,整体放倒,整体放倒,-,整体放倒
前/后中央扶手,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-
定位互动服务,-,-,-,-,-,-
中控台彩色大屏,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-
扬声器数量,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●
大灯高度可调,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗防夹手功能,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-
后视镜电动调节,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-
空调控制方式,-,-,手动●,-,手动●,手动●
后排独立空调,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,成功V2 2016款 1.3L双盲窗HH413Q/P-A,成功V2 2016款 1.3L单盲窗HH413Q/P-A,成功V2 2017款 1.3L舒适型HH413Q/P-A,成功V2 2017款 1.3L基本型HH413Q/P-A,成功V2 2017款 1.3L双盲窗HH413Q/P-A,成功V2 2017款 1.3L单盲窗HH413Q/P-A
厂商指导价(元),3.88万,3.78万,3.98万,3.68万,4.18万,4.08万
厂商,成功汽车,成功汽车,成功汽车,成功汽车,成功汽车,成功汽车
级别,微面,微面,微面,微面,微面,微面
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.12,2016.12,2017.03,2017.03,2017.03,2017.03
工信部纯电续驶里程(km),-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-
发动机,1.3L 87马力 L4,1.3L 87马力 L4,1.3L 87马力 L4,1.3L 87马力 L4,1.3L 87马力 L4,1.3L 87马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4330×1650×1920,4330×1650×1920,4330×1650×1920,4330×1650×1920,4330×1650×1920,4330×1650×1920
车身结构_x,货车,货车,客车,客车,货车,货车
最高车速(km/h),-,-,130,130,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-
整车质保,-,-,三年或8万公里,三年或8万公里,-,-
长度(mm),4330,4330,4330,4330,4330,4330
宽度(mm),1650,1650,1650,1650,1650,1650
高度(mm),1920,1920,1920,1920,1920,1920
轴距(mm),2850,2850,2850,2850,2850,2850
前轮距(mm),1390,1390,1390,1390,1390,1390
后轮距(mm),1410,1410,1410,1410,1410,1410
最小离地间隙(mm),-,-,160,160,-,-
整备质量(kg),1220,1220,1220,1220,-,-
车身结构_y,货车,货车,客车,客车,货车,货车
车门数(个),5,5,5,5,5,5
座位数(个),2,5,7,7,2,5
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),40,40,40,40,40,40
货箱尺寸(mm),-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,无助力,无助力,无助力,无助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14
后轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14
发动机型号,HH413Q/P-A,HH413Q/P-A,HH413Q/P-A,HH413Q/P-A,HH413Q/P-A,HH413Q/P-A
排量(mL),1300,1300,1300,1300,1300,1300
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,10,10,10,10,10,10
配气机构,未知,未知,未知,未知,未知,未知
缸径(mm),69.7,69.7,69.7,69.7,69.7,69.7
行程(mm),82,82,82,82,82,82
最大马力(Ps),87,87,87,87,87,87
最大功率(kW)_y,64,64,64,64,64,64
最大功率转速(rpm),6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,127,127,127,127,127,127
最大扭矩转速(rpm),-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝,铝,铝,铝,铝,铝
缸体材料,未知,未知,未知,未知,未知,未知
环保标准,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-
电机布局,-,-,-,-,-,-
电池类型,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-
电池组质保,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-
