Feature,1007077,1007165,1007166,1007167,1007168,1007169,1007170,1007171,1007172,1007173,1007174,1007175,1007176,1007177,1007178,1007179,1007180,1007181,1007182,1007183,1007184,1007185,1007186,1007187,1007188,1007189,1007190,1007191,1007192,1007193,1007194,1007195,1007196,1007197,1007198,1007199,1007200,1007201,1007202,1007203,1007204,1007205,1007206,1007207,1007208,1007209,1007210,1007211,1007212,1007213,1007214,1007215,1008084,1008085,1008086,1008087,1008088,1008089,1008090,1008958,1008959,1008960,1008961,1008962,1008963
高度(mm),1985,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1965,1965,1965,2445,2445,2445,2445,1985,1985,2455,2455,2455,2455
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5310,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5040,5040,5040,5100,5100,5100,5100,5350,5350,5405,5405,5405,5405
长*宽*高(mm),5310×1600×1985,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5000×1600×1965,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5310×1600×1985,5040×1600×1965,5040×1600×1965,5040×1600×1965,5100×1600×2445,5100×1600×2445,5100×1615×2445,5100×1615×2445,5350×1600×1985,5350×1600×1985,5405×1600×2455,5405×1600×2455,5405×1615×2455,5405×1615×2455
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
