,1004639,1005212,1005228,1005229,1005230,1005231,1005232,1005233,1005234,1005235,1005236,1005237,1005238,1005239,1005240,1005241,1005242
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
定位互动服务,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
蓝牙/车载电话,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,2-3喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,2-3喇叭,4-5喇叭,2-3喇叭,2-3喇叭,4-5喇叭,2-3喇叭,2-3喇叭,2-3喇叭,4-5喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
后视镜加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,●,●,●,●,-,●,-,-,●,-,-,-,●,-,-,-
后座出风口,-,●,●,●,●,-,●,-,-,●,-,-,-,●,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,特顺 2017款 2.8T商运型短轴中顶6/7/8座JX493,特顺 2017款 2.4L商务型长轴高顶14/15座4G69S4N,特顺 2017款 2.8T商务型长轴高顶14/15座JX493,特顺 2017款 2.8T商务型长轴中顶14/15座JX493,特顺 2017款 2.4L商务型长轴中顶14/15座4G69S4N,特顺 2017款 2.8T商运型短轴低顶6/7/8座JX493,特顺 2017款 2.4L商务型短轴中顶11/12座4G69S4N,特顺 2017款 2.8T商运型长轴高顶6/7/8座JX493,特顺 2017款 2.8T商运型长轴中顶6/7/8座JX493,特顺 2017款 2.8T商务型短轴中顶7/8座JX493,特顺 2017款 2.4L商运型长轴中顶3座4G69S4N,特顺 2017款 2.8T商运型短轴中顶3座JX493,特顺 2017款 2.8T商运型短轴中顶10座JX493,特顺 2017款 2.8T商务型短轴中顶11/12座JX493,特顺 2017款 2.8T商运型长轴中顶3座JX493,特顺 2017款 2.8T商运型长轴中顶10座JX493,特顺 2017款 2.8T商运型长轴高顶10座JX493
厂商指导价(元),10.83万,12.63万,14.27万,13.54万,12.04万,10.41万,11.24万,13.03万,12.63万,12.92万,11.27万,10.13万,10.70万,12.81万,12.33万,12.29万,12.69万
厂商,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
能源类型,柴油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油
上市时间,2016.09,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,2017.03,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.4L 136马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4,2.8T 116马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4744×1972×2215,5496×1972×2625,5496×1972×2625,5496×1972×2240,5496×1972×2240,4744×1972×2025,4744×1972×2215,5496×1972×2625,5496×1972×2240,4744×1972×2215,5496×1972×2240,4744×1972×2215,4744×1972×2215,4744×1972×2215,5496×1972×2240,5496×1972×2240,5496×1972×2625
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4744,5496,5496,5496,5496,4744,4744,5496,5496,4744,5496,4744,4744,4744,5496,5496,5496
宽度(mm),1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972
高度(mm),2215,2625,2625,2240,2240,2025,2215,2625,2240,2215,2240,2215,2215,2215,2240,2240,2625
轴距(mm),2835,3570,3570,3570,3570,2835,2835,3570,3570,2835,3570,2835,2835,2835,3570,3570,3570
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),6/7/8,14/15,14/15,14/15,14/15,6/7/8,11/12,6/7/8,6/7/8,7/8,3,3,10,11/12,3,10,10
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧,变截面钢板弹簧
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,215/70 R15,225/70 R15,225/70 R15,225/70 R15,225/70 R15,215/70 R15,215/70 R15,225/70 R15,225/70 R15,215/70 R15,225/70 R15,215/70 R15,215/70 R15,215/70 R15,225/70 R15,225/70 R15,225/70 R15
后轮胎规格,215/70 R15,225/70 R15,225/70 R15,225/70 R15,225/70 R15,215/70 R15,215/70 R15,225/70 R15,225/70 R15,215/70 R15,225/70 R15,215/70 R15,215/70 R15,215/70 R15,225/70 R15,225/70 R15,225/70 R15
发动机型号,JX493,4G69S4N,JX493,JX493,4G69S4N,JX493,4G69S4N,JX493,JX493,JX493,4G69S4N,JX493,JX493,JX493,JX493,JX493,JX493
排量(mL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),未知,4,未知,未知,4,未知,4,未知,未知,未知,4,未知,未知,未知,未知,未知,未知
压缩比,-,9.8,-,-,9.8,-,9.8,-,-,-,9.8,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),116,136,116,116,136,116,136,116,116,116,136,116,116,116,116,116,116
最大功率(kW)_y,85,100,85,85,100,85,100,85,85,85,100,85,85,85,85,85,85
最大功率转速(rpm),3200,5250,3200,3200,5250,3200,5250,3200,3200,3200,5250,3200,3200,3200,3200,3200,3200
最大扭矩(N·m)_y,285,200,285,285,200,285,200,285,285,285,200,285,285,285,285,285,285
最大扭矩转速(rpm),2000,2500-4000,2000,2000,2500-4000,2000,2500-4000,2000,2000,2000,2500-4000,2000,2000,2000,2000,2000,2000
燃料形式,柴油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油
燃油标号,0号,92号,0号,0号,92号,0号,92号,0号,0号,0号,92号,0号,0号,0号,0号,0号,0号
供油方式,直喷,多点电喷,直喷,直喷,多点电喷,直喷,多点电喷,直喷,直喷,直喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,未知,铝,未知,未知,铝,未知,铝,未知,未知,未知,铝,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
环保标准,国IV/国V,国V,国IV/国V,国IV/国V,国V,国IV/国V,国V,国IV/国V,国IV/国V,国IV/国V,国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
