Feature,1012164,1012165,1012166,1012167,1012168,1012169,1012170,1012171,1013543,1013544,1013545,1013546,1013547,1013548,1013549,1013550,1013551,1013552,1013553,1013554,1013555,1013556,1013557,1013558,1013787,1013788,1014024
高度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1845,1845,1845,1845,1855,1855,1855,1855,1845,1845,1845,1845,1840,1840,1840,1840,-,-,2030
驾驶辅助影像,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,-,-,,,-,-,,,-,-,,,-,-,,,,,,,,,,,
长度(mm),5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,-,-,5435
长*宽*高(mm),5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1920×1845,5624×1920×1845,5341×1920×1845,5624×1920×1845,5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1885×1845,5624×1885×1845,5341×1885×1845,5624×1885×1845,5341×1885×1840,5624×1885×1840,5341×1885×1840,5624×1885×1840,××,××,5435×2045×2030
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,未知,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3230,3230
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
