,24298,24299,25920
定位互动服务,-,-,-
中控台彩色大屏,-,●,-
中控台彩色大屏尺寸,-,7英寸,-
中控液晶屏分屏显示,-,-,-
蓝牙/车载电话,-,●,-
手机互联/映射,-,-,-
车载电视,-,-,-
后排液晶屏,-,-,-
220V/230V电源,-,-,-
外接音源接口,USB,USB+SD卡插槽,USB
CD/DVD,-,-,-
扬声器品牌,-,-,-
扬声器数量,4-5喇叭,6-7喇叭,4-5喇叭
近光灯,卤素,卤素,卤素
远光灯,卤素,卤素,卤素
LED日间行车灯,-,●,○
自适应远近光,-,-,-
自动头灯,-,-,-
转向辅助灯,-,-,-
转向头灯,-,-,-
前雾灯,-,●,○
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
车内氛围灯,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-
车窗防夹手功能,-,-,-
防紫外线/隔热玻璃,-,-,-
后视镜电动调节,●,●,○
后视镜加热,-,-,-
内/外后视镜自动防眩目,-,-,-
流媒体车内后视镜,-,-,-
后视镜电动折叠,-,-,-
后视镜记忆,-,-,-
后风挡遮阳帘,-,-,-
后排侧遮阳帘,-,-,-
后排侧隐私玻璃,-,-,-
遮阳板化妆镜,●,●,●
后雨刷,●,●,-
感应雨刷,-,-,-
空调控制方式,手动●,手动●,手动●
后排独立空调,-,-,-
后座出风口,-,-,-
温度分区控制,-,-,-
车内空气调节/花粉过滤,-,-,-
车载冰箱,-,-,-
车型名称,北汽幻速S2 2016款 1.5L 手动舒适型 国V,北汽幻速S2 2016款 1.5L 手动豪华型 国V,北汽幻速S2 2016款 1.5L 手动创业型 国V
厂商指导价(元),5.78万,6.08万,5.18万
厂商,北汽银翔,北汽银翔,北汽银翔
级别,小型SUV,小型SUV,小型SUV
能源类型,汽油,汽油,汽油
上市时间,2015.10,2015.10,2016.04
最大功率(kW)_x,83,83,83
最大扭矩(N·m)_x,150,150,150
发动机,1.5L 113马力 L4,1.5L 113马力 L4,1.5L 113马力 L4
变速箱,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4250*1730*1770,4250*1730*1770,4250*1730*1735
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),160,160,160
官方0-100km/h加速(s),-,-,-
实测0-100km/h加速(s),-,-,-
实测100-0km/h制动(m),-,-,-
工信部综合油耗(L/100km),6.8,6.8,6.8
实测油耗(L/100km),-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4250,4250,4250
宽度(mm),1730,1730,1730
高度(mm),1770,1770,1735
轴距(mm),2560,2560,2560
前轮距(mm),1430,1430,1430
后轮距(mm),1450,1450,1450
最小离地间隙(mm),-,-,-
车身结构_y,SUV,SUV,SUV
车门数(个),5,5,5
座位数(个),5,5,5
油箱容积(L),45,45,45
行李厢容积(L),-,-,-
整备质量(kg),1220,1220,1220
发动机型号,BJ415C,BJ415C,BJ415C
排量(mL),1500,1500,1500
进气形式,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L
气缸数(个),4,4,4
每缸气门数(个),4,4,4
压缩比,-,-,-
配气机构,DOHC,DOHC,DOHC
缸径(mm),-,-,-
行程(mm),-,-,-
最大马力(Ps),113,113,113
最大功率(kW)_y,83,83,83
最大功率转速(rpm),6000,6000,6000
最大扭矩(N·m)_y,150,150,150
最大扭矩转速(rpm),3000-5000,3000-5000,3000-5000
发动机特有技术,DVVT/VIS,DVVT/VIS,DVVT/VIS
燃料形式,汽油,汽油,汽油
燃油标号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁
环保标准,国V,国V,国V
挡位个数,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
简称,5挡手动,5挡手动,5挡手动
驱动方式,前置后驱,前置后驱,前置后驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,五连杆后悬架,五连杆后悬架,五连杆后悬架
助力类型,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,盘式,鼓式
驻车制动类型,手刹,手刹,手刹
前轮胎规格,205/65 R16,205/65 R16,205/65 R16
后轮胎规格,205/65 R16,205/65 R16,205/65 R16
备胎规格,非全尺寸,非全尺寸,非全尺寸
