,22406,22407,22408,22409,26513,26514
运动风格座椅,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-
定位互动服务,-,-,-,-,-,-
中控台彩色大屏,-,-,-,-,-,-
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,-,-,单碟CD,单碟CD,-,-
扬声器品牌,-,-,-,-,-,-
扬声器数量,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
前雾灯,-,-,●,●,●,●
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-
车内空气调节/花粉过滤,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-
车型名称,启辰D50 2015款 1.6L 手动时尚版,启辰D50 2015款 1.6L 自动时尚版,启辰D50 2015款 1.6L 手动豪华版,启辰D50 2015款 1.6L 自动豪华版,启辰D50 2016款 1.6L 手动精英版,启辰D50 2016款 1.6L 自动精英版
厂商指导价(元),6.98万,7.88万,7.68万,8.58万,7.33万,8.23万
厂商,东风启辰,东风启辰,东风启辰,东风启辰,东风启辰,东风启辰
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2015.04,2015.04,2015.04,2015.04,2016.05,2016.05
最大功率(kW)_x,86,86,86,86,86,86
最大扭矩(N·m)_x,153,153,153,153,153,153
发动机,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4
变速箱,5挡手动,4挡自动,5挡手动,4挡自动,5挡手动,4挡自动
长*宽*高(mm),4480*1695*1535,4480*1695*1535,4480*1695*1535,4480*1695*1535,4480*1695*1535,4480*1695*1535
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),185,175,185,175,185,175
官方0-100km/h加速(s),11.4,11.9,11.4,11.9,11.4,11.9
实测0-100km/h加速(s),-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-
工信部综合油耗(L/100km),5.9,6.9,5.9,6.9,5.9,6.9
实测油耗(L/100km),-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4480,4480,4480,4480,4480,4480
宽度(mm),1695,1695,1695,1695,1695,1695
高度(mm),1535,1535,1535,1535,1535,1535
轴距(mm),2600,2600,2600,2600,2600,2600
前轮距(mm),1480,1480,1480,1480,1480,1480
后轮距(mm),1485,1485,1485,1485,1485,1485
最小离地间隙(mm),-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4
座位数(个),5,5,5,5,5,5
油箱容积(L),52,52,52,52,52,52
行李厢容积(L),-,-,-,-,-,-
整备质量(kg),1107,1131,1119,1146,1107,1131
发动机型号,HR16DE,HR16DE,HR16DE,HR16DE,HR16DE,HR16DE
排量(mL),1598,1598,1598,1598,1598,1598
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,9.8,9.8,9.8,9.8,9.8,9.8
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),117,117,117,117,117,117
最大功率(kW)_y,86,86,86,86,86,86
最大功率转速(rpm),6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,153,153,153,153,153,153
最大扭矩转速(rpm),4400,4400,4400,4400,4400,4400
发动机特有技术,连续可变气门正时,连续可变气门正时,连续可变气门正时,连续可变气门正时,连续可变气门正时,连续可变气门正时
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V+OBD,国V+OBD,国V+OBD,国V+OBD,国V+OBD,国V+OBD
挡位个数,5,4,5,4,5,4
变速箱类型,手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT)
简称,5挡手动,4挡自动,5挡手动,4挡自动,5挡手动,4挡自动
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架+横向稳定杆,麦弗逊式独立悬架+横向稳定杆,麦弗逊式独立悬架+横向稳定杆,麦弗逊式独立悬架+横向稳定杆,麦弗逊式独立悬架+横向稳定杆,麦弗逊式独立悬架+横向稳定杆
后悬架类型,带稳定杆扭力梁式后悬架,带稳定杆扭力梁式后悬架,带稳定杆扭力梁式后悬架,带稳定杆扭力梁式后悬架,带稳定杆扭力梁式后悬架,带稳定杆扭力梁式后悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,185/65 R15,185/65 R15,185/65 R15,185/65 R15,185/65 R15,185/65 R15
后轮胎规格,185/65 R15 ,185/65 R15 ,185/65 R15 ,185/65 R15 ,185/65 R15 ,185/65 R15 
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
