Feature,47303,47304,48386,48393,48394,48395,54242,54243
高度(mm),1428,1428,1428,1423,1428,1432,1423,1428
驾驶辅助影像,,,,,,,-,-
驾驶模式切换,,,,,,,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,-,-
长度(mm),5049,5199,5049,5049,5199,5199,5049,5199
长*宽*高(mm),5049*1937*1428,5199*1937*1428,5049*1937*1428,5049*1937*1423,5199*1937*1428,5199*1937*1432,5049*1937*1423,5199*1937*1428
钥匙类型,,,,,,,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-
道路交通标识识别,○,○,○,○,○,○,-,-
远程启动功能,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,-,-
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,-,-
运动风格座椅,○,○,○,○,-,-,-,-
运动外观套件,●,●,●,●,●,●,-,-
辅助驾驶芯片,-,-,-,-,-,-,-,-
轴距(mm),2950,3100,2950,2950,3100,3100,2950,3100
轮圈材质,,,,,,,-,-
转向辅助灯,○,○,○,○,○,○,-,-
转向头灯,○,○,○,○,○,○,-,-
车顶行李架,○,-,○,○,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5
车道偏离预警系统,●,●,●,●,●,●,-,-
车道保持辅助系统,●,●,●,●,●,●,-,-
车载空气净化器,●,●,●,●,●,●,-,-
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车载CD/DVD,,,,,,,-,-
车身结构_y,旅行车,掀背车,旅行车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座旅行车,5门4座掀背车,5门5座旅行车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,-,-
车联网,●,●,●,●,●,●,-,-
车窗防夹手功能,●,●,●,●,●,●,-,-
车窗一键升降功能,,,,,,,-,-
车型名称,Panamera新能源 2021款 Panamera 4S E-Hybrid Sport Turismo 2.9T,Panamera新能源 2021款 Panamera 4S E-Hybrid 行政加长版 2.9T,Panamera新能源 2021款 Panamera 4 E-Hybrid Sport Turismo 2.9T,Panamera新能源 2021款 Panamera 4 E-Hybrid 2.9T,Panamera新能源 2021款 Panamera 4 E-Hybrid 行政加长版 2.9T,Panamera新能源 2021款 Panamera Turbo S E-Hybrid 行政加长版 4.0T,Panamera新能源 2022款 Panamera 4 E-Hybrid 铂金版 2.9T,Panamera新能源 2022款 Panamera 4 E-Hybrid 行政加长铂金版 2.9T
车前雾灯,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,-,-
车内化妆镜,,,,,,,-,-
车内中控锁,●,●,●,●,●,●,-,-
车内PM2.5过滤装置,●,●,●,●,●,●,-,-
车侧脚踏板,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-,-
负离子发生器,●,●,●,●,●,●,-,-
语音识别控制系统,,,,,,,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,-,-
行程(mm),-,-,-,-,-,-,-,-
行李厢容积(L),418-1287,403-1391,418-1287,403-1242,403-1391,403-1391,403-1242,403-1391
行李厢12V电源接口,●,●,●,●,●,●,-,-
蓝牙/车载电话,●,●,●,●,●,●,-,-
芯片总算力,-,-,-,-,-,-,-,-
自适应远近光,○,○,○,○,○,○,-,-
自动驻车,●,●,●,●,●,●,-,-
自动泊车入位,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,-,-
膝部气囊,●,●,●,●,●,●,-,-
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
纯电续航里程(km),64,64,-,-,-,-,-,-
级别,大型车,大型车,大型车,大型车,大型车,大型车,大型车,大型车
系统综合扭矩(N·m),750,750,700,700,700,870,700,700
系统综合功率(kW),412,412,340,340,340,514,340,340
简称,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合
第二排独立座椅,○,●,○,○,●,●,-,-
第二排座椅调节,,,,,,,-,-
空调温度控制方式,,,,,,,-,-
空气悬架,●,●,●,●,●,●,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-
电池能量(kWh),17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9
电池组质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里
电池类型,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-
电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),400,400,400,400,400,400,400,400
电动机总功率(kW),100,100,100,100,100,100,100,100
电动机(Ps),136,136,136,136,136,136,136,136
电动扰流板,●,●,●,●,●,●,-,-
电动座椅记忆功能,,,,,,,-,-
电动吸合车门,,,,,,,-,-
电动后备厢位置记忆,●,●,●,●,●,●,-,-
电动后备厢,●,●,●,●,●,●,-,-
电动可调踏板,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,-,-
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
灯光特色功能,,,,,,,-,-
激光雷达数量,-,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-
涉水感应系统,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-
气缸数(个),6,6,6,6,6,8,6,6
气缸排列形式,V,V,V,V,V,V,V,V
毫米波雷达数量,-,-,-,-,-,-,-,-
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),293,298,280,280,280,315,280,280
最小离地间隙(mm),-,-,-,-,-,-,-,-
最大马力(Ps),441,441,330,330,330,571,330,330
最大扭矩转速(rpm),2000-5500,2000-5500,1800-5000,1800-5000,1800-5000,2100-4500,1800-5000,1800-5000
最大扭矩(N·m)_y,550,550,450,450,450,770,450,450
最大扭矩(N·m)_x,750,750,700,700,700,870,700,700
最大功率转速(rpm),5650-6600,5650-6600,5400-6400,5400-6400,5400-6400,5750-6000,5400-6400,5400-6400
最大功率(kW)_y,324,324,243,243,243,420,243,243
最大功率(kW)_x,412,412,340,340,340,514,340,340
最大净功率(kW),324,324,243,243,243,420,243,243
最低荷电状态油耗(L/100km),-,-,-,-,-,-,-,-
无钥匙进入功能,,,,,,,-,-
无钥匙启动系统,●,●,●,●,●,●,-,-
无框设计车门,-,-,-,-,-,-,-,-
方向盘记忆,●,●,●,●,●,●,-,-
方向盘材质,,,,,,,-,-
方向盘换挡,●,●,●,●,●,●,-,-
方向盘加热,○,○,○,○,○,○,-,-
方向盘位置调节,,,,,,,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),-,-,-,-,-,-,-,-
整体主动转向系统,○,○,○,○,○,●,-,-
摄像头数量,-,-,-,-,-,-,-,-
排量(mL),2894,2894,2894,2894,2894,3996,2894,2894
挡位个数,8,8,8,8,8,8,8,8
扬声器数量,,,,,,,-,-
扬声器品牌名称,,,,,,,-,-
手机无线充电功能,,,,,,,-,-
手机互联/映射,,,,,,,-,-
手势控制,-,-,-,-,-,-,-,-
慢充时间(小时)_y,-,-,-,-,-,-,-,-
慢充时间(小时)_x,-,-,-,-,-,-,-,-
感应雨刷功能,,,,,,,-,-
感应后备厢,●,●,●,●,●,●,-,-
快充电量百分比,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
快充时间(小时)_y,-,-,-,-,-,-,-,-
快充时间(小时)_x,-,-,-,-,-,-,-,-
座椅材质,,,,,,,-,-
座椅布局,-,-,-,-,-,-,-,-
座位数(个),5,4,5,4,4,4,4,4
并线辅助,○,○,○,○,○,○,-,-
巡航系统,,,,,,,-,-
尾门玻璃独立开启,-,-,-,-,-,-,-,-
导航路况信息显示,●,●,●,●,●,●,-,-
宽度(mm),1937,1937,1937,1937,1937,1937,1937,1937
实测续航里程(km),-,-,-,-,-,-,-,-
实测油耗(L/100km),-,-,-,-,-,-,-,-
实测慢充时间(小时),-,-,-,-,-,-,-,-
实测快充时间(小时),-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-
官方0-100km/h加速(s),3.7,3.8,4.4,4.4,4.5,3.3,4.4,4.5
安全带未系提醒,,,,,,,-,-
天窗类型,,,-,,,,-,-
大灯高度可调,●,●,●,●,●,●,-,-
大灯清洗装置,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,-,-
夜视系统,○,○,○,○,○,○,-,-
多层隔音玻璃,,,,,,,-,-
多媒体/充电接口,,,,,,,-,-
多功能方向盘,●,●,●,●,●,●,-,-
外后视镜功能,,,,,,,-,-
备胎规格,无,无,无,无,无,无,无,无
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
后风挡遮阳帘,-,-,-,○,○,●,-,-
后雨刷,○,○,●,○,○,○,-,-
后轮距(mm),-,-,-,-,-,-,-,-
后轮胎规格,315/35 R20,315/35 R20,295/40 R19,295/40 R19,295/40 R19,315/30 R21,315/30 R21,315/30 R21
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-
后排独立空调,○,●,○,○,●,●,-,-
后排液晶屏幕,,,,,,,-,-
后排杯架,●,●,●,●,●,●,-,-
后排控制多媒体,-,●,-,-,●,●,-,-
后排座椅防下滑气囊,-,-,-,-,-,-,-,-
后排座椅电动调节,○,●,○,○,●,●,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,-,-
后排座椅功能,,,,,,,-,-
后排小桌板,-,○,-,-,○,○,-,-
后排安全带式气囊,-,-,-,-,-,-,-,-
后排侧隐私玻璃,○,○,○,○,○,●,-,-
后排侧窗遮阳帘,,,,,,,-,-
后排中央安全气囊,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,-,-
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,陶瓷通风盘式,通风盘式,通风盘式
可变转向比,●,●,●,●,●,●,-,-
可变悬架功能,,,,,,,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合,8挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,-,-
发动机特有技术,-,-,-,-,-,-,-,-
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,DGP,DGP,DGP,DGP,DGP,CVD,DGP,DGP
发动机启停技术,●,●,●,●,●,●,-,-
发动机,2.9T 441马力 V6,2.9T 441马力 V6,2.9T 330马力 V6,2.9T 330马力 V6,2.9T 330马力 V6,4.0T 571马力 V8,2.9T 330马力 V6,2.9T 330马力 V6
压缩比,-,-,-,-,-,-,-,-
厂商指导价(元),147.80万,157.80万,126.50万,116.80万,130.50万,248.30万,129.80万,135.80万
厂商,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷
卫星导航系统,●,●,●,●,●,●,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
加热/制冷杯架,-,-,-,-,-,-,-,-
副驾驶座垫式气囊,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,○,●,○,○,●,●,-,-
副座椅调节方式,,,,,,,-,-
前轮距(mm),-,-,-,-,-,-,-,-
前轮胎规格,275/40 R20,275/40 R20,265/45 R19,265/45 R19,265/45 R19,275/35 R21,275/35 R21,275/35 R21
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-
前排座椅功能,,,,,,,-,-
前排中间气囊,-,-,-,-,-,-,-,-
前悬架类型,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架,双摇臂独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,陶瓷通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,-,-
内置行车记录仪,-,-,-,-,-,-,-,-
内后视镜功能,,,,,,,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-
倒车车侧预警系统,-,-,-,-,-,-,-,-
侧滑门形式,-,-,-,-,-,-,-,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,-,-
主动降噪,-,-,-,-,-,-,-,-
主动闭合式进气格栅,●,●,●,●,●,●,-,-
主动刹车/主动安全系统,○,○,○,○,○,○,-,-
