,20780,20781,30431,30432
快充时间(小时)_x,-,-,-,-
慢充时间(小时)_x,10,10,10,10
快充电量百分比,-,-,-,-
最大功率(kW),41.8,41.8,41.8,41.8
最大扭矩(N·m),150,150,150,150
长*宽*高(mm),3564*1620*1527,3564*1620*1527,3564*1620*1527,3564*1620*1527
车身结构_x,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
最高车速(km/h),100,100,100,100
官方0-100km/h加速(s),-,-,-,-
实测0-100km/h加速(s),-,-,-,-
实测100-0km/h制动(m),-,-,-,-
实测续航里程(km),-,-,-,-
整车质保,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里
长度(mm),3564,3564,3564,3564
宽度(mm),1620,1620,1620,1620
高度(mm),1527,1527,1527,1527
轴距(mm),2340,2340,2340,2340
前轮距(mm),1390,1390,1390,1390
后轮距(mm),1365,1365,1365,1365
最小离地间隙(mm),124,124,124,124
车身结构_y,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5
座位数(个),4,4,4,4
油箱容积(L),-,-,-,-
行李厢容积(L),-,-,-,-
整备质量(kg),1128,1128,1128,1128
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电动机总功率(kW),41.8,41.8,41.8,41.8
电动机总扭矩(N·m),150,150,150,150
前电动机最大功率(kW),41.8,41.8,41.8,41.8
前电动机最大扭矩(N·m),150,150,150,150
后电动机最大功率(kW),-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-
系统综合功率(kW),-,-,-,-
系统综合扭矩(N·m),-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机
电机布局,前置,前置,前置,前置
电池类型,锂离子电池,锂离子电池,三元锂电池,三元锂电池
工信部续航里程(km),151,151,200,200
电池容量(kWh),22.3,22.3,23.6,23.6
百公里耗电量(kWh/100km),-,-,-,-
电池组质保,8年或12万公里,8年或12万公里,待查,待查
快充时间(小时)_y,-,-,-,-
慢充时间(小时)_y,10,10,10,10
快充电量(%),-,-,-,-
挡位个数,1,1,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,纵向拖曳臂式非独立悬架,纵向拖曳臂式非独立悬架,纵向拖曳臂式非独立悬架,纵向拖曳臂式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹
前轮胎规格,165/60 R14,165/60 R14,175/60 R14,165/60 R14
后轮胎规格,165/60 R14,165/60 R14,175/60 R14,165/60 R14
备胎规格,无,无,无,无
