,1006219,1006220,1006221,1006222,1006223,1006224,1006225,1006226,1006227
自适应远近光,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-
前雾灯,-,-,-,●,●,●,●,●,●
大灯高度可调,-,-,-,-,-,-,-,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-
前/后电动车窗,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-
后视镜电动调节,-,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,●,●,●,●,●,●
后座出风口,-,-,-,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车型名称,睿行M70 2018款 1.5L标准型2座平顶背掀门DAM15DL,睿行M70 2018款 1.5L标准型2座平顶对开门DAM15DL,睿行M70 2018款 1.5L标准型2座高顶对开门DAM15DL,睿行M70 2018款 1.5L舒适型平顶背掀门DAM15DL,睿行M70 2018款 1.5L舒适型平顶对开门DAM15DL,睿行M70 2018款 1.5L舒适型高顶对开门DAM15DL,睿行M70 2018款 1.5L舒适型CNG平顶背掀门DAM15DL,睿行M70 2018款 1.5L舒适型CNG平顶对开门DAM15DL,睿行M70 2018款 1.5L舒适型CNG高顶对开门DAM15DL
厂商指导价(元),6.05万,6.25万,6.45万,6.45万,6.65万,6.85万,7.05万,7.20万,7.40万
厂商,长安轻型车,长安轻型车,长安轻型车,长安轻型车,长安轻型车,长安轻型车,长安轻型车,长安轻型车,长安轻型车
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,-,-,-,-,-,-,-,-,-
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-
发动机,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4930×1744×1990,4930×1744×1990,4930×1744×2200,4930×1744×1990,4930×1744×1990,4930×1744×2200,4930×1744×1990,4930×1744×1990,4930×1744×2200
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车
最高车速(km/h),-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-
长度(mm),4930,4930,4930,4930,4930,4930,4930,4930,4930
宽度(mm),1744,1744,1744,1744,1744,1744,1744,1744,1744
高度(mm),1990,1990,2200,1990,1990,2200,1990,1990,2200
轴距(mm),3195,3195,3195,3195,3195,3195,3195,3195,3195
前轮距(mm),-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车
车门数(个),4,5,5,4,5,5,4,5,5
座位数(个),2,2,2,6,6,6,6,6,6
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),-,-,-,-,-,-,-,-,-
货箱尺寸(mm),-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前轮胎规格,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT
后轮胎规格,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT
发动机型号,DAM15DL,DAM15DL,DAM15DL,DAM15DL,DAM15DL,DAM15DL,DAM15DL,DAM15DL,DAM15DL
排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4
压缩比,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-
最大马力(Ps),116,116,116,116,116,116,116,116,116
最大功率(kW)_y,85,85,85,85,85,85,85,85,85
最大功率转速(rpm),-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,150,150,150,150,150,150,150,150,150
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,铝,铝,铝,铝,铝,铝,铝,铝,铝
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-
