Feature,1013263,1013264,1013265,1013266,1013267,1013268,1013269,1013270,1015314,1015315,1015316,1015317,1015318,1015319,1015320,1015321
高度(mm),2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285
驾驶辅助影像,,,,,,,,,,,,,,,,
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5380,5380,5380,5380,5380,5380,5380,5380,5400,5400,5400,5400,5400,5400,5400,5400
长*宽*高(mm),5380×1920×2285,5380×1920×2285,5380×1920×2285,5380×1920×2285,5380×1920×2285,5380×1920×2285,5380×1920×2285,5380×1920×2285,5400*1920*2285,5400*1920*2285,5400*1920*2285,5400*1920*2285,5400*1920*2285,5400*1920*2285,5400*1920*2285,5400*1920*2285
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110
轮圈材质,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,○,-,○,-,-,-,-,-,-,○,-,-,○
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,客车,客车,客车,客车,客车,货车,货车,货车,客车,客车,客车,客车,客车
车身结构_x,货车,货车,货车,客车,客车,客车,客车,客车,货车,货车,货车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,风景G9 2022款 2.4L汽油专业版长轴高顶2座厢货4K22D4M,2022款 2.4L汽油商运版长轴高顶5座厢货4K22D4M,风景G9 2022款 2.4L汽油商运版长轴高顶2座厢货4K22D4M,风景G9 2022款 2.4L汽油商旅版长轴高顶9座客车4K22D4M,风景G9 2022款 2.4L汽油商运版长轴高顶6座明窗4K22D4M,风景G9 2022款 2.4L汽油定制版长轴高顶10-14座营运客车4K22D4M,风景G9 2022款 2.4L汽油商旅版长轴高顶10-14座营运客车4K22D4M,风景G9 2022款 2.4L汽油商旅版长轴高顶10-14座客车4K22D4M,2023款 2.4L汽油商运版长轴高顶2座厢货4K22D4M,2023款 2.4L汽油专业版长轴高顶2座厢货4K22D4M,2023款 2.4L汽油商运版长轴高顶5座厢货4K22D4M,2023款 2.4L汽油商运版长轴高顶6座明窗4K22D4M,2023款 2.4L汽油商旅版长轴高顶9座客车4K22D4M,2023款 2.4L汽油商旅版长轴高顶10-14座客车4K22D4M,2023款 2.4L汽油商旅版长轴高顶10-14座营运客车4K22D4M,2023款 2.4L汽油定制版长轴高顶10-14座营运客车4K22D4M
车前雾灯,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,
车内中控锁,○,○,○,○,○,●,●,●,○,○,○,○,○,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
