Feature,54078,56424,56425,56426,58708,58754,58755,58756,58757
高度(mm),1486,1486,1486,1486,1488,1488,1488,1488,1488
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-
长度(mm),5450,5450,5450,5450,5320,5320,5320,5320,5320
长*宽*高(mm),5450*1945*1486,5450*1945*1486,5450*1945*1486,5450*1945*1486,5320*1945*1488,5320*1945*1488,5320*1945*1488,5320*1945*1488,5320*1945*1488
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,○,○,●,○
远程启动功能,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,双涡轮增压,涡轮增压
近光灯光源,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
辅助驾驶等级,,,,,,,,,
轴距(mm),3258,3258,3258,3258,3128,3128,3128,3128,3128
轮圈材质,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,●,●,●,●,●,●,●,●,●
车顶行李架,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,●,○,○,●,○
车道偏离预警系统,●,●,●,●,●,○,○,●,●
车道保持辅助系统,●,●,●,●,●,○,○,●,○
车载空气净化器,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,
车载冰箱,●,○,●,●,○,-,-,●,-
车载CD/DVD,-,-,-,-,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门4座三厢车,4门4座三厢车,4门4座三厢车,4门4座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门4座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车型名称,奥迪A8 2022款 A8L Horch创始人版 传奇型,奥迪A8 2022款 A8L Horch创始人版 经典型,奥迪A8 2022款 A8L Horch创始人版 双色臻藏型,奥迪A8 2022款 A8L Horch创始人版 双色典藏型,奥迪A8 2023款 A8L 55 TFSI quattro 旗舰型,奥迪A8 2023款 A8L 45 TFSI quattro 豪华型,奥迪A8 2023款 A8L 50 TFSI quattro 臻选型,奥迪A8 2023款 A8L 60 TFSI quattro,奥迪A8 2023款 A8L 50 TFSI quattro 尊享型
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,○,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,-,●,●,●
能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铝合金,铝合金,铝合金
级别,大型车,大型车,大型车,大型车,大型车,大型车,大型车,大型车,大型车
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排独立座椅,●,●,●,●,-,-,-,●,-
第二排座椅调节,,,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●,●,●
第二排座椅功能,,,,,,,,,
空调温度控制方式,,,,,,,,,
空气悬架,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,●,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,,,,,,,,
电动吸合车门,,,,,,,,,
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-
电动后备厢,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
