Feature,52990,54702,55207
高度(mm),1970,1970,1970
驾驶辅助影像,,,
驾驶模式切换,-,-,-
驻车制动类型,手刹,手刹,手刹
驱动方式,前置后驱,前置后驱,前置后驱
面部识别,-,-,-
隐藏电动门把手,-,-,-
陡坡缓降,-,-,-
长度(mm),5120,5120,5120
长*宽*高(mm),5120*1840*1970,5120*1840*1970,5120*1840*1970
钥匙类型,,,
配气机构,DOHC,未知,DOHC
道路救援呼叫,-,-,-
道路交通标识识别,-,-,-
远程启动功能,-,-,-
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),3080,3080,3080
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,-,-,-
车门数(个),5,5,5
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车载冰箱,-,-,-
车载CD/DVD,-,-,-
车身结构_y,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,-,-,-
车窗一键升降功能,-,-,-
车型名称,瑞风L5 2022款 2.0T 自动公务版,瑞风L5 2022款 2.0T 手动柴油版,瑞风L5 2022款 2.0T 自动商务版
车前雾灯,,,
车内香氛装置,-,-,-
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,-
车体结构,承载式,承载式,承载式
负离子发生器,-,-,-
语音识别控制系统,,,
触摸式阅读灯,-,-,-
被动行人保护,-,-,-
行车电脑显示屏幕,,,
行李厢12V电源接口,-,-,-
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自动驻车,-,-,-
自动泊车入位,-,-,-
自动头灯,●,-,-
能源类型,汽油,柴油,汽油
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁
级别,中大型MPV,中大型MPV,中大型MPV
简称,6挡手自一体,6挡手动,6挡手自一体
第二排独立座椅,●,●,●
第二排座椅调节,,,
第二排座椅电动调节,-,-,-
第二排座椅功能,-,-,-
空调温度控制方式,,,
空气悬架,-,-,-
离去角(°),14,14,14
疲劳驾驶提示,-,-,-
电磁感应悬架,-,-,-
电动扰流板,-,-,-
电动座椅记忆功能,-,-,-
电动吸合车门,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,0号,92号
燃料形式,汽油,柴油,汽油
灯光特色功能,-,-,-
满载最小离地间隙(mm),160,160,160
温度分区控制,-,-,-
液晶仪表尺寸,-,-,-
油箱容积(L),70,70,70
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),170,165,170
最大马力(Ps),222,150,222
最大满载质量(kg),2800,2850,2800
最大扭矩转速(rpm),1500-3500,1800-2400,1500-3500
最大扭矩(N·m)_y,385,360,385
最大扭矩(N·m)_x,385,360,385
最大功率转速(rpm),5500,3600,5500
最大功率(kW)_y,163,110,163
