Feature,37113,37114,37115,37116,37117,37118,37119,37120,37121,37122,37123,37124,37125
高度(mm),1610,1610,1610,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
长*宽*高(mm),4508*1836*1610,4508*1836*1610,4508*1836*1610,4508*1836*1629,4508*1836*1629,4508*1836*1629,4508*1836*1629,4508*1836*1629,4508*1836*1629,4508*1836*1629,4508*1836*1629,4508*1836*1629,4508*1836*1629
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,●,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,●,●,●,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,科雷嘉 2019款 TCe190 手动两驱智惠型 国V,科雷嘉 2019款 SCe200 自动两驱智惠型 国V,科雷嘉 2019款 SCe200 自动两驱智惠型 国VI,科雷嘉 2019款 SCe200 自动两驱智惠型周年版 国V,科雷嘉 2019款 SCe200自动两驱智惠型周年版 国VI,科雷嘉 2019款 SCe200 自动两驱智悦型周年版 国V,科雷嘉 2019款 SCe200自动两驱智悦型周年版 国VI,科雷嘉 2019款 SCe200 自动两驱智尚型 国V,科雷嘉 2019款 SCe200 自动两驱智尚型 国VI,科雷嘉 2019款 SCe200 自动两驱智享型 国V,科雷嘉 2019款 SCe200 自动两驱智享型 国VI,科雷嘉 2019款 SCe200 自动两驱智尊型 国VI,科雷嘉 2019款 SCe200 自动两驱智尊型 国V
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,●,●,●,●,●,●
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),472,472,472,472,472,472,472,472,472,472,472,472,472
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,●,●
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,●,●
自动头灯,-,-,-,-,-,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,6挡手动,CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡)
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
电动可调踏板,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国VI,国V,国VI,国V,国VI,国V,国VI,国V,国VI,国VI,国V
环保标准_x,国V,国V,国VI,国V,国VI,国V,国VI,国V,国VI,国V,国VI,国VI,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,●,●,●,●,●,●,●,●
涉水感应系统,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),65,65,57,65,57,65,57,65,57,65,57,57,65
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),182,188,188,188,188,188,188,188,188,188,188,188,188
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),117,150,154,150,154,150,154,150,154,150,154,154,150
最大扭矩转速(rpm),2000-4200,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
最大扭矩(N·m)_y,190,200,196,200,196,200,196,200,196,200,196,196,200
最大扭矩(N·m)_x,190,200,196,200,196,200,196,200,196,200,196,196,200
最大功率转速(rpm),4500,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,86,110,113,110,113,110,113,110,113,110,113,113,110
最大功率(kW)_x,86,110,113,110,113,110,113,110,113,110,113,113,110
无钥匙启动系统,-,-,-,-,-,-,-,-,-,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里
整备质量(kg),1407,1477,1452,1477,1452,1477,1480,1477,1484,1477,1500,1500,1477
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1197,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997
挡位个数,6,7,7,7,7,7,7,7,7,7,7,7,7
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,●,●
工信部综合油耗(L/100km),6.3,6.9,6.2,6.9,6.2,6.9,6.2,6.9,6.2,6.9,6.2,6.2,6.9
尾门玻璃独立开启,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1575,1575,1575,1575
后轮胎规格,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/55 R18,215/55 R18,215/55 R18,215/55 R18
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-
