Feature,52725,52726,52727,52739,52740,52741,53806,53807,53808,53809,53810,53811,53815,53816,53817,53818,53819,53820,53821,53822,53823,53824,53825,53826,53827,53828,53829,53830,54473
高度(mm),1451,1464,1453,1450,1466,-,1451,1450,1464,1466,1453,-,1453,1466,1451,1464,1451,1464,1450,1466,1450,1466,1450,1453,1453,-,-,-,1464
驾驶辅助影像,,,-,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,
驾驶模式切换,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3832,3993,3832,3853,4008,-,3832,3853,3993,4008,3832,-,3832,3993,3832,3993,3832,3993,3853,4008,3853,4008,3853,3832,3832,-,-,-,3993
长*宽*高(mm),3832*1727*1451,3993*1727*1464,3832*1727*1453,3853*1727*1450,4008*1727*1466,未知,3832*1727*1451,3853*1727*1450,3993*1727*1464,4008*1727*1466,3832*1727*1453,未知,3832*1727*1453,3993*1727*1466,3832*1727*1451,3993*1727*1464,3832*1727*1451,3993*1727*1464,3853*1727*1450,4008*1727*1466,3853*1727*1450,4008*1727*1466,3853*1727*1450,3832*1727*1453,3832*1727*1453,未知,未知,未知,3993*1727*1464
钥匙类型,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
运动风格座椅,●,●,-,●,●,●,●,●,●,●,-,-,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,●,●,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
辅助驾驶芯片,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2495,2567,2495,2495,2567,2495,2495,2495,2567,2567,2495,2495,2495,2567,2495,2567,2495,2567,2495,2567,2495,2567,2495,2495,2495,2495,2495,2495,2567
轮圈材质,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),3,5,2,3,5,2,3,3,5,5,2,2,3,5,3,5,3,5,3,5,3,5,3,2,2,2,2,2,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,软顶敞篷车,两厢车,两厢车,软顶敞篷车,两厢车,两厢车,两厢车,两厢车,软顶敞篷车,软顶敞篷车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,软顶敞篷车,软顶敞篷车,软顶敞篷车,软顶敞篷车,软顶敞篷车,两厢车
车身结构_x,3门4座两厢车,5门5座两厢车,2门4座软顶敞篷车,3门4座两厢车,5门5座两厢车,2门4座软顶敞篷车,3门4座两厢车,3门4座两厢车,5门5座两厢车,5门5座两厢车,2门4座软顶敞篷车,2门4座软顶敞篷车,3门4座两厢车,5门5座两厢车,3门4座两厢车,5门5座两厢车,3门4座两厢车,5门5座两厢车,3门4座两厢车,5门5座两厢车,3门4座两厢车,5门5座两厢车,3门4座两厢车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座软顶敞篷车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,-,,,,,,,,-,-,,,,,,,,,,,,,,,,,
