Feature,1003213,1004355,1004356,1004357,1004358,1004359
高度(mm),2115,2115,2115,2115,2115,2115
驱动电机数,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-
长度(mm),4925,4925,4925,4925,4925,4925
长*宽*高(mm),4925×1834×2115,4925×1834×2115,4925×1834×2115,4925×1834×2115,4925×1834×2115,4925×1834×2115
铝合金轮圈,●,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),3080,3080,3080,3080,3080,3080
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4
车载电视,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车型名称,北汽幻速H6 2016款 1.8L 豪华型M18A,北汽幻速H6 2016款 1.5L 基本型厢式运输车M15C,北汽幻速H6 2016款 1.8L 舒适型M18A,北汽幻速H6 2016款 1.8L 标准型厢式运输车M18A,北汽幻速H6 2016款 1.5L 标准型M15C,北汽幻速H6 2016款 1.5L 舒适型M15C
车内空气调节/花粉过滤,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-
