Feature,35986,37944,37945,37946,37947,37948,37949,37950,37951,38038,38039,38040,38041,38042,38043,38044,38045,38250,38251,38252,38257,38260,39134,39135,39197,39198
高度(mm),1460,1460,1460,1509,1509,1509,1509,1509,1509,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1509,1509
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4675,4675,4675,4687,4687,4687,4687,4687,4687,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4687,4687
长*宽*高(mm),4675*1814*1460,4675*1814*1460,4675*1814*1460,4687*1814*1509,4687*1814*1509,4687*1814*1509,4687*1814*1509,4687*1814*1509,4687*1814*1509,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4675*1814*1460,4687*1814*1509,4687*1814*1509
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
