Feature,34061,35704,36648,36649,36650,36651,36652,40711,40712,40713
高度(mm),1701,1701,1685,1701,1701,1701,1701,1701,1701,1701
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-
长度(mm),4524,4524,4524,4524,4524,4524,4524,4524,4524,4524
长*宽*高(mm),4524*1838*1701,4524*1838*1701,4524*1838*1685,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1701,4524*1838*1701
铝合金轮圈,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,-,-,●,-,-,-,-,-,-
远程启动,-,●,-,-,●,●,●,●,●,●
远光灯,卤素,氙气,卤素,卤素,氙气,氙气,氙气,氙气,氙气,氙气
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,氙气,卤素,卤素,氙气,氙气,氙气,氙气,氙气,氙气
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690,2690
转向辅助灯,-,●,-,-,●,●,●,●,●,●
转向头灯,-,●,-,-,●,●,●,●,●,●
车顶行李架,●,●,-,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,●,-,-,-,-,-,-,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,-,●,-,-,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车型名称,翼虎 2018款 EcoBoost 180 两驱Cognac特别版,翼虎 2019款 EcoBoost 245 四驱尊翼型 国V,翼虎 2019款 EcoBoost 180 两驱精翼型 国V,翼虎 2019款 EcoBoost 180 两驱铂翼型 国V,翼虎 2019款 EcoBoost 180 两驱豪翼型 国V,翼虎 2019款 EcoBoost 245 四驱豪翼型 国V,翼虎 2019款 EcoBoost 245 四驱运动型 国V,翼虎 2019款 EcoBoost 245 四驱豪翼型 国VI,翼虎 2019款 EcoBoost 245 四驱运动型 国VI,翼虎 2019款 EcoBoost 245 四驱尊翼型 国VI
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,●,-,-,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,-,●,●,●,●,●,●,●
自适应远近光,-,●,-,-,-,-,-,-,-,●
自适应巡航,-,●,-,-,-,-,-,-,-,●
自动驻车,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,●,-,-,-,-,●,-,●,●
自动头灯,●,●,-,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,-,●,●,●,●,●,●,●
疲劳驾驶提示,-,●,-,-,-,-,-,-,-,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,●,-,-,-,-,-,-,-,●
电动天窗,●,●,-,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,●,-,-,●,●,●,●,●,●
环保标准,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-
油箱容积(L),60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
最大马力(Ps),181,245,181,181,181,245,245,237,237,237
最大扭矩转速(rpm),2000-4500,1750-4000,2000-4500,2000-4500,2000-4500,1750-4000,1750-4000,1850-4500,1850-4500,1850-4500
最大扭矩(N·m)_y,240,350,240,240,240,350,350,354,354,354
