Feature,1009992,1009993,1009994,1009995,1011247,1011248,1011249,1011250,1011251,1011252,1011253
高度(mm),1990,1990,2200,1990,1990,2200,1990,1990,2200,1990,1990
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805
长*宽*高(mm),4805×1715×1990,4805×1715×1990,4805×1715×2200,4805×1715×1990,4805×1715×1990,4805×1715×2200,4805×1715×1990,4805×1715×1990,4805×1715×2200,4805×1715×1990,4805×1715×1990
钥匙类型,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,5,5,4,4,5,4,5,5,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,客车,客车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,客车,客车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安睿行M80 2020款 1.6L舒适型国VI平顶背掀门2座CNG DAM16KRC,长安睿行M80 2020款 1.6L舒适型国VI平顶对开门4座CNG DAM16KRC,长安睿行M80 2020款 1.6L舒适型国VI高顶对开门4座CNG DAM16KRC,长安睿行M80 2020款 1.6L基本型国VI平顶背掀门2座CNG DAM16KRC,长安睿行M80 2021款 1.6L舒适型4座单蒸空调国VI平顶背掀门DAM16KR,长安睿行M80 2021款 1.6L舒适型4座单蒸空调国VI高顶对开门DAM16KR,长安睿行M80 2021款 1.6L舒适型2座单蒸空调国VI平顶背掀门DAM16KR,长安睿行M80 2021款 1.6L舒适型2座单蒸空调国VI平顶对开门DAM16KR,长安睿行M80 2021款 1.6L舒适型2座单蒸空调国VI高顶对开门DAM16KR,长安睿行M80 2021款 1.6L基本型2座单蒸空调国VI平顶背掀门DAM16KR,长安睿行M80 2021款 1.6L基本型2座非空调国VI平顶背掀门DAM16KR
车前雾灯,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,○,●,●,●,●,●,○,○
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,-,,,,,,,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
