Feature,1001641,1001795,1001796,1003928,1003929,1003930,1003931,1003932,1003933,1005172,1005173,1006415,1006416,1006417,1006418,1006419,1006420,1006421,1006422,1006423,1006424,1006425,1006426
高度(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
长*宽*高(mm),4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1695×1930,4200×1680×1930,4200×1680×1930,4200×1680×1930,4200×1680×1930,4200×1695×1930,4200×1695×1930,4200×1680×1930,4200×1680×1930,4200×1680×1930,4200×1680×1930,4200×1680×1930,4200×1680×1930
铝合金轮圈,○,○,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,●,-,●,●,-,●,-,●,-,●,-,●,-,-,●,●,-,●,●,-,-,●,-
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,小海狮X30 2013款 1.3L舒适型,小海狮X30 2013款 1.3L标准型,小海狮X30 2015款 1.3L旗舰型,小海狮X30 2016款 1.3L厢式舒适型DLCG12,小海狮X30 2016款 1.3L厢式标准型DLCG12,小海狮X30 2016款 1.3L厢式舒适型CNG,小海狮X30 2016款 1.3L厢式标准型CNG,小海狮X30 2016款 1.3L舒适型CNG,小海狮X30 2016款 1.3L标准型CNG,小海狮X30 2017款 1.5L舒适型DLCG14,小海狮X30 2017款 1.5L标准型DLCG14,小海狮X30 2018款 1.5L厢货CNG舒适型DLCG14,小海狮X30 2018款 1.5L厢货CNG标准型DLCG14,小海狮X30 2018款 1.5L厢货标准型DLCG14,小海狮X30 2018款 1.5L厢货舒适型DLCG14,小海狮X30 2018款 1.3L厢货舒适型DLCG12,小海狮X30 2018款 1.3L厢货标准型DLCG12,小海狮X30 2018款 1.3L舒适型DLCG12,小海狮X30 2018款 1.5L舒适型DLCG14,小海狮X30 2018款 1.3L标准型DLCG12,小海狮X30 2018款 1.5L标准型DLCG14,小海狮X30 2018款 1.5L CNG舒适型DLCG14,小海狮X30 2018款 1.5L CNG标准型DLCG14
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,-,●,●,-,●,-,●,-,●,-,●,-,-,●,●,-,●,●,-,-,●,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
