,31831,31832,31833,31834,31835,31836,31837,31838,31839,35011,35653
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,●,-,-,●,●,●
感应后备厢,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,●,●,●,●,●,●,●,●,●,●
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,●,●,●,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,○,○,○,○,○,○,○,○,○,○,○
主动降噪,●,●,●,●,●,●,●,●,●,●,●
手机无线充电,-,-,-,-,-,-,-,-,-,-,-
座椅材质,织物,织物,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,●,-,-,●,●,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,●,-,-,●,●,-
道路救援呼叫,-,-,●,●,●,●,●,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,7英寸,7英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,●,●,●,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,●,-,-,●,●,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,BOSE,-,-,BOSE,BOSE,-
扬声器数量,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
近光灯,卤素(选装LED),卤素(选装LED),卤素(选装LED),LED,卤素(选装LED),LED,LED,卤素(选装LED),LED,LED,卤素(选装LED)
远光灯,卤素(选装LED),卤素(选装LED),卤素(选装LED),LED,卤素(选装LED),LED,LED,卤素(选装LED),LED,LED,卤素(选装LED)
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,●,-,-,●,●,-
自动头灯,-,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
前雾灯,-,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,●,-,-,●,●,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,-,-,-,-,-,内●&nbsp;/&nbsp;外-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,●,●,●,●,●,●,●,●,●,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,●,-,-,●,●,-
空调控制方式,手动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,-,-,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车型名称,探界者 2018款 535T 自动领界版,探界者 2018款 535T 自动驰界版,探界者 2018款 535T 自动驭界版,探界者 2018款 535T 自动四驱拓界版,探界者 2018款 550T 自动四驱拓界版,探界者 2018款 550T 自动四驱捍界版,探界者 2018款 RS 535T 自动四驱拓界版,探界者 2018款 RS 550T 自动四驱拓界版,探界者 2018款 RS 550T 自动四驱捍界版,探界者 2018款 Redline 550T 自动四驱捍界版RS,探界者 2018款 Redline 550T 自动四驱拓界版RS
厂商指导价(元),17.49万,18.99万,19.99万,21.99万,22.99万,24.99万,22.09万,23.09万,25.09万,25.09万,23.09万
厂商,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2018.08,2018.08
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,132,132,132,132,191,191,132,191,191,191,191
最大扭矩(N·m)_x,275,275,275,275,353,353,275,353,353,353,353
发动机,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,2.0T 260马力 L4,2.0T 260马力 L4,1.5T 180马力 L4,2.0T 260马力 L4,2.0T 260马力 L4,2.0T 260马力 L4,2.0T 260马力 L4
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,9挡手自一体,9挡手自一体,6挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
长*宽*高(mm),4652*1843*1684,4652*1843*1688,4652*1843*1688,4652*1843*1688,4652*1843*1693,4652*1843*1693,4652*1843*1688,4652*1843*1693,4652*1843*1693,4652*1843*1693,4652*1843*1693
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),190,190,190,190,210,210,190,210,210,210,210
官方0-100km/h加速(s),9.9,9.9,9.9,10.5,7.8,7.8,10.5,7.8,7.8,7.8,7.8
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.7,6.7,6.7,7,8.3,8.3,7,8.3,8.3,8.3,8.3
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4652,4652,4652,4652,4652,4652,4652,4652,4652,4652,4652
宽度(mm),1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843
高度(mm),1684,1688,1688,1688,1693,1693,1688,1693,1693,1693,1693
轴距(mm),2725,2725,2725,2725,2725,2725,2725,2725,2725,2725,2725
前轮距(mm),1573,1573,1573,1573,1573,1573,1573,1573,1573,1573,1573
后轮距(mm),1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),56,56,56,59,59,59,59,59,59,59,59
行李厢容积(L),431-1505,431-1505,431-1505,431-1505,431-1505,431-1505,431-1505,431-1505,431-1505,431-1505,431-1505
整备质量(kg),1520,1520,1520,1625,1710,1710,1625,1710,1710,1710,1710
发动机型号,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1490,1490,1490,1490,1998,1998,1490,1998,1998,1998,1998
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
压缩比,10,10,10,10,9.5,9.5,10,9.5,9.5,9.5,9.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),180,180,180,180,260,260,180,260,260,260,260
最大功率(kW)_y,132,132,132,132,191,191,132,191,191,191,191
最大功率转速(rpm),5600,5600,5600,5600,5500,5500,5600,5500,5500,5500,5500
最大扭矩(N·m)_y,275,275,275,275,353,353,275,353,353,353,353
最大扭矩转速(rpm),2000-4000,2000-4000,2000-4000,2000-4000,2000-5300,2000-5300,2000-4000,2000-5300,2000-5300,2000-5300,2000-5300
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,95号,95号,92号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,6,6,6,6,9,9,6,9,9,9,9
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,9挡手自一体,9挡手自一体,6挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,-,-,-,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱,适时四驱
中央差速器结构,-,-,-,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/60 R18,225/60 R18,225/65 R17,225/60 R18,225/60 R18,225/60 R18,225/60 R18
后轮胎规格,225/65 R17,225/65 R17,225/65 R17,225/65 R17,225/60 R18,225/60 R18,225/65 R17,225/60 R18,225/60 R18,225/60 R18,225/60 R18
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
