Feature,56703,60892,62414,62415,62416,62417
魔毯智能悬架,○,○,-,-,-,-
高度(mm),1548,1548,1548,1548,1548,1548
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,双电机,单电机,单电机,单电机,单电机
驱动方式,双电机四驱,双电机四驱,后置后驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-,-,-
风阻系数(Cd),0.24,0.24,0.24,0.24,0.24,0.24
陡坡缓降,-,-,-,-,-,-
长度(mm),5391,5391,5391,5391,5391,5391
长*宽*高(mm),5391*1950*1548,5391*1950*1548,5391*1950*1548,5391*1950*1548,5391*1950*1548,5391*1950*1548
钥匙类型,,,,,,
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,-,-,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
运动外观套件,-,●,-,●,-,●
辅助驾驶等级,,,-,-,,
轴距(mm),3215,3215,3215,3215,3215,3215
轮圈材质,,,,,,
转向头灯,●,●,●,●,●,●
车门数(个),4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,-,●,●
车道偏离预警系统,●,●,-,-,●,●
车道保持辅助系统,●,●,-,-,●,●
车载空气净化器,-,-,-,-,-,-
车载电视,●,●,○,○,●,●
车载智能系统,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,宝马i7 2023款 xDrive60L 豪华套装,宝马i7 2023款 xDrive60L M运动套装,2023款 eDrive50L 领先豪华套装,2023款 eDrive50L 领先M运动套装,2023款 eDrive50L 尊享豪华套装,2023款 eDrive50L 尊享M运动套装
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,
触摸式阅读灯,●,●,●,●,●,●
