,1005747,1006822,1006823,1006824
LED日间行车灯,-,-,-,-
自适应远近光,-,-,-,-
自动头灯,-,-,-,-
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
前雾灯,-,●,○,○
大灯高度可调,-,●,●,●
大灯清洗装置,-,-,-,-
车内氛围灯,-,-,-,-
前/后电动车窗,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗防夹手功能,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-
后视镜电动调节,-,-,-,-
后视镜加热,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-
后视镜电动折叠,-,-,-,-
后视镜记忆,-,-,-,-
后风挡遮阳帘,-,-,-,-
后排侧遮阳帘,-,-,-,-
后排侧隐私玻璃,-,-,-,-
遮阳板化妆镜,-,-,-,-
后雨刷,-,-,-,-
感应雨刷,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-
后座出风口,-,●,●,●
温度分区控制,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-
车载冰箱,-,-,-,-
车型名称,开沃D07 2017款 纯电动厢式运输车,开沃D07 2018款 创业者舒适版,开沃D07 2018款 创业者快充版,开沃D07 2018款 创业者标准版
厂商指导价(元),8.58万,8.58万~9.38万,8.28万~9.08万,7.88万~8.68万
厂商,南京金龙,南京金龙,南京金龙,南京金龙
级别,微面,微面,微面,微面
能源类型,纯电动,纯电动,纯电动,纯电动
上市时间,-,-,-,-
工信部纯电续驶里程(km),236,302,302,302
快充时间(小时),-,2,2,2
慢充时间(小时),-,9,9,9
快充电量百分比,-,-,-,-
最大功率(kW),60,70,70,70
最大扭矩(N·m),200,230,230,230
长*宽*高(mm),4165×1690×1930,4165×1690×1930,4165×1690×1930,4165×1690×1930
车身结构_x,货车,客车,客车,客车
最高车速(km/h),85,-,-,-
整车质保,-,-,-,-
长度(mm),4165,4165,4165,4165
宽度(mm),1690,1690,1690,1690
高度(mm),1930,1930,1930,1930
轴距(mm),2605,2605,2605,2605
前轮距(mm),1425,1425,1425,1425
后轮距(mm),1435,1435,1435,1435
最小离地间隙(mm),155,-,-,-
整备质量(kg),1400,-,-,-
车身结构_y,货车,客车,客车,客车
车门数(个),5,5,5,5
座位数(个),2/5,7,5,5
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),-,-,-,-
货箱尺寸(mm),-,-,-,-
最大载重质量(kg),-,-,-,-
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
挡位个数,1,1,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架,纵置板簧式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式
前轮胎规格,165 R13LT,165 R13LT,165 R13LT,165 R13LT
后轮胎规格,165 R13LT,165 R13LT,165 R13LT,165 R13LT
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电动机总功率(kW),60,70,70,70
电动机总扭矩(N·m),200,230,230,230
前电动机最大功率(kW),-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-
后电动机最大功率(kW),60,70,70,70
后电动机最大扭矩(N·m),200,230,230,230
驱动电机数,单电机,单电机,单电机,单电机
电机布局,前置,后置,后置,后置
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池
工信部续航里程(km),236,302,302,302
电池容量(kWh),37.17,50.3,50.3,50.3
百公里耗电量(kWh/100km),-,16.7,16.7,16.7
电池组质保,5年或20万公里,5年或20万公里,5年或20万公里,5年或20万公里
电池充电时间,-,-,-,-
快充电量(%),-,-,-,-
