Feature,34097,34098,34099,34100,34101,35822,35832,35833,35834,35835,35836
高度(mm),1413,1417,1417,1417,1417,1417,1413,1417,1417,1417,1417
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱
零胎压继续行驶,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,●,●,●,●,●,-,●,●,●,●
长度(mm),4645,4673,4673,4673,4673,4673,4645,4645,4673,4673,4673
长*宽*高(mm),4645*1777*1413,4673*1777*1417,4673*1777*1417,4673*1777*1417,4673*1777*1417,4673*1777*1417,4645*1777*1413,4645*1777*1417,4673*1777*1417,4673*1777*1417,4673*1777*1417
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,LED,LED,LED,LED,卤素,卤素,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,LED,LED,LED,LED,卤素,卤素,LED,LED,LED
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,-,-,-,●,●,-,-,-,-,●,●
轴距(mm),2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,○,○,○,○,○,-,○,○,○,○,○
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
