,23550,25962,25963,25965,30355,30356,32545,32547,32548,32549,32996,34040,34041,34933
座椅材质,仿皮,织物,织物,织物,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,-,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,-,-
第二排靠背角度调节,●,●,●,●,●,●,●,-,-,-,-,●,-,-
第二排座椅移动,●,-,●,●,●,-,●,●,●,●,●,●,●,○
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,●,-,●,●,●,-,●,●,●,●,●,●,●,-
第三排座椅,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,(选装2座)
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,-,-,-,-,-,-,-,●,●,●,●,-,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-,-,●,●,●,-,-,-,-
定位互动服务,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,-,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,-,-,-,-,-,-,-,11英寸,11英寸,11英寸,11英寸,-,8英寸,11英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,●,-,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,●,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB,USB,USB,USB,USB+AUX,USB,USB
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,-,-,-,●,-,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,●,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,●,-,-,-,●,●,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,-,-,●,●,-,●,●,●,●,●,●,●,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,●,-,●,●,●,-,●,●,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安CX70 2016款 1.6L 手动豪华型,长安CX70 2016款 1.6L 手动都市型,长安CX70 2016款 1.6L 手动舒适型,长安CX70 2016款 1.6L 手动运动型,长安CX70 2016款 1.6L 手动智联型,长安CX70 2016款 1.6L 手动标准型,长安CX70 2017款 1.6L 手动精英型,长安CX70 2017款 改款 CX70T 1.5T 手动豪擎版,长安CX70 2017款 改款 CX70T 1.5T 手动尊擎版,长安CX70 2017款 改款 CX70T 1.5T 自动尊擎版,长安CX70 2017款 改款 CX70T 1.5T 自动豪擎版,长安CX70 2018款 1.6L 手动致尊型,长安CX70 2018款 CX70T 1.5T 自动舒擎版,长安CX70 2018款 CX70T 1.5T 自动天擎版
厂商指导价(元),7.19万,6.09万,6.69万,6.79万,7.29万,5.99万,7.09万,8.99万,9.79万,10.99万,9.99万,7.49万,10.49万,0.00万
厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.04,2016.04,2016.04,2016.04,2017.04,2017.04,2017.11,2017.11,2017.11,2017.11,2017.11,2018.03,2018.03,-
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,86,86,86,86,86,86,86,110,110,110,110,86,110,110
最大扭矩(N·m)_x,150,150,150,150,150,150,150,230,230,230,230,150,230,230
发动机,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.6L 117马力 L4,1.5T 150马力 L4,1.5T 150马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手自一体,6挡手自一体,5挡手动,6挡手自一体,6挡手自一体
长*宽*高(mm),4680*1800*1775,4680*1800*1775,4680*1800*1775,4680*1800*1775,4680*1800*1775,4680*1800*1775,4680*1800*1775,4705*1800*1775,4705*1800*1775,4705*1800*1775,4705*1800*1775,4680*1800*1775,4705*1800*1775,4705*1800*1775
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV
最高车速(km/h),160,160,160,160,160,160,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.9,7.9,7.9,7.9,7.9,7.9,-,-,-,-,-,-,-,-
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4680,4680,4680,4680,4680,4680,4680,4705,4705,4705,4705,4680,4705,4705
宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
高度(mm),1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775
轴距(mm),2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780
前轮距(mm),1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
后轮距(mm),1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
最小离地间隙(mm),190,190,190,190,190,190,190,190,190,190,190,190,190,190
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),7,7,7,7,7,7,7,7,7,7,7,7,7,5
油箱容积(L),48,48,48,48,48,48,48,48,48,48,48,48,48,-
行李厢容积(L),180,180,180,180,180,180,180,-,-,-,-,180,-,-
整备质量(kg),1490,1470,1470,1470,1490,-,-,-,-,-,-,-,-,-
发动机型号,4G18M2,4G18M2,4G18M2,4G18M2,4G18M2,4G18M2,4G18M2,JL476ZQCC,JL476ZQCC,JL476ZQCC,JL476ZQCC,4G18M2,JL476ZQCC,JL476ZQCC
排量(mL),1584,1584,1584,1584,1584,1584,1584,1499,1499,1499,1499,1584,1499,1499
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),117,117,117,117,117,117,117,150,150,150,150,117,150,150
最大功率(kW)_y,86,86,86,86,86,86,86,110,110,110,110,86,110,110
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,150,150,150,150,150,150,150,230,230,230,230,150,230,230
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,2000-4000,2000-4000,2000-4000,2000-4000,3500-4500,2000-4000,2000-4000
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铸铁,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,5,5,5,5,5,5,5,6,6,6,6,5,6,6
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手自一体,6挡手自一体,5挡手动,6挡手自一体,6挡手自一体
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,鼓式,鼓式,盘式,盘式,盘式,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17
后轮胎规格,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
