,23562
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
前/后排侧气囊,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
膝部气囊,-
胎压监测装置,●
零胎压继续行驶,●
安全带未系提示,●
ISOFIX儿童座椅接口,●
ABS防抱死,●
制动力分配(EBD/CBC等),●
刹车辅助(EBA/BAS/BA等),●
牵引力控制(ASR/TCS/TRC等),●
车身稳定控制(ESC/ESP/DSC等),●
并线辅助,-
车道偏离预警系统,-
主动刹车/主动安全系统,-
夜视系统,-
前/后驻车雷达,前●&nbsp;/&nbsp;后●
倒车视频影像,●
全景摄像头,-
定速巡航,●
自适应巡航,-
自动泊车入位,-
发动机启停技术,●
上坡辅助,●
自动驻车,-
陡坡缓降,-
可变悬架,软硬调节
空气悬架,-
可变转向比,●
前桥限滑差速器/差速锁,-
中央差速器锁止功能,-
后桥限滑差速器/差速锁,限滑差速器
整体主动转向系统,-
电动天窗,-
全景天窗,-
运动外观套件,●
铝合金轮圈,●
电动吸合门,-
侧滑门,-
电动后备厢,-
感应后备厢,-
车顶行李架,-
发动机电子防盗,●
车内中控锁,●
遥控钥匙,●
无钥匙启动系统,●
无钥匙进入系统,-
皮质方向盘,●
方向盘调节,上下+前后调节
方向盘电动调节,-
多功能方向盘,●
方向盘换挡,●
方向盘加热,-
方向盘记忆,-
行车电脑显示屏,●
全液晶仪表盘,-
HUD抬头数字显示,●
座椅材质,真皮
运动风格座椅,●
座椅高低调节,●
腰部支撑调节,●
肩部支撑调节,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-
第二排座椅移动,-
后排座椅电动调节,-
电动座椅记忆,●
前/后排座椅加热,-
前/后排座椅通风,-
前/后排座椅按摩,-
第三排座椅,-
后排座椅放倒方式,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●
后排杯架,●
GPS导航系统,●
道路救援呼叫,●
中控台彩色大屏,●
中控液晶屏分屏显示,-
蓝牙/车载电话,●
车载电视,-
后排液晶屏,-
220V/230V电源,-
外接音源接口,USB+AUX
CD/DVD,多碟CD
扬声器品牌,harman/kardon哈曼卡顿
扬声器数量,≥12喇叭
近光灯,LED
远光灯,LED
LED日间行车灯,●
自适应远近光,-
自动头灯,●
转向辅助灯,-
转向头灯,●
前雾灯,-
大灯高度可调,●
大灯清洗装置,●
车内氛围灯,-
前/后电动车窗,前●&nbsp;/&nbsp;后●
车窗防夹手功能,●
防紫外线/隔热玻璃,-
后视镜电动调节,●
后视镜加热,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●
后视镜电动折叠,●
后视镜记忆,●
后风挡遮阳帘,-
后排侧遮阳帘,-
后排侧隐私玻璃,-
遮阳板化妆镜,●
后雨刷,-
感应雨刷,●
空调控制方式,自动●
后排独立空调,-
后座出风口,●
温度分区控制,●
车内空气调节/花粉过滤,●
车载冰箱,-
车型名称,AC Schnitzer M3 2015款 ACS3 sport
厂商指导价(元),109.00万
厂商,AC Schnitzer
级别,中型车
能源类型,汽油
上市时间,2015.10
工信部纯电续驶里程(km),-
最大功率(kW)_x,317
最大扭矩(N·m)_x,550
发动机,3.0T 431马力 L6
变速箱,7挡双离合
长*宽*高(mm),4678*1877*1442
车身结构_x,4门5座三厢车
最高车速(km/h),250
官方0-100km/h加速(s),4.1
实测0-100km/h加速(s),-
实测100-0km/h制动(m),-
工信部综合油耗(L/100km),8.5
实测油耗(L/100km),-
整车质保,待查
长度(mm),4678
宽度(mm),1877
高度(mm),1442
轴距(mm),2812
前轮距(mm),1603
后轮距(mm),1579
最小离地间隙(mm),124
车身结构_y,三厢车
车门数(个),4
座位数(个),5
油箱容积(L),60
行李厢容积(L),480
整备质量(kg),1645
发动机型号,S55B30
排量(mL),2979
进气形式,双涡轮增压
气缸排列形式,L
气缸数(个),6
每缸气门数(个),4
压缩比,10.2
配气机构,DOHC
缸径(mm),84
行程(mm),89.6
最大马力(Ps),431
最大功率(kW)_y,317
最大功率转速(rpm),5500-7300
最大扭矩(N·m)_y,550
最大扭矩转速(rpm),1850-5500
发动机特有技术,Double VANOS/Valvetronic
燃料形式,汽油
燃油标号,95号
供油方式,直喷
缸盖材料,铝合金
缸体材料,铝合金
环保标准,欧V
挡位个数,7
变速箱类型,双离合变速箱(DCT)
简称,7挡双离合
驱动方式,前置后驱
前悬架类型,双球节弹簧减振支柱前桥
后悬架类型,多连杆独立悬架
助力类型,电动助力
车体结构,承载式
前制动器类型,陶瓷通风盘式
后制动器类型,陶瓷通风盘式
驻车制动类型,手刹
前轮胎规格,255/30 R20
后轮胎规格,275/30 R20
备胎规格,无
