,30454,30455,30456,30457,30458,32874
前/后排座椅加热,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○
前/后排座椅通风,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●
道路救援呼叫,○,○,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸(选装10.2英寸),8英寸(选装10.2英寸),8英寸(选装10.2英寸),8英寸(选装10.2英寸),8英寸(选装10.2英寸),8英寸(选装10.2英寸)
中控液晶屏分屏显示,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-
车联网,-,-,-,-,-,-
车载电视,○,○,○,○,○,○
后排液晶屏,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-
扬声器品牌,(选装Meridian英国之宝),(选装Meridian英国之宝),Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝
扬声器数量,6-7喇叭(选装10-11喇叭 + ≥12喇叭),6-7喇叭(选装10-11喇叭 + ≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭),10-11喇叭(选装≥12喇叭)
近光灯,氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED)
远光灯,氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED),氙气(选装LED)
LED日间行车灯,●,●,●,●,●,●
自适应远近光,○,○,○,○,○,○
自动头灯,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-
转向头灯,○,○,○,○,○,○
前雾灯,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●
车内氛围灯,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●
防紫外线/隔热玻璃,○,○,○,○,○,○
后视镜电动调节,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●
后视镜记忆,●,●,●,●,●,●
后风挡遮阳帘,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-
后排侧隐私玻璃,○,○,○,○,○,○
遮阳板化妆镜,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●
感应雨刷,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,○,○,○,○,○,○
后座出风口,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●
车内空气调节/花粉过滤,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车型名称,捷豹F-PACE 2018款 2.0T 两驱都市尊享版,捷豹F-PACE 2018款 2.0T 四驱都市尊享版,捷豹F-PACE 2018款 2.0T 四驱R-Sport运动版,捷豹F-PACE 2018款  3.0 SC 四驱R-Sport运动版,捷豹F-PACE 2018款 3.0 SC 四驱S高性能版,捷豹F-PACE 2018款 改款 2.0T 四驱R-Sport运动版
厂商指导价(元),48.80万,50.80万,62.80万,69.80万,80.80万,60.80万
厂商,捷豹,捷豹,捷豹,捷豹,捷豹,捷豹
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.06,2017.06,2017.06,2017.06,2017.06,2017.11
工信部纯电续驶里程(km),-,-,-,-,-,-
最大功率(kW)_x,184,184,184,250,280,221
最大扭矩(N·m)_x,365,365,365,450,460,400
发动机,2.0T 250马力 L4,2.0T 250马力 L4,2.0T 250马力 L4,3.0T 340马力 V6,3.0T 381马力 V6,2.0T 300马力 L4
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4746*1936*1667,4746*1936*1667,4746*1936*1667,4746*1936*1667,4746*1936*1667,4746*1936*1667
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),217,217,217,250,250,-
官方0-100km/h加速(s),6.8,6.8,6.8,5.8,5.5,-
实测0-100km/h加速(s),-,-,8.51,-,-,-
实测100-0km/h制动(m),-,-,37.32,-,-,-
工信部综合油耗(L/100km),7.4,7.7,7.7,9.2,9.2,-
实测油耗(L/100km),-,-,10.2,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4746,4746,4746,4746,4746,4746
宽度(mm),1936,1936,1936,1936,1936,1936
高度(mm),1667,1667,1667,1667,1667,1667
轴距(mm),2874,2874,2874,2874,2874,2874
前轮距(mm),1641,1641,1641,1641,1641,1641
后轮距(mm),1654,1654,1654,1654,1654,1654
最小离地间隙(mm),213,213,213,213,213,213
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5
座位数(个),5,5,5,5,5,5
油箱容积(L),63,63,63,63,63,63
行李厢容积(L),508,508,508,508,508,508
整备质量(kg),1878,1935,1935,1995,2000,-
发动机型号,-,-,-,-,-,-
排量(mL),1997,1997,1997,2995,2995,1997
进气形式,涡轮增压,涡轮增压,涡轮增压,机械增压,机械增压,涡轮增压
气缸排列形式,L,L,L,V,V,L
气缸数(个),4,4,4,6,6,4
每缸气门数(个),4,4,4,4,4,4
压缩比,-,-,-,-,10.5,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),250,250,250,340,381,300
最大功率(kW)_y,184,184,184,250,280,221
最大功率转速(rpm),5500,5500,5500,6500,6500,2000
最大扭矩(N·m)_y,365,365,365,450,460,400
最大扭矩转速(rpm),1300,1300,1300,3500-5000,4500,-
发动机特有技术,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V
挡位个数,8,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,-,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,-,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
后悬架类型,H型多连杆独立悬架,H型多连杆独立悬架,H型多连杆独立悬架,H型多连杆独立悬架,H型多连杆独立悬架,H型多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,255/60 R18,255/60 R18,255/55 R19,255/55 R19,255/50 R20,255/55 R19
后轮胎规格,255/60 R18,255/60 R18,255/55 R19,255/55 R19,255/50 R20,255/55 R19
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
