Feature,49503,49504,56235,56236,57273,57526,57632,57633,57634,61662,61663,61664
高度(mm),1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,双电机,单电机,双电机,双电机,双电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,双电机四驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,,-,-,-,-,-,-
长度(mm),4870,4870,4900,4900,4900,4870,4870,4870,4870,4870,4870,4870
长*宽*高(mm),4870*1950*1725,4870*1950*1725,4900*1950*1725,4900*1950*1725,4900*1950*1725,4870*1950*1725,4870*1950*1725,4870*1950*1725,4870*1950*1725,4870*1950*1725,4870*1950*1725,4870*1950*1725
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,
轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
轮圈材质,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,●,●,●,●,●,●,●,●,●,-,-
车载智能系统,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车载KTV,-,-,-,-,-,-,-,-,-,●,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车型名称,唐新能源 2021款 DM-i 112KM 尊贵型,唐新能源 2021款 DM-i 112KM 尊荣型,唐新能源 2022款 EV 730KM 尊享型,唐新能源 2022款 EV 635KM 四驱旗舰型,唐新能源 2022款 EV 600KM 尊享型,唐新能源 2022款 DM-p 215KM 四驱旗舰型,唐新能源 2022款 DM-p 215KM 四驱尊贵型,唐新能源 2022款 DM-p 215KM 四驱尊享型,唐新能源 2022款 DM-i 252KM 尊享型,唐新能源 2023款 DM-i 冠军版 112KM 尊享型,唐新能源 2023款 DM-i 冠军版 112KM 尊贵型,唐新能源 2023款 DM-i 冠军版 112KM 尊荣型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,●,-,●,-,-,-,-,-,-
车内环境氛围灯,-,,,,,,,,,,-,
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,
负离子发生器,-,-,●,●,●,●,-,●,●,-,-,-
语音识别控制系统,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,●,-,●,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,●,●,●,●,-,●,●,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
系统综合功率(kW),-,-,-,-,-,452,452,452,-,-,-,-
系统综合功率(Ps),-,-,-,-,-,615,615,615,-,-,-,-
简称,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排独立座椅,-,-,○,○,○,○,-,○,○,-,-,-
第二排座椅调节,,,,,,,,,,,,
第二排座椅电动调节,-,-,○,○,○,○,-,○,○,-,-,-
第二排座椅功能,-,-,,,,,-,,,-,-,-
空调温度控制方式,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),21,21,21,21,21,25,25,25,21,22,22,22
百公里耗电量(kWh/100km),17.5,17.5,15.6,17.6,15.7,24.8,24.8,24.8,23.5,18.2,18.2,18.2
疲劳驾驶提示,-,-,●,●,●,●,-,●,●,-,-,-
电芯品牌,弗迪,弗迪,弗迪,弗迪,弗迪,弗迪,弗迪,弗迪,弗迪,弗迪,弗迪,弗迪
电能当量燃料消耗量(L/100km),2,2,1.76,1.99,1.78,2.8,2.8,2.8,2.7,2.06,2.06,2.06
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),-,-,150,150,147,-,-,-,-,-,-,-
电池能量(kWh),21.5,21.5,108.8,108.8,90.3,45.8,45.8,45.8,45.8,21.504,21.504,21.504
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程,首任车主不限年限/里程,首任车主不限年限/里程
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池冷却方式,-,-,-,-,-,-,-,-,-,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置+后置,前置,前置+后置,前置+后置,前置+后置,前置,前置,前置,前置
电动机总扭矩(N·m)_y,325,325,350,700,350,675,675,675,325,325,325,325
电动机总扭矩(N·m)_x,325,325,350,700,350,675,675,675,325,325,325,325
电动机总功率(kW)_y,160,160,180,380,168,360,360,360,160,160,160,160
电动机总功率(kW)_x,160,160,180,380,168,360,360,360,160,160,160,160
电动机总功率(Ps),218,218,245,517,228,489,489,489,218,218,218,218
电动机(Ps),218,218,245,517,228,490,490,490,218,218,218,218
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,,,,,,-,,,,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,-,-,-,92号,92号,92号,92号,92号,92号,92号
燃料形式,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
热泵空调,-,-,●,●,●,●,●,●,●,-,-,-
灯光特色功能,,,,,,,,,,-,-,-
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,-,,,,,,,,,,,
油箱容积(L),53,53,-,-,-,53,53,53,53,53,53,53
气缸数(个),4,4,-,-,-,4,4,4,4,4,4,4
气缸排列形式,L,L,-,-,-,L,L,L,L,L,L,L
毫米波雷达数量,,,,,,,,,,,,
每缸气门数(个),4,4,-,-,-,4,4,4,4,4,4,4
最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180
最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
最大马力(Ps),139,139,245,517,228,139,139,139,139,139,139,139
最大满载质量(kg),2755,2755,2965,3085,2885,2970,2970,2970,2840,2678,2678,2678
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),231,231,350,700,350,231,231,231,231,231,231,231
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW),102,102,180,380,168,102,102,102,102,102,102,102
最大净功率(kW),96,96,-,-,-,96,96,96,96,96,96,96
最低荷电状态油耗(L/100km),5.5,5.5,-,-,-,6.5,6.5,6.5,5.5,5.85,5.85,5.85
无钥匙进入功能,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●
旋转大屏,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,●,-,●,-,-,-,-,-,-
方向盘离手检测,-,-,-,-,-,-,-,-,-,●,●,●
方向盘材质,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,●,-,●,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,
整车质保,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里,六年或15万公里
整备质量(kg),2130,2130,2440,2560,2360,2445,2445,2445,2315,2153,2153,2153
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-
摄像头数量,,,,,,,,,,,,
接近角(°),21,21,20,20,20,22,22,22,21,22,22,22
排量(mL),1497,1497,-,-,-,1497,1497,1497,1497,1497,1497,1497
换挡形式,,,,,,,,,,,,
