Feature,1000985,1000986,1001007,1001008,1001070,1003730,1003755,1003756,1003757
高度(mm),2870,2870,2870,2870,2840,2870,2840,2870,2840
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),7110,7345,7110,7345,5910,7110,5910,7345,5910
长*宽*高(mm),7110×1993×2870,7345×1993×2870,7110×1993×2870,7345×1993×2870,5910×1993×2840,7110×1993×2870,5910×1993×2840,7345×1993×2870,5910×1993×2840
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
轴距(mm),4325,4325,4325,4325,3665,4325,3665,4325,3665
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车型名称,凌特 2012款 2.1T尊旅 长轴版,凌特 2012款 2.1T尊旅 长轴加长版,凌特 2012款 2.1T佳旅 长轴版,凌特 2012款 2.1T佳旅 长轴加长版,凌特 2012款 2.1T尊旅 中轴版,凌特 2016款 2.1T畅旅 长轴版,凌特 2016款 2.1T畅旅 中轴版,凌特 2016款 2.1T畅旅 长轴加长版,凌特 2016款 2.1T佳旅 中轴版
车内中控锁,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,-,-,●,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
缺气保用轮胎,-,-,-,-,-,-,-,-,-
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸径(mm),-,-,-,-,-,-,-,-,-
缸体材料,铁,铁,铁,铁,铁,铁,铁,铁,铁
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
空气悬架,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-
环保标准_y,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V
环保标准_x,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V,国IV/国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,●,●,●,●,●,●,●,●,●
油箱容积(L),75,75,75,75,75,75,75,75,75
气缸数(个),4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),130,130,130,130,130,130,130,130,130
最小离地间隙(mm),160,160,160,160,160,160,160,160,160
最大马力(Ps),150,150,150,150,150,150,150,150,150
最大载重质量(kg),-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1200-2400,1200-2400,1200-2400,1200-2400,1200-2400,1200-2400,1200-2400,1200-2400,1200-2400
最大扭矩(N·m)_y,330,330,330,330,330,330,330,330,330
最大扭矩(N·m)_x,330,330,330,330,330,330,330,330,330
最大功率转速(rpm),3800,3800,3800,3800,3800,3800,3800,3800,3800
最大功率(kW)_y,110,110,110,110,110,110,110,110,110
最大功率(kW)_x,110,110,110,110,110,110,110,110,110
无钥匙启动系统,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),-,-,-,-,-,-,-,-,-
排量(mL),2143,2143,2143,2143,2143,2143,2143,2143,2143
挡位个数,6,6,6,6,6,6,6,6,6
感应后备厢,-,-,-,-,-,-,-,-,-
座位数(个),10-17,10-20,10-17,10-20,8-14,10-17,8-14,10-20,8-14
并线辅助,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-
宽度(mm),1993,1993,1993,1993,1993,1993,1993,1993,1993
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,-,-,●,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-
后轮胎规格,5.5xJ16,5.5xJ16,5.5xJ16,5.5xJ16,235/65 R16,5.5xJ16,235/65 R16,5.5xJ16,235/65 R16
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,●,●,●,●,●,●,●,●,●
后排杯架,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,○,○,●,●,●,●,○
后悬架类型,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂,纵置板簧式非独立悬挂
后座出风口,●,●,●,●,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,●,●,●,●,●,●,●,●,●
发动机型号,-,-,-,-,-,-,-,-,-
发动机启停技术,-,-,-,-,-,-,-,-,-
发动机,2.1T 150马力 L4,2.1T 150马力 L4,2.1T 150马力 L4,2.1T 150马力 L4,2.1T 150马力 L4,2.1T 150马力 L4,2.1T 150马力 L4,2.1T 150马力 L4,2.1T 150马力 L4
压缩比,-,-,-,-,-,-,-,-,-
厂商指导价(元),43.60万~43.80万,44.60万~45.80万,38.60万~38.80万,39.60万~40.60万,41.60万~43.60万,48.70万~48.90万,46.70万~48.70万,49.30万~49.90万,37.60万~39.60万
厂商,福建奔驰,福建奔驰,福建奔驰,福建奔驰,福建奔驰,福建奔驰,福建奔驰,福建奔驰,福建奔驰
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
前轮距(mm),-,-,-,-,-,-,-,-,-
前轮胎规格,195/75 R16,195/75 R16,195/75 R16,195/75 R16,235/65 R16,195/75 R16,235/65 R16,195/75 R16,235/65 R16
前悬架类型,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂,横置单簧式独立悬挂
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-
上市时间,2012.03,2012.03,2012.05,2012.05,2012.05,2015.11,2015.12,2015.12,2015.12
上坡辅助,-,-,-,-,-,-,-,-,-
LED日间行车灯,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-
