Feature,1014518,1014519,1014520,1014521,1014522,1014523,1014524,1014525,1014526,1014527,1014528,1014529
高度(mm),1790,1790,1790,1790,1805,1805,1805,1805,1805,1805,1805,1805
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5555,5555,5555,5555,5570,5570,5570,5570,5570,5570,5570,5570
长*宽*高(mm),5555×1770×1790,5555×1770×1790,5555×1770×1790,5555×1770×1790,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805,5570×1770×1805
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3385,3385,3385,3385,3385,3385,3385,3385,3385,3385,3385,3385
轮圈材质,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,黄海N1 2023款 2.4L汽油手动两驱舒适型4K22D4M,黄海N1 2023款 2.4L汽油手动两驱舒适型平底货箱4K22D4M,黄海N1 2023款 2.4L汽油手动两驱超值型4K22D4M,黄海N1 2023款 2.4L汽油手动两驱超值型平底货箱4K22D4M,黄海N1 2023款 2.8T N1S柴油手动四驱超值型JE493ZLQ6H,黄海N1 2023款 2.8T N1S柴油手动四驱超值型平底货箱JE493ZLQ6H,黄海N1 2023款 2.8T N1S柴油手动四驱舒适型JE493ZLQ6H,黄海N1 2023款 2.8T N1S柴油手动四驱舒适型平底货箱JE493ZLQ6H,黄海N1 2023款 2.8T N1S柴油手动两驱舒适型JE493ZLQ6H,黄海N1 2023款 2.8T N1S柴油手动两驱舒适型平底货箱JE493ZLQ6H,黄海N1 2023款 2.8T N1S柴油手动两驱超值型JE493ZLQ6H,黄海N1 2023款 2.8T N1S柴油手动两驱超值型平底货箱JE493ZLQ6H
车前雾灯,,,-,-,-,-,,,,,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
