Feature,1004901,1004902,1004903,1004904,1004905,1004906,1004907,1004908,1005545,1005546,1005547,1005548
高度(mm),1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385,5385
长*宽*高(mm),5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760,5385×1800×1760
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,SOHC,SOHC,SOHC,SOHC,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
转向辅助灯,●,-,-,-,●,-,-,-,●,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,-,-,-,●,-,●,-,●,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,-,-,-,●,-,-,-,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,风骏6 2017款 2.4L汽油四驱领航型4G69,风骏6 2017款 2.4L汽油四驱精英型4G69,风骏6 2017款 2.4L汽油两驱领航型4G69,风骏6 2017款 2.4L汽油两驱精英型4G69,风骏6 2017款 2.0T柴油四驱领航型4D20B,风骏6 2017款 2.0T柴油四驱精英型4D20B,风骏6 2017款 2.0T柴油两驱领航型4D20B,风骏6 2017款 2.0T柴油两驱精英型4D20B,风骏6 2017款 2.0T柴油四驱领航型4D20D,风骏6 2017款 2.0T柴油四驱精英型4D20D,风骏6 2017款 2.0T柴油两驱领航型4D20D,风骏6 2017款 2.0T柴油两驱精英型4D20D
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480,1545x1460x480
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,-,●,-,●,-,●,-,●,-,●,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,铁,铁,铁,铁,铁,铁,铁,铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,-,●,-,●,-,●,-,●,-,●,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国IV,国IV,国IV,国IV,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,-,-,-,●,-,-,-,●,●,●,●
燃油标号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号
燃料形式,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),140,140,140,140,140,140,140,140,140,140,140,140
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),122,122,122,122,129,129,129,129,143,143,143,143
最大载重质量(kg),480,480,480,480,575,575,625,625,480,480,480,480
最大扭矩转速(rpm),2500-3000,2500-3000,2500-3000,2500-3000,1350-2800,1350-2800,1350-2800,1350-2800,1400-2800,1400-2800,1400-2800,1400-2800
最大扭矩(N·m)_y,200,200,200,200,315,315,315,315,315,315,315,315
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-
最大功率转速(rpm),5250,5250,5250,5250,4000,4000,4000,4000,4000,4000,4000,4000
最大功率(kW)_y,90,90,90,90,95,95,95,95,105,105,105,105
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),1830,1830,1730,1730,1940,1940,1810,1810,1940,1940,1810,1810
排量(mL),2378,2378,2378,2378,1996,1996,1996,1996,1996,1996,1996,1996
挡位个数,5,5,5,5,6,6,6,6,6,6,6,6
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭
感应雨刷,●,-,●,-,●,-,●,-,●,-,●,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,-,●,-,●,-,●,-,●,-,●,-
座椅材料,真皮,仿皮,真皮,仿皮,真皮,仿皮,真皮,仿皮,真皮,仿皮,真皮,仿皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),10.4,10.4,10.2,10.2,7.3,7.3,7.2,7.2,7.9,7.9,7.6,7.6
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
定速巡航,●,-,●,-,●,-,●,-,●,●,●,●
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,●,-,●,-,●,-,●,-,●,-,●,-
后视镜加热,●,-,●,-,●,-,●,-,●,-,●,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,差速锁,-,-,-,差速锁,-,-,-,-,-
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-
