Feature,56029,57064,57130,57131,57132,57133,58991
高度(mm),1920,1920,1920,1920,1920,1920,1920
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,双电机,单电机,双电机,单电机,单电机,双电机
驱动方式,前置四驱,双电机四驱,前置前驱,前置四驱,前置前驱,前置前驱,双电机四驱
面部识别,●,●,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-
长度(mm),5250,5250,5250,5250,5250,5250,5250
长*宽*高(mm),5250*1960*1920,5250*1960*1920,5250*1960*1920,5250*1960*1920,5250*1960*1920,5250*1960*1920,5250*1960*1920
钥匙类型,,,,,,,
配气机构,DOHC,-,-,DOHC,DOHC,DOHC,-
遥控泊车,●,●,-,-,-,-,-
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,-,-,涡轮增压,涡轮增压,涡轮增压,-
近光灯光源,,,,,,,
运动风格座椅,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-
辅助驾驶系统,,,,,,,
辅助驾驶等级,,,,,,,
轴距(mm),3110,3110,3110,3110,3110,3110,3110
轮圈材质,,,,,,,
转向辅助灯,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,-,●
车载智能系统,,,,,,,
车载冰箱,●,●,●,●,●,●,●
车载CD/DVD,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,腾势D9 2022款 DM-i 970 四驱旗舰型,腾势D9 2022款 EV 600  四驱旗舰型,腾势D9 2022款 EV 620 尊贵型,腾势D9 2022款 DM-i 970 四驱尊荣型,腾势D9 2022款 DM-i 1040 尊贵型,腾势D9 2022款 DM-i 945 豪华型,腾势D9 2022款 EV 600  四驱尊荣型
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●,●
车内环境氛围灯,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
负离子发生器,●,●,●,●,●,-,●
语音识别控制系统,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动泊车入位,●,●,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●
自动变道辅助,●,●,-,-,-,-,-
膝部气囊,●,●,●,●,●,●,●
能源类型,插电式混合动力,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,纯电动
胎压监测功能,,,,,,,
缺气保用轮胎,●,●,-,-,-,-,-
