Feature,36854
高度(mm),1522
驻车制动类型,电子驻车
驱动电机数,单电机
驱动方式,前置前驱
长度(mm),3721
长*宽*高(mm),3721*1658*1522
轴距(mm),2360
车门数(个),5
车身结构_y,两厢车
车身结构_x,5门5座两厢车
车型名称,幸福e+ 2019款 基本型
车体结构,承载式
行李厢容积(L),-
能源类型,纯电动
级别,微型车
系统综合扭矩(N·m),-
系统综合功率(kW),-
简称,电动车单速变速箱
百公里耗电量(kWh/100km),-
电池组质保,8年或12万公里
电池类型,三元锂电池
电池容量(kWh),-
电机类型,永磁 / 同步
电机布局,前置
电动机总扭矩(N·m),180
电动机总功率(kW),42
油箱容积(L),-
最高车速(km/h),-
最小离地间隙(mm),-
最大扭矩(N·m),180
最大功率(kW),42
整车质保,三年或12万公里
整备质量(kg),1140
挡位个数,1
慢充时间(小时)_y,10
慢充时间(小时)_x,10
快充电量百分比,100
快充电量(%),100
快充时间(小时)_y,2
快充时间(小时)_x,2
座位数(个),5
工信部续航里程(km),255
工信部纯电续驶里程(km),255
宽度(mm),1658
实测续航里程(km),-
实测慢充时间(小时),-
实测快充时间(小时),-
实测100-0km/h制动(m),-
实测0-100km/h加速(s),-
官方0-100km/h加速(s),-
备胎规格,未知
后轮距(mm),1410
后轮胎规格,175/65 R14
后电动机最大扭矩(N·m),-
后电动机最大功率(kW),-
后悬架类型,拖曳臂式非独立悬架
后制动器类型,盘式
变速箱类型,固定齿比变速箱
厂商指导价(元),0.00万
厂商,汉腾汽车
助力类型,电动助力
前轮距(mm),1414
前轮胎规格,175/65 R14
前电动机最大扭矩(N·m),180
前电动机最大功率(kW),42
前悬架类型,麦弗逊式独立悬架
前制动器类型,通风盘式
