Feature,1009780,1009886,1009887,1010161,1010162,1010163,1011511,1011574,1011575,1011576,1011577,1011578,1011579,1011580,1011581,1011582,1011583,1011584,1011585,1011586,1011587,1011588,1011589,1011591,1011593,1011594,1011595,1011596,1011670,1011671,1011828,1011829,1012002,1012003,1012004,1012005,1012006,1012007,1012008,1012009,1012010,1012011,1012012,1012013,1012014,1012015,1012016,1012017,1012848
高度(mm),1910,1850,1850,1810,1810,1810,1868,1810,1810,1810,1810,1810,1810,1810,1810,1850,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1850,1850,1810,1810,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1810,1810,1810,1868
驾驶辅助影像,-,,,,-,-,,,,,,,,,-,,,,,-,,,-,,,-,,,,,,,-,-,,,,,,,,,,,,,,,
驱动方式,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,,,-,-,-,,,,,,-,-,-,-,,,-,-,-,,-,-,,-,-,-,,,,,,-,-,-,-,-,-,-,,,,,,,,,,
长度(mm),5310,5345,5345,5360,5360,5360,5360,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,5540,5540,5540,5540,5540,5540,5540,5540,5345,5345,5540,5290,5290,5540,5290,5540,5290,5540,5290,5290,5540,5290,5290,5290,5540,5340,5340,5340,5360
长*宽*高(mm),5310×1850×1910,5345×1900×1850,5345×1900×1850,5360×1920×1810,5360×1920×1810,5360×1920×1810,5360×1900×1868,5290×1850×1810,5290×1850×1810,5290×1850×1810,5290×1850×1810,5290×1850×1810,5290×1850×1810,5290×1850×1810,5290×1850×1810,5290×1850×1850,5290×1850×1810,5290×1850×1810,5290×1850×1810,5290×1850×1810,5540×1850×1810,5540×1850×1810,5540×1850×1810,5540×1850×1810,5540×1850×1810,5540×1850×1810,5540×1850×1810,5540×1850×1810,5345×1900×1850,5345×1900×1850,5540×1850×1810,5290×1850×1810,5290×1850×1850,5540×1850×1850,5290×1850×1850,5540×1850×1850,5290×1850×1850,5540×1850×1850,5290×1850×1850,5290×1850×1850,5540×1850×1850,5290×1850×1850,5290×1850×1850,5290×1850×1850,5540×1850×1850,5340×1920×1810,5340×1920×1810,5340×1920×1810,5360×1900×1868
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3400,3400,3400,3400,3400,3400,3400,3400,3150,3150,3400,3150,3150,3400,3150,3400,3150,3400,3150,3150,3400,3150,3150,3150,3400,3150,3150,3150,3150
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
