,24674,26744,26745,30289,31466,31467,31468
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○
膝部气囊,●,-,-,●,-,○,○
胎压监测装置,●,-,-,●,-,●,●
零胎压继续行驶,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
并线辅助,-,-,-,●,-,○,○
车道偏离预警系统,○,-,-,●,-,-,○
主动刹车/主动安全系统,-,-,-,●,-,-,○
夜视系统,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,●,-,-,○
前/后驻车雷达,前○&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
倒车视频影像,●,-,●,●,-,●,●
全景摄像头,-,-,-,●,-,-,-
定速巡航,●,-,●,●,-,●,●
自适应巡航,●,-,-,●,-,-,○
自动泊车入位,-,-,-,-,-,-,-
发动机启停技术,-,-,-,-,-,-,-
上坡辅助,●,●,●,●,●,●,●
自动驻车,●,-,●,●,-,●,●
陡坡缓降,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-
电动天窗,●,●,●,●,●,●,●
全景天窗,●,-,-,●,-,○,○
运动外观套件,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
感应后备厢,●,●,●,●,-,●,●
车顶行李架,-,-,-,-,-,-,-
发动机电子防盗,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,-,●,●
无钥匙进入系统,●,●,●,●,-,●,●
远程启动,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,●,-,-,-
方向盘记忆,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-
座椅材质,真皮,仿皮,仿皮,真皮,皮/织物混搭,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●
腰部支撑调节,●,-,●,●,-,●,●
肩部支撑调节,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,●,-,-,-
前/后排座椅加热,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,-,-,-
前/后排座椅通风,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-
GPS导航系统,●,-,●,●,-,-,-
道路救援呼叫,-,-,-,●,-,-,-
中控台彩色大屏,●,-,●,●,-,●,●
中控台彩色大屏尺寸,-,-,-,8英寸,-,8英寸,8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●
手机互联/映射,-,-,-,●,-,●,●
车联网,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,-,单碟CD,-,-,-,-,-
扬声器品牌,-,-,-,JBL,-,-,-
扬声器数量,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
近光灯,卤素(选装氙气),卤素,卤素,LED,卤素,LED,LED
远光灯,卤素(选装氙气),卤素,卤素,LED,卤素,LED,LED
LED日间行车灯,●,●,●,●,-,●,●
自适应远近光,○,-,-,●,-,-,-
自动头灯,●,-,●,●,-,●,●
转向辅助灯,○,-,-,-,-,-,-
转向头灯,-,-,-,●,-,-,○
前雾灯,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●
大灯清洗装置,○,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,前排,主驾驶位,主驾驶位,主驾驶位
车窗防夹手功能,●,●,●,●,●,●,●
防紫外线/隔热玻璃,○,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,-,-,内●&nbsp;/&nbsp;外-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●
后视镜记忆,-,-,-,●,-,-,-
后风挡遮阳帘,●,-,-,●,-,-,-
后排侧遮阳帘,-,-,-,●,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-
感应雨刷,●,-,-,●,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●
车载空气净化器,-,-,-,●,-,●,●
车载冰箱,-,-,-,-,-,-,-
车型名称,索纳塔九 2016款 2.0L hybrid HL豪华型,索纳塔九 2016款 2.0L hybrid HE智能型,索纳塔九 2016款 2.0L hybrid HS领先型,索纳塔九 2018款 2.0T TOP旗舰型,索纳塔九 2018款 1.6T GS时尚型,索纳塔九 2018款 1.6T GLS智能型,索纳塔九 2018款 2.0T GLS智能型
厂商指导价(元),24.98万,20.98万,22.98万,23.18万,16.98万,18.38万,18.98万
厂商,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油
上市时间,2016.06,2016.06,2016.06,2017.08,2017.08,2017.08,2017.08
最大功率(kW)_x,-,-,-,177,132.4,132.4,177
最大扭矩(N·m)_x,-,-,-,353,265,265,353
发动机,2.0L 156马力 L4,2.0L 156马力 L4,2.0L 156马力 L4,2.0T 241马力 L4,1.6T 180马力 L4,1.6T 180马力 L4,2.0T 241马力 L4
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,7挡双离合,7挡双离合,6挡手自一体
长*宽*高(mm),4855*1865*1485,4855*1865*1485,4855*1865*1485,4855*1835*1485,4855*1835*1485,4855*1835*1485,4855*1835*1485
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),195,195,195,240,210,210,240
官方0-100km/h加速(s),-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,8.56,-,-,-
实测100-0km/h制动(m),-,-,-,40.69,-,-,-
工信部综合油耗(L/100km),4.8,4.8,4.8,8,6.3,6.4,8
实测油耗(L/100km),-,-,-,9.9,-,-,-
整车质保,十年或20万公里,十年或20万公里,十年或20万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
长度(mm),4855,4855,4855,4855,4855,4855,4855
宽度(mm),1865,1865,1865,1835,1835,1835,1835
高度(mm),1485,1485,1485,1485,1485,1485,1485
轴距(mm),2805,2805,2805,2805,2805,2805,2805
前轮距(mm),-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-
最小离地间隙(mm),145,145,145,145,145,145,145
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5
油箱容积(L),60,60,60,70,70,70,70
行李厢容积(L),440,440,440,510,510,510,510
整备质量(kg),1658,1620,1620,1610,1530,1560,1610
发动机型号,-,-,-,-,-,-,-
排量(mL),1999,1999,1999,1998,1591,1591,1998
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-
最大马力(Ps),156,156,156,241,180,180,241
最大功率(kW)_y,115,115,115,177,132.4,132.4,177
最大功率转速(rpm),6000,6000,6000,6000,5500,5500,6000
最大扭矩(N·m)_y,189,189,189,353,265,265,353
最大扭矩转速(rpm),5000,5000,5000,4800,1500-4500,1500-4500,4800
发动机特有技术,-,-,-,-,-,-,-
燃料形式,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号
