Feature,57140,57141,57142,57143,57144,57145,59359,59583,59584,61695,61696,61697,61757,61758,61759,61760,61761,61762
高度(mm),1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596
驾驶辅助影像,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
风阻系数(Cd),0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.289
面部识别,-,-,●,●,-,●,-,-,●,-,-,●,-,●,-,●,-,●
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4235,4235,4235,4235,4235,4235,4235,4235,4235,4235,4235,4235,4235,4235,4235,4235,4235,4235
长*宽*高(mm),4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596,4235*1825*1596
钥匙类型,,,,,,,,,,,,,,,,,,
遥控泊车,○,○,○,○,○,○,-,○,○,-,○,○,○,○,○,○,○,○
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●
透明底盘/540度影像,○,○,○,○,○,○,-,○,○,-,○,○,○,○,○,○,○,○
远程启动功能,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,,,,,,-,,,-,,,,,,,,
辅助驾驶等级,,,,,,,-,,,-,,,,,,,,
轴距(mm),2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650
轮圈材质,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●
