Feature,37478,37479,37480,37481,37482,37483,37484,37485,37486,37487,38605,38662,38663,38664,38665,38666,38667,38668,38669,38670,39170
高度(mm),1625,1625,1625,1625,1625,1625,1625,1645,1645,1645,1650,1635,1635,1635,1635,1635,1635,1650,1650,1625,1625
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415
长*宽*高(mm),4415*1819*1625,4415*1819*1625,4415*1819*1625,4415*1819*1625,4415*1819*1625,4415*1819*1625,4415*1819*1625,4415*1819*1645,4415*1819*1645,4415*1819*1645,4415*1819*1650,4415*1819*1635,4415*1819*1635,4415*1819*1635,4415*1819*1635,4415*1819*1635,4415*1819*1635,4415*1819*1650,4415*1819*1650,4415*1819*1625,4415*1819*1625
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,●,-,●,●,-,-,-,-,-,-,●,-,●,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,氙气,氙气,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,氙气,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,氙气,氙气,卤素,卤素,卤素,卤素,卤素,卤素,氙气,卤素,氙气,卤素,卤素
