,1000291,1000292,1000293,1000294,1000295,1000296,1000297,1000298,1000299,1000300,1000301,1000302
上市时间,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11,2011.11
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.0L 53马力 L4,1.0L 68马力 L4,1.0L 53马力 L4,1.0L 68马力 L4,1.0L 53马力 L4,1.0L 68马力 L4,1.3L 92马力 L4,1.3L 90马力 L4,1.3L 92马力 L4,1.3L 90马力 L4,1.3L 92马力 L4,1.3L 90马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900,4015×1600×1900
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
最高车速(km/h),95,100,95,100,95,100,132,132,132,132,132,132
工信部综合油耗(L/100km),7.3,6.3,6.3,6.3,6.3,6.3,7.5,8.6,7.5,8.6,7.5,8.6
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015
宽度(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
高度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
轴距(mm),2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525
前轮距(mm),1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310
后轮距(mm),1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1105,1105,1105,1105,1105,1105,1130,1130,1130,1130,1130,1130
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5-8,5-8,5-8,5-8,7,7,5-8,5-8,5-8,5-8,7,7
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),40,40,40,40,40,40,40,40,40,40,40,40
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,无助力,无助力,无助力,无助力,无助力,无助力,无助力,无助力,无助力,无助力,无助力,无助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,165/70 R13,165/70 R13,165/70 R13,165/70 R13,165/70 R13,165/70 R13,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14
后轮胎规格,165/70 R13,165/70 R13,165/70 R13,165/70 R13,165/70 R13,165/70 R13,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14,175/70 R14
发动机型号,LF465Q5,LF466Q,LF465Q5,LF466Q,LF465Q5,LF466Q,LF479Q5-1,LF479Q6,LF479Q5-1,LF479Q6,LF479Q5-1,LF479Q6
排量(mL),997,999,997,999,997,999,1299,1299,1299,1299,1299,1299
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),2,4,2,4,2,4,4,4,4,4,4,4
压缩比,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
配气机构,SOHC,DOHC,SOHC,DOHC,SOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),53,68,53,68,53,68,92,90,92,90,92,90
最大功率(kW)_y,39,50,39,50,39,50,68,66.5,68,66.5,68,66.5
最大功率转速(rpm),5500,5800,5500,5800,5500,5800,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,75,89,75,89,75,89,112,112,112,112,112,112
最大扭矩转速(rpm),3500-4000,4500-5000,3500-4000,4500-5000,3500-4000,4500-5000,3500-4000,3500-4000,3500-4000,3500-4000,3500-4000,3500-4000
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁
环保标准,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
电机类型,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-
