,1004852,1004853,1004854,1004855,1006028,1006363,1006497,1006603
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-
后视镜电动折叠,●,-,-,-,-,-,●,-
后视镜记忆,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-,-,-
空调控制方式,自动●,手动●,手动●,手动●,自动●,手动●,自动●,手动●
后排独立空调,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,●,-,-,-,●,-,●,-
车载冰箱,-,-,-,-,-,-,-,-
车型名称,D-MAX 2018款 3.0T四驱自动超豪华型4JJ1-TC HI,D-MAX 2018款 3.0T四驱手动基本型4JJ1-TC HI,D-MAX 2018款 3.0T两驱自动精英型4JJ1-TC HI,D-MAX 2018款 3.0T两驱手动基本型4JJ1-TC HI,D-MAX 2018款 3.0T四驱手动豪华款4JJ1-TC HI,D-MAX 2018款 3.0T四驱自动精英款4JJ1-TC HI,D-MAX 2018款 3.0T四驱自动X-POWER版4JJ1-TC HI,D-MAX 2018款 3.0T四驱手动X-POWER版4JJ1-TC HI
厂商指导价(元),19.48万,16.48万,15.88万,14.48万,17.98万,17.88万,21.98万,19.88万
厂商,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
上市时间,2017.08,2017.08,2017.08,2017.08,-,-,-,-
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-
发动机,3.0T 177马力 L4,3.0T 177马力 L4,3.0T 177马力 L4,3.0T 177马力 L4,3.0T 177马力 L4,3.0T 177马力 L4,3.0T 177马力 L4,3.0T 177马力 L4
变速箱,6挡手自一体,6挡手动,6挡手自一体,6挡手动,6挡手动,6挡手自一体,6挡手自一体,6挡手动
长*宽*高(mm),5295×1860×1775,5295×1860×1775,5295×1860×1775,5295×1860×1775,5295×1860×1775,5295×1860×1775,5335×1860×1830,5335×1860×1830
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
最高车速(km/h),173,175,173,175,175,173,173,175
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-
整车质保,待查,待查,待查,待查,待查,待查,待查,待查
长度(mm),5295,5295,5295,5295,5295,5295,5335,5335
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860
高度(mm),1775,1775,1775,1775,1775,1775,1830,1830
轴距(mm),3095,3095,3095,3095,3095,3095,3095,3095
前轮距(mm),-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-
整备质量(kg),2000,1990,1895,1880,1990,2000,2000,1990
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门数(个),4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
油箱容积(L),76,76,76,76,76,76,76,76
货箱尺寸(mm),1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480
最大载重质量(kg),485,485,485,485,485,485,485,485
简称,6挡手自一体,6挡手动,6挡手自一体,6挡手动,6挡手动,6挡手自一体,6挡手自一体,6挡手动
挡位个数,6,6,6,6,6,6,6,6
变速箱类型,自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT)
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱
前悬架类型,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,255/65 R17,255/65 R17
后轮胎规格,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,245/70 R16,255/65 R17,255/65 R17
发动机型号,4JJ1-TC HI,4JJ1-TC HI,4JJ1-TC HI,4JJ1-TC HI,4JJ1-TC HI,4JJ1-TC HI,4JJ1-TC HI,4JJ1-TC HI
排量(mL),-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知
压缩比,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),177,177,177,177,177,177,177,177
最大功率(kW)_y,130,130,130,130,130,130,130,130
最大功率转速(rpm),-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,430,430,430,430,430,430,430,430
最大扭矩转速(rpm),-,-,-,-,-,-,-,-
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
