Feature,15851,15956,15957,15958,15959,15960,15961,15975,15976,16346,16347,18033,18034
高度(mm),1483,1483,1483,1483,1483,1483,1483,1480,1480,1480,1480,1483,1483
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹,手刹,手刹,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4648,4648,4648,4648,4648,4648,4648,4624,4624,4624,4624,4648,4648
长*宽*高(mm),4648*1827*1483,4648*1827*1483,4648*1827*1483,4648*1827*1483,4648*1827*1483,4648*1827*1483,4648*1827*1483,4624*1827*1480,4624*1827*1480,4624*1827*1480,4624*1827*1480,4648*1827*1483,4648*1827*1483
铝合金轮圈,●,-,-,●,●,●,●,●,●,-,-,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,氙气,卤素,卤素,卤素,卤素,氙气,氙气,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,氙气,卤素,卤素,卤素,卤素,氙气,氙气,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705
转向辅助灯,●,-,-,-,-,●,●,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,-,-,●,●,●,●,-,-,-,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,荣威550 2013款 550G 1.8T 自动品仕版,荣威550 2013款 550 1.8L 手动启悦版,荣威550 2013款 550 1.8L 自动启智版,荣威550 2013款 550S 1.8L 手动启逸版,荣威550 2013款 550S 1.8L 自动启臻版,荣威550 2013款 550D 1.8T 手动品逸版,荣威550 2013款 550D 1.8T 自动品臻版,荣威550 2013款 经典版 550 1.8L 手动豪华型,荣威550 2013款 经典版 550 1.8L 自动豪华型,荣威550 2013款 经典版 550 1.8L 手动风尚型,荣威550 2013款 经典版 550 1.8L 自动风尚型,荣威550 2014款 550S 1.8L 手动智选版,荣威550 2014款 550S 1.8L 自动智选版
车内空气调节/花粉过滤,●,-,-,-,-,-,-,-,-,-,-,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
