,25986,25987,25988,25989,25990
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-
后视镜电动折叠,-,-,●,●,●
后视镜记忆,-,-,●,-,●
后风挡遮阳帘,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●
后雨刷,●,●,●,●,●
感应雨刷,-,-,-,-,●
空调控制方式,自动●,自动●,自动●,自动●,自动●
后排独立空调,●,●,●,●,●
后座出风口,●,●,●,●,●
温度分区控制,●,●,●,●,●
车内空气调节/花粉过滤,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车载冰箱,●,●,●,●,●
车型名称,兰德酷路泽 2016款 4.0L 自动GX-R,兰德酷路泽 2016款 4.0L 自动VX,兰德酷路泽 2016款 4.0L 自动VX-R,兰德酷路泽 2016款 4.6L 自动VX,兰德酷路泽 2016款 4.6L 自动VX-R
厂商指导价(元),77.10万,82.00万,85.80万,103.50万,119.40万
厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
能源类型,汽油,汽油,汽油,汽油,汽油
上市时间,2016.04,2016.04,2016.04,2016.04,2016.04
工信部纯电续驶里程(km),-,-,-,-,-
最大功率(kW)_x,202,202,202,228,228
最大扭矩(N·m)_x,385,385,385,453,453
发动机,4.0L 275马力 V6,4.0L 275马力 V6,4.0L 275马力 V6,4.6L 310马力 V8,4.6L 310马力 V8
变速箱,5挡手自一体,5挡手自一体,5挡手自一体,6挡手自一体,6挡手自一体
长*宽*高(mm),5095*1975*1930,5170*1975*1930,5170*1975*1930,5170*1975*1930,5095*1975*1930
车身结构_x,5门8座SUV,5门8座SUV,5门8座SUV,5门8座SUV,5门8座SUV
最高车速(km/h),-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,9.25
实测100-0km/h制动(m),-,-,-,-,42.53
工信部综合油耗(L/100km),-,-,-,-,-
实测油耗(L/100km),-,-,-,-,20.6
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),5095,5170,5170,5170,5095
宽度(mm),1975,1975,1975,1975,1975
高度(mm),1930,1930,1930,1930,1930
轴距(mm),2850,2850,2850,2850,2850
前轮距(mm),1650,1650,1650,1650,1650
后轮距(mm),1645,1645,1645,1645,1645
最小离地间隙(mm),230,230,230,230,230
车身结构_y,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5
座位数(个),8,8,8,8,8
油箱容积(L),138,138,138,138,138
行李厢容积(L),-,-,-,-,-
整备质量(kg),2635,2650,2655,2735,2735
发动机型号,1GR,1GR,1GR,1UR,1UR
排量(mL),3956,3956,3956,4608,4608
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,V,V,V,V,V
气缸数(个),6,6,6,8,8
每缸气门数(个),4,4,4,4,4
压缩比,10.4,10.4,10.4,10.2,10.2
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),94,94,94,94,94
行程(mm),95,95,95,83,83
最大马力(Ps),275,275,275,310,310
最大功率(kW)_y,202,202,202,228,228
最大功率转速(rpm),5600,5600,5600,5500,5500
最大扭矩(N·m)_y,385,385,385,453,453
最大扭矩转速(rpm),4400,4400,4400,3400,3400
发动机特有技术,Dual VVT-i,Dual VVT-i,Dual VVT-i,Dual VVT-i,Dual VVT-i
燃料形式,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V
挡位个数,5,5,5,6,6
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,5挡手自一体,5挡手自一体,5挡手自一体,6挡手自一体,6挡手自一体
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,托森式差速器,托森式差速器,托森式差速器,托森式差速器,托森式差速器
前悬架类型,螺旋弹簧双叉臂独立悬架,螺旋弹簧双叉臂独立悬架,螺旋弹簧双叉臂独立悬架,螺旋弹簧双叉臂独立悬架,螺旋弹簧双叉臂独立悬架
后悬架类型,四连杆式非独立悬架,四连杆式非独立悬架,四连杆式非独立悬架,四连杆式非独立悬架,四连杆式非独立悬架
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹
前轮胎规格,285/65 R17,285/65 R17,285/60 R18,285/60 R18,285/60 R18
后轮胎规格,285/65 R17,285/65 R17,285/60 R18,285/60 R18,285/60 R18
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
