Feature,1004718,1004720,1005268,1005269,1006575,1006576,1007148,1007149,1007150,1007151,1007152,1007153,1007154,1007155
高度(mm),1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5080,5080,5580,5580,5080,5580,5130,5130,5630,5630,5130,5130,5630,5630
长*宽*高(mm),5080×1720×1700,5080×1720×1700,5580×1720×1700,5580×1720×1700,5080×1720×1700,5580×1720×1700,5130×1800×1700,5130×1800×1700,5630×1800×1700,5630×1800×1700,5130×1800×1700,5130×1800×1700,5630×1800×1700,5630×1800×1700
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3025,3025,3380,3380,3025,3380,3025,3025,3380,3380,3025,3025,3380,3380
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,骐铃T5 2016款 2.2L两驱尊贵版国V标准轴距V22,骐铃T5 2016款 2.2L两驱舒适版国V标准轴距V22,骐铃T5 2016款 2.2L两驱尊贵版国V改款加长轴距V22,骐铃T5 2016款 2.2L两驱舒适版国V改款加长轴距V22,骐铃T5 2018款 2.8T两驱舒适版标准轴距JE493ZLQ5D,骐铃T5 2018款 2.8T两驱舒适版加长轴距JE493ZLQ5D,骐铃T5 2019款 2.2L PLUS尊贵版标准轴距V22,骐铃T5 2019款 2.8T PLUS尊贵版标准轴距JE493ZLQ5D,骐铃T5 2019款 2.2L PLUS尊贵版加长轴距V22,骐铃T5 2019款 2.8T PLUS尊贵版加长轴距JE493ZLQ5D,骐铃T5 2019款 2.2L PLUS舒适版标准轴距V22,骐铃T5 2019款 2.8T PLUS舒适版标准轴距JE493ZLQ5D,骐铃T5 2019款 2.2L PLUS舒适版加长轴距V22,骐铃T5 2019款 2.8T PLUS舒适版加长轴距JE493ZLQ5D
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1380x1470x470,1380x1470x470,1835x1470x470,1835x1470x470,1380x1470x470,1835x1470x470,1380x1470x470,1380x1470x470,1835x1470x470,1835x1470x470,1380x1470x470,1380x1470x470,1835x1470x470,1835x1470x470
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-
