,35772,35773,36299,36361,36362,36460,36461,36462,36463,36464,36465,36466,36467,36468
自适应巡航,●,●,●,-,-,-,-,●,●,●,●,●,●,●
自动泊车入位,-,●,-,-,-,-,-,-,-,-,-,●,-,-
发动机启停技术,●,-,●,●,●,●,●,●,●,-,-,-,-,-
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,软硬调节,软硬调节,-,-,-,-,-,-,软硬调节,-,-,软硬调节,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全景天窗,●,●,●,-,●,-,●,●,●,-,●,●,-,●
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,●,●,-,-,-,-,-,-,●,-,-,●,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,●,●,●,-,●,-,●,●,●,-,●,●,-,●
远程启动,●,●,●,-,●,-,●,●,●,-,-,●,-,-
皮质方向盘,●,●,●,-,●,-,●,●,●,-,●,●,-,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,●,-,-,-,-,-,-,-,●,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,●,-,-,-,-,-,-,-,-,-,●,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,●,●,●,●,●,●,●,●,●,●,●,●,●,●
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,仿皮,真皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,真皮,真皮,仿皮,真皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,-,-,-,-,-,-,●,-,●,●,-,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,●,-,-,-,-,-,-,-,-,●,●,-,●
电动座椅记忆,-,●,-,-,-,-,-,-,-,-,●,●,-,●
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,-,-,-,-,-,-,●,-,-,●,-,-
道路救援呼叫,●,●,-,-,-,-,-,-,●,-,-,●,-,-
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,8英寸,8英寸,8英寸,7英寸,7英寸,7英寸,7英寸,8英寸,8英寸,7英寸,7英寸,8英寸,7英寸,7英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,●,●,●,-,-,-,-,●,●,-,-,●,-,-
车联网,●,●,-,-,-,-,-,-,●,-,-,●,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,8-9喇叭,8-9喇叭,8-9喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,8-9喇叭,8-9喇叭,4-5喇叭,4-5喇叭,8-9喇叭,4-5喇叭,4-5喇叭
近光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
远光灯,LED,LED,LED,卤素,卤素,卤素,卤素,LED,LED,LED,LED,LED,LED,LED
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,-,-,-,-,●,●,●,●,●,●,●
自动头灯,●,●,●,-,-,-,-,●,●,●,●,●,●,●
转向辅助灯,●,●,●,-,-,-,-,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,●,●,●,-,-,-,-,●,●,-,●,●,-,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排,前排
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,-,●,-,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,-,-,内●&nbsp;/&nbsp;外-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,-,●,-,●,●,●,-,●,●,-,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,-,●,-,-,-,-,-,-,-,-,-,●,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,●,-,-,-,-,-,-,-,-,-,●,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,INSPIRE 2019款 260TURBO 精耀版 国V,INSPIRE 2019款  锐·混动 2.0L 净越版 国V,INSPIRE 2019款 260TURBO 精悦版 国V,INSPIRE 2019款 260TURBO 典雅版 国V,INSPIRE 2019款 260TURBO 精致版 国V,INSPIRE 2019款 260TURBO 典雅版 国VI,INSPIRE 2019款 260TURBO 精致版 国VI,INSPIRE 2019款 260TURBO 精悦版 国VI,INSPIRE 2019款 260TURBO 精耀版 国VI,INSPIRE 2019款 锐·混动 2.0L 净雅版 国V,INSPIRE 2019款 锐·混动 2.0L 净尚版 国V,INSPIRE 2019款 锐·混动 2.0L 净越版 国VI,INSPIRE 2019款 锐·混动 2.0L 净雅版 国VI,INSPIRE 2019款 锐·混动 2.0L 净尚版 国VI
厂商指导价(元),21.98万,24.98万,20.98万,18.28万,19.28万,18.28万,19.28万,20.98万,21.98万,20.58万,22.98万,24.98万,20.58万,22.98万
厂商,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
能源类型,汽油,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
上市时间,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10,2018.10
最大功率(kW)_x,143,158,143,143,143,143,143,143,143,158,158,158,158,158
最大扭矩(N·m)_x,260,-,260,260,260,260,260,260,260,-,-,-,-,-
发动机,1.5T 194马力 L4,2.0L 146马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,1.5T 194马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4,2.0L 146马力 L4
变速箱,CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
长*宽*高(mm),4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450,4910*1862*1450
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),9.8,9.1,9.8,9.7,9.8,9.7,9.8,9.8,9.8,8.9,9.1,9.1,8.9,9.1
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6,4.2,6,6,6,6,6,6,6,4,4.2,4.4,4.2,4.4
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4910,4910,4910,4910,4910,4910,4910,4910,4910,4910,4910,4910,4910,4910
宽度(mm),1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
轴距(mm),2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),56,48,56,56,56,56,56,56,56,48,48,48,48,48
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1519,1630,1516,1479,1508,1482,1511,1519,1522,1571,1613,1633,1574,1616
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1498,1993,1498,1498,1498,1498,1498,1498,1498,1993,1993,1993,1993,1993
进气形式,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,10.3,13.5,10.3,10.3,10.3,10.3,10.3,10.3,10.3,13.5,13.5,13.5,13.5,13.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),194,146,194,194,194,194,194,194,194,146,146,146,146,146
最大功率(kW)_y,143,107,143,143,143,143,143,143,143,107,107,107,107,107
最大功率转速(rpm),5500,6200,5500,5500,5500,5500,5500,5500,5500,6200,6200,6200,6200,6200
最大扭矩(N·m)_y,260,175,260,260,260,260,260,260,260,175,175,175,175,175
最大扭矩转速(rpm),1600-5000,3500,1600-5000,1600-5000,1600-5000,1600-5000,1600-5000,1600-5000,1600-5000,3500,3500,3500,3500,3500
发动机特有技术,VTEC,i-VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC
燃料形式,汽油,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,直喷,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国V,国V,国VI,国VI,国VI
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,135,-,-,-,-,-,-,-,135,135,135,135,135
电动机总扭矩(N·m),-,315,-,-,-,-,-,-,-,315,315,315,315,315
前电动机最大功率(kW),-,135,-,-,-,-,-,-,-,135,135,135,135,135
前电动机最大扭矩(N·m),-,315,-,-,-,-,-,-,-,315,315,315,315,315
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
系统综合功率(kW),-,158,-,-,-,-,-,-,-,158,158,158,158,158
系统综合扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,-,单电机,-,-,-,-,-,-,-,单电机,单电机,单电机,单电机,单电机
电机布局,-,前置,-,-,-,-,-,-,-,前置,前置,前置,前置,前置
电池类型,-,锂离子电池,-,-,-,-,-,-,-,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,10年或20万公里,-,-,-,-,-,-,-,10年或20万公里,10年或20万公里,10年或20万公里,10年或20万公里,10年或20万公里
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱类型,无级变速箱(CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
简称,CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,225/50 R17,235/45 R18,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,235/45 R18,235/45 R18,225/50 R17,235/45 R18
后轮胎规格,225/50 R17,235/45 R18,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,235/45 R18,235/45 R18,225/50 R17,235/45 R18
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
