Feature,56719,56746
高度(mm),1985,1985
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱
首任车主质保政策,-,-
陡坡缓降,●,●
长度(mm),5695,5695
长*宽*高(mm),5695*2095*1985,5695*2095*1985
钥匙类型,,
配气机构,DOHC,DOHC
远光灯光源,,
进气形式,双涡轮增压,双涡轮增压
近光灯光源,,
轴距(mm),3309,3309
轮圈材质,,
转向辅助灯,●,●
车顶行李架,●,●
车门数(个),5,5
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车载电视,●,●
车身结构_y,SUV,SUV
车身结构_x,5门4座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,-,-
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,红旗LS7 2022款 4.0T 尊爵旗舰版 4座,红旗LS7 2022款 4.0T 典雅旗航版 6座
车前雾灯,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车侧脚踏板,,
车体结构,非承载式,非承载式
语音识别控制系统,-,-
触摸式阅读灯,●,●
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,●,●
自动头灯,●,●
能源类型,汽油,汽油
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,大型SUV,大型SUV
简称,8挡手自一体,8挡手自一体
第二排独立座椅,●,●
第二排座椅调节,,
第二排座椅电动调节,●,●
第二排座椅功能,,
空调温度控制方式,,
离去角(°),21,21
疲劳驾驶提示,-,-
电动座椅记忆功能,,
电动吸合车门,,
电动后备厢位置记忆,●,●
电动后备厢,●,●
环保标准_y,国IV+OBD,国IV+OBD
环保标准_x,国IV+OBD,国IV+OBD
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,92号,92号
燃料形式,汽油,汽油
满载最小离地间隙(mm),246,246
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),120,120
气缸数(个),8,8
气缸排列形式,V,V
每缸气门数(个),4,4
最高车速(km/h),200,200
最大马力(Ps),360,360
最大满载质量(kg),3550,3550
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,500,500
最大扭矩(N·m)_x,500,500
最大功率转速(rpm),-,-
最大功率(kW)_y,265,265
最大功率(kW)_x,265,265
最大净功率(kW),260,260
