Feature,1006145,1006146,1006147,1006148,1006149,1006150,1006151,1006152,1006153,1006154,1006155,1006156,1006157,1006158,1006159,1006160,1006161,1006162,1006163,1006164,1006165,1006166,1006167,1006168,1006169,1006170,1006171,1006172,1006579,1006580,1006582,1006583,1006584,1006585,1006586,1006587,1006588,1006589,1006590,1006591,1007921,1007922,1007923,1007930,1007931,1007932,1007933,1007934,1007935,1007936,1007937,1007938,1008707,1008708,1008709,1008710,1008711,1008712,1008713,1008714,1008715,1008716,1008717,1008718
高度(mm),2030,2020,2090,2070,2090,2070,2090,2070,2510,2510,2510,2510,2550,2550,2550,2550,2550,2550,2550,2550,2070,2090,2550,2550,2550,2550,2070,2070,2065,2050,2065,2050,2065,2065,2475,2475,2475,2510,2510,2510,2050,2500,2530,2065,2500,2530,2050,2490,2520,2065,2490,2535,2050,2495,2535,2065,2485,2535,2050,2495,2535,2065,2505,2535
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4950,5050,5250,5250,5230,5230,5250,5250,5250,5250,5250,5250,5310,5310,5320,5340,5310,5310,5360,5340,5230,5230,5310,5360,5310,5360,5230,5300,5745,5495,5585,5495,5745,5585,5495,5585,5745,5565,5655,5815,5235,5400,5415,5325,5510,5505,5535,5650,5650,5785,5870,5875,5580,5655,5655,5810,5880,5880,5280,5410,5410,5350,5505,5505
长*宽*高(mm),4950×1730×2030,5050×1730×2020,5250×1730×2090,5250×1730×2070,5230×1730×2090,5230×1730×2070,5250×1730×2090,5250×1730×2070,5250×1730×2510,5250×1730×2510,5250×1730×2510,5250×1730×2510,5310×1770×2550,5310×1770×2550,5320×1770×2550,5340×1770×2550,5310×1770×2550,5310×1770×2550,5360×1770×2550,5340×1770×2550,5230×1730×2070,5230×1730×2090,5310×1770×2550,5360×1760×2550,5310×1770×2550,5360×1760×2550,5230×1730×2070,5300×1730×2070,5745×1725×2065,5495×1725×2050,5585×1725×2065,5495×1725×2050,5745×1725×2065,5585×1725×2065,5495×1725×2475,5585×1725×2475,5745×1725×2475,5565×1820×2510,5655×1770×2510,5815×1770×2510,5235×1725×2050,5400×1725×2500,5415×1810×2530,5325×1725×2065,5510×1725×2500,5505×1750×2530,5535×1725×2050,5650×1725×2490,5650×1810×2520,5785×1725×2065,5870×1725×2490,5875×1750×2535,5580×1750×2050,5655×1750×2495,5655×1820×2535,5810×1750×2065,5880×1750×2485,5880×1760×2535,5280×1750×2050,5410×1750×2495,5410×1820×2535,5350×1750×2065,5505×1750×2505,5505×1760×2535
配气机构,未知,未知,DOHC,DOHC,未知,未知,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
