,33947,33948,33949,33950,33951,33952,33953,33954,33955,33956,35804,35805,35806,35807,35808,35809,35810,35811,35812,35813
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
并线辅助,○,○,○,○,○,○,○,○,●,●,○,○,○,○,○,○,○,○,●,●
车道偏离预警系统,○,○,○,○,○,○,○,○,●,●,○,○,○,○,○,○,○,○,●,●
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
倒车视频影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全景摄像头,○,○,○,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●
定速巡航,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应巡航,○,○,○,○,○,○,○,○,●,●,○,○,○,○,○,○,○,○,●,●
自动泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节(选装高低调节),软硬调节,软硬调节,软硬调节,软硬调节,软硬调节,软硬调节,软硬调节,软硬调节,软硬调节,软硬调节
空气悬架,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全景天窗,○,○,○,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,●,●,●,●
感应后备厢,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,●,●,●,●
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,○,○,○,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,○,○,○,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,○,○,○,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○
手机无线充电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材质,仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),真皮,真皮,仿皮,仿皮,仿皮,仿皮,仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),真皮,真皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,●,●,●,●
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,●,●,●,●
副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆,○,○,○,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●
前/后排座椅加热,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○
前/后排座椅通风,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○,前○&nbsp;/&nbsp;后○
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
外接音源接口,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽,USB+SD卡插槽
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),Burmester柏林之声,Burmester柏林之声,(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),(选装Burmester柏林之声),Burmester柏林之声,Burmester柏林之声
扬声器数量,8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),≥12喇叭,≥12喇叭,8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),8-9喇叭(选装≥12喇叭),≥12喇叭,≥12喇叭
近光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
远光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,○,○,○,○,○,○,○,○,●,●,○,○,○,○,○,○,○,○,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,○,○,○,○,○,○,○,○,●,●,○,○,○,○,○,○,○,○,●,●
前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内○&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜记忆,○,○,○,○,●,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●
后风挡遮阳帘,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,●,●,●,●
后排侧遮阳帘,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,●,●,●,●
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,奔驰E级 2018款 改款 E 200 L,奔驰E级 2018款 改款 E 200 L 运动型,奔驰E级 2018款 改款 E 200 L 4MATIC,奔驰E级 2018款 改款 E 200 L 运动型 4MATIC,奔驰E级 2018款 改款 E 300 L 时尚型,奔驰E级 2018款 改款 E 300 L 运动时尚型,奔驰E级 2018款 改款 E 300 L 豪华型,奔驰E级 2018款 改款 E 300 L 运动豪华型,奔驰E级 2018款 改款 E 320 L 4MATIC,奔驰E级 2018款 改款 E 320 L 运动型 4MATIC,奔驰E级 2019款 E 200 L,奔驰E级 2019款 E 200 L 运动型,奔驰E级 2019款 E 200 L 4MATIC,奔驰E级 2019款 E 200 L 运动型 4MATIC,奔驰E级 2019款 E 300 L 时尚型,奔驰E级 2019款 E 300 L 运动时尚型,奔驰E级 2019款 E 300 L 豪华型,奔驰E级 2019款 E 300 L 运动豪华型,奔驰E级 2019款 E 320 L 4MATIC,奔驰E级 2019款 E 320 L 运动型 4MATIC
厂商指导价(元),43.58万,43.58万,45.80万,45.80万,47.58万,47.58万,50.28万,50.28万,62.98万,62.98万,43.58万,43.58万,45.80万,45.80万,47.58万,47.58万,50.28万,50.28万,62.98万,62.98万
厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2018.03,2018.03,2018.03,2018.03,2018.03,2018.03,2018.03,2018.03,2018.03,2018.03,2018.09,2018.09,2018.09,2018.09,2018.09,2018.09,2018.09,2018.09,2018.09,2018.09
最大功率(kW)_x,135,135,135,135,180,180,180,180,200,200,135,135,135,135,180,180,180,180,200,200
最大扭矩(N·m)_x,300,300,300,300,370,370,370,370,400,400,300,300,300,300,370,370,370,370,400,400
发动机,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 272马力 V6,3.0T 272马力 V6,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 272马力 V6,3.0T 272马力 V6
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
长*宽*高(mm),5065*1860*1467,5065*1860*1467,5065*1860*1482,5065*1860*1482,5065*1860*1467,5065*1860*1467,5065*1860*1467,5065*1860*1467,5065*1860*1482,5065*1860*1482,5065*1860*1476,5065*1860*1476,5065*1860*1482,5065*1860*1482,5065*1860*1476,5065*1860*1476,5065*1860*1476,5065*1860*1476,5065*1860*1482,5065*1860*1482
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),235,235,229,229,250,250,250,250,250,250,235,235,229,229,250,250,250,250,250,250
官方0-100km/h加速(s),8.6,8.6,8.8,8.8,6.9,6.9,6.9,6.9,5.7,5.7,8.6,8.6,8.8,8.8,6.9,6.9,6.9,6.9,5.7,5.7
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.9,6.9,7.6,7.6,7.1,7.1,7.1,7.1,8.7,8.7,6.9,6.9,7.6,7.6,7.1,7.1,7.1,7.1,8.7,8.7
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
长度(mm),5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065,5065
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
高度(mm),1467,1467,1482,1482,1467,1467,1467,1467,1482,1482,1476,1476,1482,1482,1476,1476,1476,1476,1482,1482
轴距(mm),3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079
前轮距(mm),1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597
