,31359,31360,31361,31362,31363,31364,31365,31366,31367,31368,31369,31370
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,○,○,○,●,●,○,○,●,●,●,●,●
全景天窗,-,-,-,-,●,-,-,-,-,-,●,●
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,单侧电动侧滑门(选装双侧电动侧滑门),手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,单侧电动侧滑门(选装双侧电动侧滑门),双侧电动侧滑门
电动后备厢,-,-,-,-,●,-,-,-,-,-,●,●
感应后备厢,-,-,-,-,●,-,-,-,-,-,●,●
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,-,-,-,-,●,-,-,-,-,●,●,●
无钥匙进入系统,-,-,-,-,●,-,-,-,-,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,皮/织物混搭,皮/织物混搭,皮/织物混搭,皮/织物混搭,真皮,皮/织物混搭,皮/织物混搭,皮/织物混搭,皮/织物混搭,真皮,真皮,真皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,主○&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●,-,主○&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,●
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,前-&nbsp;/&nbsp;后●
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,前-&nbsp;/&nbsp;后●
第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,●,●,-,-,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,7英寸,7英寸,7英寸,7英寸,-,7英寸,7英寸,7英寸,-,-,-,-
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-,-,●,●,●,●
车联网,-,-,-,-,-,-,-,-,●,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,●,-,-,-,-,-,-,-
220V/230V电源,-,-,-,●,●,-,-,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
CD/DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,-,单碟DVD,单碟DVD,单碟DVD,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,卤素,氙气,卤素,卤素,卤素,卤素,氙气,氙气,氙气
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,●,-,-,-,-,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,●,-,-,-,-,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,●,-,-,-,-,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,●,●,-,-,●,●,●,●,●
内/外后视镜自动防眩目,-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,-,-,●,-,-,-,-,●,●,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,●,-,-,-,-,●,●,●
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,上汽大通G10 2018款 PLUS 2.4L 手动精英版,上汽大通G10 2018款 PLUS 1.9T 手动精英版 柴油,上汽大通G10 2018款 PLUS 1.9T 自动精英版 柴油,上汽大通G10 2018款 PLUS 1.9T 自动豪华版 柴油,上汽大通G10 2018款 PLUS 1.9T 自动豪华行政版 柴油,上汽大通G10 2018款 PLUS 2.0T 手动精英版,上汽大通G10 2018款 PLUS 2.0T 自动精英版,上汽大通G10 2018款 PLUS 2.0T 手动豪华版,上汽大通G10 2018款 PLUS 2.0T 自动豪华版,上汽大通G10 2018款 PLUS 2.0T 自动行政版,上汽大通G10 2018款 PLUS 2.0T 自动豪华行政版,上汽大通G10 2018款 PLUS 2.0T 自动旗舰版
厂商指导价(元),13.38万,16.68万,18.18万,19.58万,22.98万,14.98万,16.38万,16.78万,18.78万,20.78万,22.98万,26.98万
厂商,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
能源类型,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,105,110,110,110,110,165,165,165,165,165,165,165
最大扭矩(N·m)_x,210,350,350,350,350,345,345,345,345,345,345,345
发动机,2.4L 143马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,1.9T 150马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4,2.0T 224马力 L4
变速箱,5挡手动,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手动,6挡手自一体,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
长*宽*高(mm),5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928
车身结构_x,4门7座MPV,4门7座MPV,4门7座MPV,5门7座MPV,5门7座MPV,4门7座MPV,4门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
最高车速(km/h),160,190,190,190,190,190,190,190,190,190,190,190
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),10.2,7.8,8.1,8.1,8.1,9.3,10.3,9.3,10.3,10.3,10.3,10.3
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168
宽度(mm),1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
高度(mm),1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928
轴距(mm),3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车门数(个),4,4,4,5,5,4,4,5,5,5,5,5
座位数(个),7,7,7,7,7,7,7,7,7,7,7,7
油箱容积(L),75,75,75,75,75,75,75,75,75,75,75,75
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,4G69S4N,-,-,-,-,20L4E,20L4E,20L4E,20L4E,20L4E,20L4E,20L4E
排量(mL),-,-,-,-,-,1995,1995,1995,1995,1995,1995,1995
进气形式,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),143,150,150,150,150,224,224,224,224,224,224,224
最大功率(kW)_y,105,110,110,110,110,165,165,165,165,165,165,165
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,210,350,350,350,350,345,345,345,345,345,345,345
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,5,6,6,6,6,6,6,6,6,6,6,6
变速箱类型,手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,5挡手动,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手动,6挡手自一体,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架
助力类型,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,215/70 R16,215/70 R16,215/70 R16,215/70 R16,225/55 R18,215/70 R16,215/70 R16,215/70 R16,215/70 R16,215/70 R16,225/55 R18,225/55 R18
后轮胎规格,215/70 R16,215/70 R16,215/70 R16,215/70 R16,225/55 R18,215/70 R16,215/70 R16,215/70 R16,215/70 R16,215/70 R16,225/55 R18,225/55 R18
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,非全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸,非全尺寸,非全尺寸
