,33327,33329,33330,33331
厂商指导价(元),5.28万,5.68万,6.28万,6.68万
厂商,云雀汽车,云雀汽车,云雀汽车,云雀汽车
级别,小型车,小型车,小型车,小型车
能源类型,汽油,汽油,汽油,汽油
上市时间,2018.04,2018.04,2018.04,2018.04
工信部纯电续驶里程(km),-,-,-,-
最大功率(kW)_x,74,74,74,74
最大扭矩(N·m)_x,131,131,131,131
发动机,1.4L 101马力 L4,1.4L 101马力 L4,1.4L 101马力 L4,1.4L 101马力 L4
变速箱,5挡手动,5挡手动,5挡AMT,5挡AMT
长*宽*高(mm),3970*1730*1615,3970*1730*1615,3970*1730*1615,3970*1730*1615
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),175,175,175,175
官方0-100km/h加速(s),-,-,-,-
实测0-100km/h加速(s),-,-,-,-
实测100-0km/h制动(m),-,-,-,-
工信部综合油耗(L/100km),5.6,5.6,5.9,5.9
实测油耗(L/100km),-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),3970,3970,3970,3970
宽度(mm),1730,1730,1730,1730
高度(mm),1615,1615,1615,1615
轴距(mm),2450,2450,2450,2450
前轮距(mm),-,-,-,-
后轮距(mm),-,-,-,-
最小离地间隙(mm),-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5
座位数(个),5,5,5,5
油箱容积(L),41,41,41,41
行李厢容积(L),-,-,-,-
整备质量(kg),1060,1060,1060,1060
发动机型号,-,-,-,-
排量(mL),1370,1370,1370,1370
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L
气缸数(个),4,4,4,4
每缸气门数(个),4,4,4,4
压缩比,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-
行程(mm),-,-,-,-
最大马力(Ps),101,101,101,101
最大功率(kW)_y,74,74,74,74
最大功率转速(rpm),6000,6000,6000,6000
最大扭矩(N·m)_y,131,131,131,131
最大扭矩转速(rpm),3000-4000,3000-4000,3000-4000,3000-4000
发动机特有技术,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V
挡位个数,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),机械式自动变速箱(AMT),机械式自动变速箱(AMT)
简称,5挡手动,5挡手动,5挡AMT,5挡AMT
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹
前轮胎规格,185/55 R15,185/55 R15,185/55 R15,185/55 R15
后轮胎规格,185/55 R15,185/55 R15,185/55 R15,185/55 R15
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸
