,35850
车型名称,探岳 2019款 380TSI 基本型
厂商指导价(元),0.00万
厂商,一汽-大众
级别,中型SUV
能源类型,汽油
工信部纯电续驶里程(km),-
最大功率(kW)_x,162
最大扭矩(N·m)_x,350
发动机,2.0T 220马力 L4
变速箱,7挡双离合
长*宽*高(mm),4589*1860*1660
车身结构_x,5门5座SUV
最高车速(km/h),-
官方0-100km/h加速(s),-
实测0-100km/h加速(s),-
实测100-0km/h制动(m),-
工信部综合油耗(L/100km),-
实测油耗(L/100km),-
长度(mm),4589
宽度(mm),1860
高度(mm),1660
轴距(mm),2731
前轮距(mm),-
后轮距(mm),-
最小离地间隙(mm),-
车身结构_y,SUV
车门数(个),5
座位数(个),5
油箱容积(L),-
行李厢容积(L),-
整备质量(kg),-
发动机型号,-
排量(mL),1984
进气形式,涡轮增压
气缸排列形式,L
气缸数(个),4
每缸气门数(个),4
压缩比,-
配气机构,DOHC
缸径(mm),-
行程(mm),-
最大马力(Ps),220
最大功率(kW)_y,162
最大功率转速(rpm),4500-6200
最大扭矩(N·m)_y,350
最大扭矩转速(rpm),1500-4500
发动机特有技术,-
燃料形式,汽油
燃油标号,95号
供油方式,直喷
缸盖材料,铝合金
缸体材料,铝合金
环保标准,国V
挡位个数,7
变速箱类型,双离合变速箱(DCT)
简称,7挡双离合
驱动方式,前置四驱
四驱形式,全时四驱
中央差速器结构,多片离合器
前悬架类型,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架
助力类型,电动助力
车体结构,承载式
前制动器类型,通风盘式
后制动器类型,盘式
驻车制动类型,电子驻车
前轮胎规格,235/50 R19
后轮胎规格,235/50 R19
备胎规格,非全尺寸
