,24573,28257,28322,28496,28498,35081,35082,35083
铝合金轮圈,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●
发动机电子防盗,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●
无钥匙启动系统,-,-,-,-,-,-,-,-
无钥匙进入系统,●,-,-,-,-,-,-,●
远程启动,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●
方向盘换挡,●,●,●,●,●,●,●,●
方向盘加热,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-
座椅材质,真皮,织物,仿皮(选装真皮),织物(选装真皮),织物,织物,皮/织物混搭,皮/织物混搭
运动风格座椅,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●
腰部支撑调节,●,-,●,○,-,-,●,●
肩部支撑调节,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主○&nbsp;/&nbsp;副○,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
电动座椅记忆,●,-,●,○,-,-,●,●
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,-,●,○,-,-,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-
GPS导航系统,●,-,-,-,-,-,-,-
道路救援呼叫,●,-,-,-,-,-,-,-
中控台彩色大屏,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,7英寸,7英寸,7英寸,7英寸,7英寸,7英寸,7英寸,7英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD,单碟DVD
扬声器品牌,BOSE,-,-,-,-,-,-,-
扬声器数量,10-11喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
近光灯,LED,卤素,LED,LED,卤素,卤素,卤素,LED
远光灯,LED,卤素,LED,LED,卤素,卤素,卤素,LED
LED日间行车灯,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,●,-,●,●,-,-,-,●
前雾灯,●,-,●,●,-,-,●,●
大灯高度可调,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-
车内氛围灯,●,-,●,○,-,-,-,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,-,内●&nbsp;/&nbsp;外●,内○&nbsp;/&nbsp;外○,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-
后视镜电动折叠,●,-,●,○,-,-,-,-
后视镜记忆,●,-,●,○,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●
感应雨刷,●,-,●,●,-,-,-,-
空调控制方式,自动●,手动●,手动●,自动●,手动●,手动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-
后座出风口,●,-,-,●,-,-,●,●
温度分区控制,●,-,-,●,-,-,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车型名称,英菲尼迪QX30 2017款 2.0T 四驱极限版,英菲尼迪QX30 2017款 1.6T 两驱时尚版,英菲尼迪QX30 2017款 2.0T 四驱运动版,英菲尼迪QX30 2017款 1.6T 两驱运动版,英菲尼迪QX30 2017款 2.0T 四驱时尚版,英菲尼迪QX30 2018款 1.6T 两驱时尚版,英菲尼迪QX30 2018款 1.6T 两驱运动版,英菲尼迪QX30 2018款 1.6T 两驱极限版
厂商指导价(元),36.38万,23.28万,30.78万,25.68万,27.58万,23.28万,25.68万,27.98万
厂商,英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口),英菲尼迪(进口)
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.11,2016.11,2016.11,2016.11,2016.11,2018.06,2018.06,2018.06
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-
最大功率(kW)_x,155,115,155,115,155,115,115,115
最大扭矩(N·m)_x,350,250,350,250,350,250,250,250
发动机,2.0T 211马力 L4,1.6T 156马力 L4,2.0T 211马力 L4,1.6T 156马力 L4,2.0T 211马力 L4,1.6T 156马力 L4,1.6T 156马力 L4,1.6T 156马力 L4
变速箱,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合
长*宽*高(mm),4425*1815*1505,4425*1815*1485,4425*1815*1505,4425*1815*1485,4425*1815*1505,4425*1815*1505,4425*1815*1505,4425*1815*1505
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),230,215,230,215,230,215,215,215
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,8.73,-,-,-,-
实测100-0km/h制动(m),-,-,-,37.36,-,-,-,-
工信部综合油耗(L/100km),7.5,6.7,7.5,6.7,7.5,6.6,6.6,6.6
实测油耗(L/100km),-,-,-,8.2,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
长度(mm),4425,4425,4425,4425,4425,4425,4425,4425
宽度(mm),1815,1815,1815,1815,1815,1815,1815,1815
高度(mm),1505,1485,1505,1485,1505,1505,1505,1505
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700
前轮距(mm),1561,1556,1561,1556,1561,1556,1556,1561
后轮距(mm),1566,1555,1566,1555,1566,1555,1555,1566
最小离地间隙(mm),-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5
油箱容积(L),56,50,56,50,56,50,50,50
行李厢容积(L),430,430,430,430,430,430,430,430
整备质量(kg),1600,1464,1592,1511,1564,1477,1514,1514
发动机型号,270920,270910,270920,270910,270920,270910,270910,270910
排量(mL),1991,1595,1991,1595,1991,1595,1595,1595
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),211,156,211,156,211,156,156,156
最大功率(kW)_y,155,115,155,115,155,115,115,115
最大功率转速(rpm),5500,5300,5500,5300,5500,5300,5300,5300
最大扭矩(N·m)_y,350,250,350,250,350,250,250,250
最大扭矩转速(rpm),1200-4000,1250-4000,1200-4000,1250-4000,1200-4000,1250-4000,1250-4000,1250-4000
发动机特有技术,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,7,7,7,7,7,7,7,7
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
简称,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合
驱动方式,前置四驱,前置前驱,前置四驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱
四驱形式,适时四驱,-,适时四驱,-,适时四驱,-,-,-
中央差速器结构,待查,-,待查,-,待查,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,盘式,通风盘式,盘式,通风盘式,盘式,盘式,盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,235/50 R18,235/50 R18,235/50 R18,235/50 R18,235/50 R18,235/50 R18,235/50 R18,235/50 R18
后轮胎规格,235/50 R18,235/50 R18,235/50 R18,235/50 R18,235/50 R18,235/50 R18,235/50 R18,235/50 R18
备胎规格,无,无,无,无,无,无,无,无
