Feature,57101,57102,57103,57104,57105,57106,58094,58095,58424,58425,58426,58427,58428,58429,62053,62054,62055,62056,62057
高度(mm),1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925
驾驶辅助影像,,,,-,-,-,,-,-,-,-,,,,-,,,-,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575
长*宽*高(mm),4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925,4575*1700*1925
钥匙类型,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960
轮圈材质,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,货车,货车
车身结构_x,5门5座MPV,5门6座MPV,5门7座MPV,5门2座MPV,5门5座MPV,5门6座MPV,5门2座MPV,5门7座MPV,5门5座MPV,5门6座MPV,5门7座MPV,5门5座MPV,5门6座MPV,5门7座MPV,5门5座MPV,5门5座MPV,5门5座MPV,5门2座货车,5门2座货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金海狮M 2022款 熊猫版 1.5L 旅行狮客车 5座,金海狮M 2022款 1.5L 旅行狮客车 6座,金海狮M 2022款 1.5L 旅行狮客车 7座,金海狮M 2022款 1.6L 工程狮厢货 2座,金海狮M 2022款 1.5L 工程狮客车 5座,金海狮M 2022款 1.5L 工程狮客车 6座,金海狮M 2022款 1.6L 旅行狮厢货 2座,金海狮M 2022款 1.5L 工程狮客车 7座,金海狮M 2022款 熊猫版 1.5L 工程狮客车 5座,金海狮M 2022款 熊猫版 1.5L 工程狮客车 6座,金海狮M 2022款 熊猫版 1.5L 工程狮客车 7座,金海狮M 2022款 1.5L 旅行狮客车 5座,金海狮M 2022款 熊猫版 1.5L 旅行狮客车 6座,金海狮M 2022款 熊猫版 1.5L 旅行狮客车 7座,金海狮M 2023款 1.5L 工程狮客车 5/6/7座,金海狮M 2023款 1.5L 旅行狮客车 5/6/7座,金海狮M 2023款 熊猫版 1.5L 旅行狮客车 5/6/7座,金海狮M 2023款 1.6L 工程狮厢货 2座,金海狮M 2023款 1.6L 旅行狮厢货 2座
车前雾灯,,,,-,-,-,,-,-,-,-,,,,-,,,-,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,
