,26692,26695,26696,26697,26698,26699,26700,26701,26702,26703,26704,26705,28955,28956,31862,31863,31864,31865,31866,31867,31868,31869,31870
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后驻车雷达,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
倒车视频影像,-,-,●,●,-,-,●,●,●,-,●,●,-,-,●,●,●,●,●,●,●,●,●
全景摄像头,-,-,-,-,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,●,-,-,●
定速巡航,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上坡辅助,-,-,-,-,-,-,-,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
自动驻车,-,-,-,●,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,●,●,-,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●
全景天窗,-,-,●,●,-,-,●,●,●,-,●,●,-,-,-,-,-,-,●,●,-,●,●
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机电子防盗,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,-,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,-,●,●,●,-,●,●,●,●,●,●,●,-,●,-,●,-,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
座椅材质,织物,仿皮,仿皮,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,●,●,-,-,●,●,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,前●&nbsp;/&nbsp;后-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,-,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,-,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,-,8英寸,9英寸,9英寸,-,8英寸,9英寸,9英寸,9英寸,8英寸,9英寸,9英寸,-,8英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,●,●,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,4-5喇叭,6-7喇叭,6-7喇叭,8-9喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,8-9喇叭,6-7喇叭,6-7喇叭,8-9喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,8-9喇叭,≥12喇叭,6-7喇叭,8-9喇叭,≥12喇叭
近光灯,卤素,卤素,氙气,氙气,卤素,卤素,氙气,氙气,氙气,卤素,氙气,氙气,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED,卤素,卤素,LED
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED,卤素,卤素,LED
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,●,●,-,-,●,●,●,-,●,●,-,-,●,●,●,●,●,●,●,●,●
转向辅助灯,-,●,●,●,-,●,●,●,●,●,●,●,-,●,-,-,-,-,-,●,-,-,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,-,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,●,●,-,-,●,●,●,-,●,●,-,-,-,-,-,-,-,●,-,-,●
车内氛围灯,-,-,-,●,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-,全车,全车,全车,-,-,-,-,-,-,全车,全车,-,全车,全车
车窗防夹手功能,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,●,●,-,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,-,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-,-,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,-,-,●,●,-,-,●,●,●,-,●,●,-,-,-,-,-,-,●,●,-,●,●
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,●,●,-,-,●,●,●,-,●,●,-,-,●,●,●,●,●,●,●,●,●
空调控制方式,手动●,手动●,自动●,自动●,手动●,手动●,自动●,自动●,自动●,手动●,自动●,自动●,手动●,手动●,手动●,自动●,手动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
温度分区控制,-,-,●,●,-,-,●,●,●,-,●,●,-,-,-,●,-,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,众泰T600 2016款 1.5T 手动精英型,众泰T600 2016款 1.5T 手动豪华型,众泰T600 2016款 1.5T 手动尊贵型,众泰T600 2016款 1.5T 手动旗舰型,众泰T600 2016款 家用版 2.0T 手动精英型,众泰T600 2016款 家用版 2.0T 手动豪华型,众泰T600 2016款 家用版 2.0T 手动尊贵型,众泰T600 2016款 2.0T 手动尊贵型,众泰T600 2016款 2.0T 手动旗舰型,众泰T600 2016款 2.0T 自动豪华型,众泰T600 2016款 2.0T 自动尊贵型,众泰T600 2016款 2.0T 自动旗舰型,众泰T600 2017款 1.5T 手动精英贺岁版,众泰T600 2017款 1.5T 手动豪华贺岁版,众泰T600 2018款 运动版 1.5T 手动豪华型,众泰T600 2018款 运动版 1.5T 手动尊享型,众泰T600 2018款 运动版 1.5T 自动豪华型,众泰T600 2018款 运动版 1.5T 自动尊享型,众泰T600 2018款 运动版 1.5T 自动尊贵型,众泰T600 2018款 运动版 1.5T 自动旗舰型,众泰T600 2018款 运动版 1.8T 自动尊享型,众泰T600 2018款 运动版 1.8T 自动尊贵型,众泰T600 2018款 运动版 1.8T 自动旗舰型
厂商指导价(元),7.98万,8.68万,9.88万,10.68万,8.98万,9.68万,10.68万,11.38万,12.38万,11.58万,12.58万,13.58万,7.98万,8.68万,9.28万,10.18万,10.28万,11.18万,12.08万,13.18万,12.18万,12.98万,14.28万
厂商,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车,众泰汽车
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.06,2016.06,2016.06,2016.06,2016.06,2016.06,2016.06,2016.06,2016.06,2016.06,2016.06,2016.06,2017.01,2017.01,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,119,119,119,119,140,140,140,140,140,140,140,140,119,119,119,119,115,115,115,115,130,130,130
最大扭矩(N·m)_x,215,215,215,215,250,250,250,250,250,250,250,250,215,215,215,215,207,207,207,207,245,245,245
发动机,1.5T 162马力 L4,1.5T 162马力 L4,1.5T 162马力 L4,1.5T 162马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,1.5T 162马力 L4,1.5T 162马力 L4,1.5T 162马力 L4,1.5T 162马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.8T 177马力 L4,1.8T 177马力 L4,1.8T 177马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡双离合,6挡双离合,6挡双离合,5挡手动,5挡手动,5挡手动,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡双离合,6挡双离合,6挡双离合
长*宽*高(mm),4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4631*1893*1694,4648*1893*1686,4648*1893*1686,4648*1893*1686,4648*1893*1686,4648*1893*1686,4648*1893*1686,4648*1893*1686,4648*1893*1686,4648*1893*1686
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),180,180,180,180,185,185,185,185,185,185,185,185,180,180,180,180,180,180,180,180,185,185,185
官方0-100km/h加速(s),9.76,9.76,9.76,9.76,9.26,9.26,9.26,9.26,9.26,9.53,9.53,9.53,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.74
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.69
工信部综合油耗(L/100km),7.9,7.9,7.9,7.9,8.3,8.3,8.3,8.3,8.3,9.2,9.2,9.2,7.9,7.9,7.9,7.9,8.4,8.4,8.4,8.4,8.6,8.6,8.6
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.2
整车质保,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里,四年或15万公里
长度(mm),4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4648,4648,4648,4648,4648,4648,4648,4648,4648
宽度(mm),1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893
高度(mm),1694,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694,1686,1686,1686,1686,1686,1686,1686,1686,1686
轴距(mm),2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807,2807
前轮距(mm),1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
后轮距(mm),1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612
最小离地间隙(mm),185,185,185,185,185,185,185,185,185,185,185,185,185,185,178,178,178,178,178,178,178,178,178
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
