Feature,1004594,1004598,1004602,1004606,1004611,1004613,1004615,1004617,1005280,1005281,1005282,1005284,1005679,1005680,1005681,1008097,1008099,1008101,1008103,1008105,1008107,1009540,1009541,1009549,1009552,1009935,1009936,1009937,1009938,1009939,1009940,1009941,1009942,1009943,1009944,1009945,1009946,1009947,1009948,1009949,1009950,1009951,1009952,1011720,1011721,1011722,1011996,1011997,1011998,1011999,1012000,1012001,1014531,1014533,1014535,1014537,1015043,1015276,1015277,1015278,1015279,1015280,1015281,1015282,1015283,1015284,1015285,1015286,1015287,1015288,1015289,1015290,1015291,1015292,1015293,1015294,1015295,1015296,1015297,1015298,1015299,1015300,1015301,1015302,1015303,1015304,1015305,1015306,1015307,1015308,1015309,1015310,1015311,1015312,1015313,1015442,1015443,1015444,1015445
高度(mm),2066,2414,2066,2414,2066,2414,2066,2414,2414,2414,2414,2414,2066,2414,2414,2061,2061,2061,2407,2407,2407,2061,2066,2066,2061,2061,2061,2061,2061,2061,2061,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2061,2061,2061,2061,2395,2040,2040,2400,2400,2040,2040,2395,2395,2030,2030,2395,2395,2030,2030,2390,2390,2020,2020,2020,2375,2375,2040,2400,2040,2395,2030,2030,2395,2030,2030,2390,2390,2020,2020,2020,2020,2375,2375,2375,2375,2375,2375
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4974,5341,4974,5341,4974,5341,4974,5341,4974,4974,4974,4974,4974,5341,4974,4974,4974,4974,5341,5341,5341,5341,5341,5341,5341,4974,4974,4974,4974,4974,4974,4974,4974,4974,4974,4974,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,4974,4974,4974,4974,4974,5341,5341,5341,5341,4974,4974,4974,4974,5341,5341,5341,5341,4974,5341,5341,5341,5341,4974,4974,5341,5341,4974,4974,4974,5341,5341,5341,5341,4974,4974,5341,5341,5341,5341,5341,5341,5341,5341
长*宽*高(mm),4974×2032×2066,5341×2032×2414,4974×2032×2066,5341×2032×2414,4974×2032×2066,5341×2032×2414,4974×2032×2066,5341×2032×2414,4974×2032×2414,4974×2032×2414,4974×2032×2414,4974×2032×2414,4974×2032×2066,5341×2032×2414,4974×2032×2414,4974×2032×2061,4974×2032×2061,4974×2032×2061,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2061,5341×2032×2066,5341×2032×2066,5341×2032×2061,4974×2032×2061,4974×2032×2061,4974×2032×2061,4974×2032×2061,4974×2032×2061,4974×2032×2061,4974×2032×2407,4974×2032×2407,4974×2032×2407,4974×2032×2407,4974×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2407,5341×2032×2061,5341×2032×2061,5341×2032×2061,5341×2032×2061,4974*1986*2395,4974*1986*2040,4974*1986*2040,4974*1986*2400,4974*1986*2400,5341*1986*2040,5341*1986*2040,5341*1986*2395,5341*1986*2395,4974*1986*2030,4974*1986*2030,4974*1986*2395,4974*1986*2395,5341*1986*2030,5341*1986*2030,5341*1986*2390,5341*1986*2390,4974*2040*2020,5341*2040*2020,5341*2040*2020,5341*2040*2375,5341*2040*2375,4974*1986*2040,4974*1986*2400,5341*1986*2040,5341*1986*2395,4974*1986*2030,4974*1986*2030,4974*1986*2395,5341*1986*2030,5341*1986*2030,5341*1986*2390,5341*1986*2390,4974*2040*2020,4974*2040*2020,5341*2040*2020,5341*2040*2020,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375,5341*2040*2375
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
配气机构,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,未知,DOHC,DOHC,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,未知,DOHC,未知,DOHC,未知,未知,未知,未知,未知,DOHC,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,DOHC,未知,未知,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
