Feature,31523,31524,31525,31526,31527,31529,31530,36844,37204,37344,37345,37346,37347,37348,37349,37350,37351,37352,37353,37389,37390,37391
高度(mm),1466,1466,1466,1466,1466,1466,1466,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1480,1480,1480
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),5036,5036,5036,5036,5036,5036,5036,5038,5050,5038,5050,5038,5050,5038,5038,5050,5050,5038,5050,5034,5034,5034
长*宽*高(mm),5036*1874*1466,5036*1874*1466,5036*1874*1466,5036*1874*1466,5036*1874*1466,5036*1874*1466,5036*1874*1466,5038*1886*1475,5050*1886*1475,5038*1886*1475,5050*1886*1475,5038*1886*1475,5050*1886*1475,5038*1886*1475,5038*1886*1475,5050*1886*1475,5050*1886*1475,5038*1886*1475,5050*1886*1475,5034*1874*1480,5034*1874*1480,5034*1874*1480
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,机械增压,机械增压,机械增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气
近光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,●,-,●,-,●,-,-,●,●,-,●,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,●,-,●,-,●,-,-,●,●,-,●,-,-,-
轴距(mm),3012,3012,3012,3012,3012,3012,3012,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3012,3012,3012
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,○,○,○,○,○,○,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,○,○,○,○,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车型名称,奥迪A6L 2018款 30周年年型 TFSI 进取型,奥迪A6L 2018款 30周年年型 35 TFSI 时尚型,奥迪A6L 2018款 30周年年型 35 TFSI 运动型,奥迪A6L 2018款 30周年年型 30 FSI 风尚型,奥迪A6L 2018款 30周年年型 45 TFSI quattro 运动型,奥迪A6L 2018款 30周年年型 45 TFSI quattro 豪华型,奥迪A6L 2018款 30周年年型 50 TFSI quattro 尊享型,奥迪A6L 2019款 55TFSI quattro 豪华致雅型,奥迪A6L 2019款 45TFSI quattro 时尚动感型,奥迪A6L 2019款 40TFSI 进取致雅型,奥迪A6L 2019款 40TFSI 进取动感型,奥迪A6L 2019款 45TFSI 时尚致雅型,奥迪A6L 2019款 45TFSI 时尚动感型,奥迪A6L 2019款 45TFSI quattro 时尚致雅型,奥迪A6L 2019款 45TFSI quattro 豪华致雅型,奥迪A6L 2019款 45TFSI quattro 豪华动感型,奥迪A6L 2019款 55TFSI quattro 豪华动感型,奥迪A6L 2019款 55TFSI quattro 尊贵致雅型,奥迪A6L 2019款 55TFSI quattro 尊贵动感型,奥迪A6L 2018款 TFSI 典藏版,奥迪A6L 2018款 35 TFSI 典藏版,奥迪A6L 2018款 30 FSI 典藏版
车内空气调节/花粉过滤,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●
车内氛围灯,○,○,○,○,○,●,●,●,○,●,○,●,○,●,●,●,●,●,●,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),470,470,470,470,470,470,470,430,430,430,430,430,430,430,430,430,430,430,430,470,470,470
