Feature,36788,36789,36790,36791,36792,36793,36794,36795,37042,37294
高度(mm),1900,1900,1900,1900,1900,1935,1900,1935,1935,1900
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-
长度(mm),4645,4645,4645,4645,4715,4715,4715,4715,4715,4715
长*宽*高(mm),4645*1740*1900,4645*1740*1900,4645*1740*1900,4645*1740*1900,4715*1740*1900,4715*1740*1935,4715*1740*1900,4715*1740*1935,4715*1765*1935,4715*1765*1900
铝合金轮圈,-,-,-,-,-,●,-,●,●,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,-,-,-,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),2810,2810,2810,2810,2810,2810,2810,2810,2810,2810
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,●,-,●,●,-
车门数(个),4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门2座MPV,4门5座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-,-,-,-,-
车型名称,瑞风M3 2019款 1.6L 物流版,瑞风M3 2019款 1.6L 速运版,瑞风M3 2019款 创客版 1.6L 豪华型,瑞风M3 2019款 创客版 1.6L 豪华智能型,瑞风M3 2019款 宜家版 1.6L 豪华型,瑞风M3 2019款 宜家版 1.6L 豪华智能型,瑞风M3 2019款 宜家版 2.0L 豪华型,瑞风M3 2019款 宜家版 2.0L 豪华智能型,瑞风M3 2019款 宜家版 1.5T 豪华智能型,瑞风M3 2019款 宜家版 1.5T 豪华型
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,○,-,●,-,●,●,-
自适应远近光,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,未知,未知
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-,-,●,-,●,●,-
第二排独立座椅,-,-,-,-,-,●,-,●,●,-
第二排座椅移动,-,-,-,-,-,●,-,●,●,-
第三排座椅,-,-,3座,3座,3座,3座,3座,3座,3座,3座
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
